isin,bse_code,nse_symbol,company,type,gap,listing_date,rec_date,open,high,low,close,volume,issue_price,chittor_listing_open,source
INE451S01027,539222,,VMV Holidays Ltd.,SME,none_listing_era,2015-07-14,2015-07-14,10.25,10.50,10.25,10.50,40000,10.00,10.25,bse_bhavcopy
INE452S01025,539526,,Suncare Traders Ltd.,SME,none_listing_era,2015-12-29,2015-12-29,64.70,64.70,63.65,64.40,334000,64.00,64.70,bse_bhavcopy
INE474O01010,535667,,India Finsec Ltd.,SME,none_listing_era,2013-06-11,2013-06-11,10.00,10.50,10.00,10.50,780000,10.00,,bse_bhavcopy
INE513R01026,538817,,Captain Pipes Ltd.,SME,none_listing_era,2014-12-11,2014-12-11,41.90,41.90,39.85,39.85,117000,40.00,41.90,bse_bhavcopy
INE537U01037,540079,,Sprayking Agro Equipment Ltd.,SME,none_listing_era,2016-09-14,2016-09-14,24.00,24.00,21.75,21.80,270000,21.00,24.00,bse_bhavcopy
INE544W01021,540401,,Maximus International Ltd.,SME,none_listing_era,2017-03-30,2017-03-30,23.00,25.55,23.00,25.10,312000,25.00,23.00,bse_bhavcopy
INE592O01019,540084,,Spicy Entertainment & Media Ltd.,SME,none_listing_era,2016-09-15,2016-09-15,9.99,10.95,9.63,9.70,230000,10.00,9.99,bse_bhavcopy
INE594W01042,540492,,Pure Giftcarat Ltd.,SME,none_listing_era,2017-05-08,2017-05-08,10.80,14.50,10.80,13.25,800000,13.00,10.80,bse_bhavcopy
INE607V01028,540252,,Veeram Ornaments Ltd.,SME,none_listing_era,2017-01-05,2017-01-05,42.75,46.00,42.75,46.00,75000,45.00,42.75,bse_bhavcopy
INE626Z01029,541276,HARDWYN,Garv Industries Ltd.,SME,none_listing_era,2018-04-25,2018-04-25,10.00,10.30,10.00,10.00,880000,10.00,10.00,bse_bhavcopy
INE630Y01024,540937,MEDICO,Medico Remedies Ltd.,SME,none_listing_era,2018-02-08,2018-02-08,100.00,100.00,90.00,97.15,494400,100.00,100.00,bse_bhavcopy
INE636N01016,534707,,Anshu's Clothing Ltd.,SME,none_listing_era,2012-10-12,2012-10-12,26.85,28.15,26.85,27.15,432000,27.00,26.85,bse_bhavcopy
INE647N01021,536170,,Kushal Tradelink Ltd.,SME,none_listing_era,2013-09-04,2013-09-04,35.00,36.00,35.00,35.80,48000,35.00,35.00,bse_bhavcopy
INE647Z01025,542046,,Veeram Infra Engineering Ltd.,SME,none_listing_era,2018-10-23,2018-10-23,53.00,54.00,51.00,51.00,168000,51.00,53.00,bse_bhavcopy
INE653S01028,539216,,Junction Fabrics & Apparels Ltd.,SME,none_listing_era,2015-07-10,2015-07-10,17.50,18.35,17.05,17.30,280000,16.00,17.50,bse_bhavcopy
INE684H01018,532863,SPICETELE,Spice Communications Ltd.,MB,none_listing_era,2007-07-19,2007-07-19,55.75,67.05,48.50,60.65,117103693,46.00,,bse_bhavcopy
INE685Z01033,541601,,Rajnish Wellness Ltd.,SME,none_listing_era,2018-07-09,2018-07-09,100.00,104.70,100.00,100.15,338400,95.00,100.00,bse_bhavcopy
INE688J01023,533090,EXCEL,Excel Infoways Ltd.,MB,none_listing_era,2009-08-03,2009-08-03,93.05,102.40,91.80,95.65,12818724,85.00,93.05,bse_bhavcopy
INE694X01030,540614,,G G Engineering Ltd.,SME,none_listing_era,2017-07-17,2017-07-17,21.00,21.00,19.90,20.70,390000,20.00,21.00,bse_bhavcopy
INE705X01026,541152,GOYALALUM,Advitiya Trade India Ltd.,SME,none_listing_era,2018-03-26,2018-03-26,15.01,15.76,15.01,15.76,120000,15.00,15.01,bse_bhavcopy
INE714U01024,540377,,IFL Enterprises Ltd.,SME,none_listing_era,2017-03-21,2017-03-21,19.80,20.05,16.60,20.05,420000,20.00,19.80,bse_bhavcopy
INE740X01023,540952,LAL,Lorenzini Apparels Ltd.,SME,none_listing_era,2018-02-15,2018-02-15,10.20,10.20,8.25,9.25,370000,10.00,10.20,bse_bhavcopy
INE742R01013,539570,,OFS Technologies Ltd.,SME,none_listing_era,2016-01-14,2016-01-14,26.75,28.05,25.45,27.35,576000,25.00,26.75,bse_bhavcopy
INE763I01026,532928,TARIL,Transformers & Rectifiers (India) Ltd.,MB,none_listing_era,2007-12-28,2007-12-28,701.10,813.75,685.20,728.00,2662545,465.00,701.10,bse_bhavcopy
INE800S01017,539403,,Cawasji Behramji Catering Services Ltd.,SME,none_listing_era,2015-10-19,2015-10-19,15.25,16.01,15.05,16.01,220000,14.00,15.25,bse_bhavcopy
INE818H01020,532783,LTFOODS,LT Overseas Ltd.,MB,none_listing_era,2006-12-18,2006-12-18,60.00,62.90,51.00,55.00,5413788,56.00,60.00,bse_bhavcopy
INE819S01025,539963,,Zeal Aqua Ltd.,SME,none_listing_era,2016-07-07,2016-07-07,133.00,138.00,131.30,134.60,28000,130.00,133.00,bse_bhavcopy
INE830N01015,534731,,Bronze infra-tech Ltd.,SME,none_listing_era,2012-11-07,2012-11-07,16.70,17.10,16.00,16.30,200000,15.00,16.70,bse_bhavcopy
INE904R01027,539097,,Yogya Enterprises Ltd.,SME,none_listing_era,2015-04-15,2015-04-15,14.25,14.25,14.25,14.25,8000,15.00,14.25,bse_bhavcopy
INE906O01029,536264,TIGERLOGS,Tiger Logistics (India) Ltd.,SME,none_listing_era,2013-09-12,2013-09-12,69.20,69.20,69.10,69.10,4000,66.00,69.20,bse_bhavcopy
INE906Y01028,542802,,Galactico Corporate Services Ltd.,SME,none_listing_era,2019-10-09,2019-10-09,23.20,23.20,23.05,23.05,54000,23.00,23.20,bse_bhavcopy
INE911Z01025,542012,,A-1 Acid Ltd.,SME,none_listing_era,2018-10-10,2018-10-10,61.00,62.00,61.00,61.25,526000,60.00,61.00,bse_bhavcopy
INE923Y01023,540953,,Kenvi Jewels Ltd.,SME,none_listing_era,2018-02-16,2018-02-16,35.10,43.20,31.05,39.10,84000,36.00,35.10,bse_bhavcopy
INE700H01012,532758,,KEW Industries Ltd.,MB,gap2_no_file,2006-09-25,2006-09-25,35.50,36.00,23.10,23.60,6977994,30.00,,bse_bhavcopy
INE224B01024,517001,,Birla Power Solutions Ltd. FPO,MB,gap2_no_file,2006-04-26,2006-04-26,37.05,41.00,36.60,37.05,1954874,42.00,,bse_bhavcopy
INE979C01013,532736,,Powersoft Global Solutions Ltd. FPO,MB,gap2_no_file,2006-04-28,2006-04-28,25.00,26.70,20.25,21.10,1784141,22.00,25.00,bse_bhavcopy
INE720H01010,532913,,Circuit Systems (India) Ltd.,MB,gap2_no_file,2007-11-02,2007-11-02,42.00,59.00,40.05,43.50,4080181,35.00,42.00,bse_bhavcopy
INE989B01014,505426,,Dagger-Forst Tools Ltd. FPO,MB,gap2_no_file,2007-09-25,2007-09-25,45.35,45.40,42.30,43.90,11477,45.00,45.35,bse_bhavcopy
INE213J01012,533026,,Chemcel Bio-tech Ltd.,MB,gap2_no_file,2008-10-13,2008-10-13,16.00,16.00,4.75,5.25,17400597,16.00,16.00,bse_bhavcopy
INE207I01016,532995,,Avon Weighing Systems Ltd.,MB,gap2_no_file,2008-07-03,2008-07-03,13.90,20.00,11.35,11.90,35906256,10.00,13.90,bse_bhavcopy
INE450H01014,532981,,Anu's Laboratories Ltd.,MB,gap2_no_file,2008-06-04,2008-06-04,260.00,288.40,256.60,268.05,16491651,210.00,260.00,bse_bhavcopy
INE435H01015,532950,,Manjushree Extrusions Ltd. FPO,MB,gap2_no_file,2008-02-28,2008-02-28,48.00,66.00,47.00,52.70,31594603,45.00,48.00,bse_bhavcopy
INE091K01010,533220,,Midfield Industries Ltd.,MB,gap2_no_file,2010-08-04,2010-08-04,159.40,174.90,150.00,163.05,23854228,133.00,159.40,bse_bhavcopy
INE341L01017,533469,,Birla Pacific Medspa Ltd.,MB,gap2_no_file,2011-07-07,2011-07-07,10.10,30.70,10.10,25.35,135859684,10.00,10.10,bse_bhavcopy
INE926O01019,536492,,Ace Tours Worldwide Ltd.,SME,gap2_no_file,2013-09-26,2013-09-26,24.95,24.95,24.95,24.95,8000,16.00,24.95,bse_bhavcopy
