isin,company,preFY,slug,page_name,name_ok,preFY_present,pat,verify
INE06MH01016,Sona Hi Sona Jewellers (Gujarat) Ltd.,2019,nse:GOLDKART,Goldkart Jewels Ltd,False,True,0.0,STAGED(rename-code-verified)
INE02WG01024,Wonder Fibromats Ltd.,2019,bse:543449,Wonder Electricals Ltd,False,True,6.0,STAGED(rename-code-verified)
INE056001014,City Pulse Multiplex Ltd.,2019,bse:542727,City Pulse Multiventures Ltd,False,True,0.59,STAGED(rename-code-verified)
INE060601031,Earum Pharmaceuticals Ltd.,2019,bse:542724,Murae Organisor Ltd,False,True,2.0,STAGED(rename-code-verified)
INE02GA01012,Anand Rayons Ltd.,2019,bse:542721,Anand Rayons Ltd,True,False,,no-page/no-financials
INE00CU01013,Suich Industries Ltd.,2019,,,False,False,,no-page/no-financials
INE06CG01019,White Organic Retail Ltd.,2019,bse:542667,Diva Organic Living Ltd,False,True,2.0,STAGED(rename-code-verified)
INE757T01025,Artemis Electricals Ltd.,2019,bse:542670,Artemis Electricals &amp; Projects Ltd,False,True,10.19,STAGED(rename-code-verified)
INE05QJ01015,G.K.P.Printing & Packaging Ltd.,2019,bse:542666,G K P Printing &amp; Packaging Ltd,True,False,,no-page/no-financials
INE011201014,Jinaam's Dress Ltd.,2019,,,False,False,,no-page/no-financials
INE03CM01014,Gleam Fabmat Ltd.,2018,bse:542477,Gleam Up Jwel Limited,False,False,,page-found-but-preFY-off-window earliest=2019
INE02AR01019,Anmol India Ltd.,2018,bse:542437,Anmol India Ltd,True,False,,no-page/no-financials
INE542W01025,K.P.I.Global Infrastructure Ltd.,2018,bse:542323,KPI Green Energy Ltd,False,True,7.0,STAGED(rename-code-verified)
