isin,company,field,old,new,severity
INE0ON201012,Srivari Spices & Foods Ltd.,listing_open,93.43,101.50,SOFT
INE0QU501030,Sodhani Capital Ltd.,ticker_bo,SODHACAP,544560,BSE_FMT
INE1DRH01011,Jay Ambe Supermarkets Ltd.,ticker_bo,CITYSQUARE,544514,BSE_FMT
INE0W0H01017,Solarium Green Energy Ltd.,ticker_bo,SOLARIUM,544354,BSE_FMT
INE0FK501019,Indobell Insulations Ltd.,ticker_bo,INDOBELL,544334,BSE_FMT
INE0H9P01028,Arisinfra Solutions Ltd.,ticker,ARISINFRA,ARIS,HARD
INE0UYT01018,Mach Conferences & Events Ltd.,ticker_bo,MCEL,544248,BSE_FMT
INE0WRP01016,Vashishtha Luxury Fashion Ltd.,ticker_bo,VASHISHTHA,544508,BSE_FMT
INE0TGG01014,Desco Infratech Ltd.,ticker_bo,DESCO,544387,BSE_FMT
INE0RXS01018,Shreenath Paper Products Ltd.,ticker_bo,SHREENATH,544372,BSE_FMT
INE0RDM01013,Deepak Chemtex Ltd.,ticker_bo,DEEPAKCHEM,544036,BSE_FMT
INE0N0Y01013,Udayshivakumar Infra Ltd.,listing_open,35,0.00,SOFT
INE0W4D01018,Ravelcare Ltd.,ticker_bo,RAVEL,544629,BSE_FMT
INE1P1A01018,Umiya Mobile Ltd.,ticker_bo,UML,544464,BSE_FMT
INE0RIQ01013,Associated Coaters Ltd.,ticker_bo,ASSOCIATED,544183,BSE_FMT
INE0WDX01010,CLN Energy Ltd.,ticker_bo,CLN,544347,BSE_FMT
INE0VNH01014,NAPS Global India Ltd.,ticker_bo,NAPSGLOBAL,544373,BSE_FMT
INE12P601017,Globtier Infotech Ltd.,ticker_bo,GLOBTIER,544494,BSE_FMT
INE0SCB01016,Aztec Fluids & Machinery Ltd.,ticker_bo,AZTEC,544177,BSE_FMT
INE0FFF01017,L.K.Mehta Polymers Ltd.,ticker_bo,LKMEHTA,544366,BSE_FMT
INE0W4K01013,BLT Logistics Ltd.,ticker_bo,BLT,544474,BSE_FMT
INE0G1V01016,Amanaya Ventures Ltd.,ticker_bo,AMANAYA,543804,BSE_FMT
INE1B4801017,Chatterbox Technologies Ltd.,ticker_bo,CHTR,544546,BSE_FMT
INE14VP01014,JD Cables Ltd.,ticker_bo,JDCABLES,544524,BSE_FMT
INE0EOJ01014,K K Silk Mills Ltd.,ticker_bo,KKSILK,544624,BSE_FMT
INE0Q0M01015,Veefin Solutions Ltd.,ticker_bo,VEEFIN,543931,BSE_FMT
INE111601014,Icodex Publishing Solutions Ltd.,ticker_bo,ICODEX,544483,BSE_FMT
INE1E4401010,Exato Technologies Ltd.,ticker_bo,EXATO,544626,BSE_FMT
INE0AH901011,Chatha Foods Ltd.,ticker_bo,CHATHA,544151,BSE_FMT
INE14OX01013,Takyon Networks Ltd.,ticker_bo,TAKYON,544471,BSE_FMT
INE1FHV01026,Unisem Agritech Ltd.,ticker_bo,UNISEM,544648,BSE_FMT
INE0JWS01017,Valiant Laboratories Ltd.,listing_open,149.43,161.00,SOFT
INE12QA01010,Landmark Immigration Consultants Ltd.,ticker_bo,LGLL,544341,BSE_FMT
INE01R501028,Vikran Engineering Ltd.,issue_price,75,97.00,SOFT
INE0SFA01011,Sihora Industries Ltd.,ticker_bo,SIHORA,544585,BSE_FMT
INE0A6N01026,Manoj Ceramic Ltd.,ticker_bo,MCPL,544073,BSE_FMT
INE463V01026,Anand Rathi Wealth Ltd.,issue_price,414,550.00,SOFT
INE463V01026,Anand Rathi Wealth Ltd.,listing_open,432.1,602.05,SOFT
INE1IIQ01028,Solvex Edibles Ltd.,ticker_bo,SOLVEX,544539,BSE_FMT
INE0RH001011,Leo Dryfruits & Spices Trading Ltd.,ticker_bo,VANDU,544329,BSE_FMT
INE1FJE01010,Helloji Holidays Ltd.,ticker_bo,HELLOJI,544630,BSE_FMT
INE833Q01012,Mittal Sections Ltd.,ticker_bo,MITTALSTL,544575,BSE_FMT
