isin,company,field,old,new,severity
INE0SFZ01018,Broach Lifecare Hospital Ltd.,ticker_bo,BROACH,544231,BSE_FMT
INE0OKG01017,Prospect Commodities Ltd.,ticker_bo,PCL,543814,BSE_FMT
INE0MSS01019,Jay Kailash Namkeen Ltd.,ticker_bo,JAYKAILASH,544160,BSE_FMT
INE0NJ001013,CFF Fluid Control Ltd.,ticker_bo,CFF,543920,BSE_FMT
INE0X4A01013,Apollo Techno Industries Ltd.,ticker_bo,ATIL,544671,BSE_FMT
INE0UMC01019,GLEN Industries Ltd.,ticker_bo,GLEN,544444,BSE_FMT
INE0Q8P01029,Bondada Engineering Ltd.,ticker_bo,BONDADA,543971,BSE_FMT
INE0Q8P01029,Bondada Engineering Ltd.,listing_open,28.5,142.50,SOFT
INE0FMZ01045,Shree Refrigerations Ltd.,ticker_bo,SHREEREF,544458,BSE_FMT
INE0TL001013,Cryogenic OGS Ltd.,ticker_bo,CRYOGENIC,544440,BSE_FMT
INE0SLP01017,NSB BPO Solutions Ltd.,ticker_bo,NSBBPO,544571,BSE_FMT
INE0SLP01017,NSB BPO Solutions Ltd.,issue_price,140,121.00,SOFT
INE0U2L01017,Amwill Health Care Ltd.,ticker_bo,AMWILL,544353,BSE_FMT
INE0RU901015,Mangal Compusolution Ltd.,ticker_bo,MANGALCOMP,544287,BSE_FMT
INE0ZOM01013,Goel Construction Co.Ltd.,ticker_bo,GOELCONS,544504,BSE_FMT
INE0P9J01013,AMIC Forging Ltd.,ticker_bo,AMIC,544037,BSE_FMT
INE0QZF01012,Gabriel Pet Straps Ltd.,ticker_bo,GPSL,544108,BSE_FMT
INE335Q01026,3C IT Solutions,PRESENCE,in_old,MISSING_in_new,HARD
INE811B01010,LGT Global,PRESENCE,in_old,MISSING_in_new,HARD
INE0NIJ01025,Dev Labtech Venture,PRESENCE,in_old,MISSING_in_new,HARD
INE751R01014,Rajputana Investment,PRESENCE,in_old,MISSING_in_new,HARD
INE366H01012,Capital Infra,PRESENCE,in_old,MISSING_in_new,HARD
INE548Z01017,Shanti Spintex,PRESENCE,in_old,MISSING_in_new,HARD
INE287Z01012,Anantam Highways,PRESENCE,in_old,MISSING_in_new,HARD
INE856B01023,Storage Technologies,PRESENCE,in_old,MISSING_in_new,HARD
INE320X01016,Dhansa Labs,PRESENCE,in_old,MISSING_in_new,HARD
INE139E01028,Sahaj Fashions,PRESENCE,in_old,MISSING_in_new,HARD
INE997I01012,Shri Hare-Krishna,PRESENCE,in_old,MISSING_in_new,HARD
INE336H01023,Kalpataru Projects,PRESENCE,in_old,MISSING_in_new,HARD
INE579D01019,Safe Enterprises,PRESENCE,in_old,MISSING_in_new,HARD
