isin,name,cohort,type,max90_vs_issue,fwd_alpha_term,outcome_class
INE09A801015,Galaxy Medicare Ltd.,boom,SME,0.903,0.14543694418957875,loser
INE0R7R01018,Italian Edibles Ltd.,boom,SME,0.891,0.1345463637791513,loser
INE16NZ01023,Orkla India Ltd.,boom,MB,0.969,0.11724083858036694,flat
INE615T01017,Ganga Pharmaceuticals Ltd.,longterm,SME,0.8,0.10554593073805862,flat
INE0QZR01017,Methodhub Software Ltd.,boom,SME,0.85,0.10504870036372638,loser
INE753K01015,Emmbi Polyarns Ltd.,longterm,MB,0.652,0.09328449601277455,winner
INE0M1F01011,Premium Plast Ltd.,boom,SME,0.989,0.07240705969510586,loser
INE154801018,Pushpa Jewellers Ltd.,boom,SME,0.989,0.07039533817144972,flat
INE1DKT01011,Riddhi Display Equipments Ltd.,boom,SME,0.722,0.06826856140587845,loser
INE1EUB01016,Shlokka Dyes Ltd.,boom,SME,0.893,0.0647329359477471,loser
INE0V6F01027,Hyundai Motor India Ltd.,boom,MB,0.978,0.06422171253421682,flat
INE0RTI01017,Oval Projects Engineering Ltd.,boom,SME,0.951,0.06295035285245854,loser
INE15MX01014,Abril Paper Tech Ltd.,boom,SME,0.841,0.05420172289983227,loser
INE111601014,Icodex Publishing Solutions Ltd.,boom,SME,0.766,0.046177817292910706,loser
INE0G5901015,EPACK Durable Ltd.,boom,MB,0.94,0.0459014453897848,flat
INE06XZ01023,Gem Aromatics Ltd.,boom,MB,0.931,0.035006642779322195,loser
INE0XZB01017,Krupalu Metals Ltd.,boom,SME,0.853,0.03380682759205422,loser
INE15WN01014,Repono Ltd.,boom,SME,0.995,0.03352744844654276,loser
INE1DLF01018,Shivashrit Foods Ltd.,boom,SME,0.998,0.03195635684344278,flat
INE010601016,Entero Healthcare Solutions Ltd.,boom,MB,0.96,0.026795107185757727,flat
INE0SJA01013,VMS TMT Ltd.,boom,MB,0.956,0.02435949819534422,loser
INE413X01035,7NR Retail Ltd.,longterm,SME,0.703,0.022230547667628553,loser
INE1NQ501012,Neptune Logitek Ltd.,boom,SME,0.723,0.017202227482142063,loser
INE1V4601019,Shri Kanha Stainless Ltd.,boom,SME,0.883,0.013281931594431584,loser
INE0RUY01012,Astron Multigrain Ltd.,boom,SME,0.722,0.01301718284131459,loser
INE0YKW01013,Forge Auto International Ltd.,boom,SME,0.981,0.011700422036044156,flat
INE0SVO01019,Siddhi Cotspin Ltd.,boom,SME,0.722,0.010723760765217305,loser
INE1BZC01019,Om Freight Forwarders Ltd.,boom,MB,0.755,0.009788917527824847,loser
INE0VOV01021,Dev Accelerator Ltd.,boom,MB,0.997,0.0036824782132408584,loser
