isin,company_name,type,year,missing
INE0KY201021,Maagh Advertising & Marketing Services Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MSK01016,Steelman Telecom Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MKA01014,Trident Lifeline Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KQQ01011,Mafia Trends Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0M8901010,Containe Technologies Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JOO01021,Varanium Cloud Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0CDK01019,Maks Energy Solutions India Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MOT01016,Kandarp Digi Smart BPO Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MGM01017,Annapurna Swadisht Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0M7001010,Tapi Fruit Processing Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0LCW01025,Ishan International Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0DZ101013,Sabar Flex India Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0G1D01014,Mega Flex Plastics Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0LU301014,Shantidoot Infra Services Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MEG01014,Viviana Power Tech Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0I0T01010,Virtuoso Optoelectronics Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0D2I01014,EP Biocomposites Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0J6801010,Jay Jalaram Technologies Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0LA901015,JFL Life Sciences Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KT901015,Ameya Precision Engineers Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MC401013,Dipna Pharmachem Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KKN01029,Rhetan TMT Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JNB01012,Naturo Indiabull Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0M3901015,Olatech Solutions Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KTW01013,Veekayem Fashion & Apparels Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0CBM01019,Upsurge Seeds of Agriculture Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0LF301013,Agni Green Power Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0L3501015,Healthy Life Agritec Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KZA01016,SKP Bearing Industries Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KR801019,Jayant Infratech Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0IZQ01016,B-Right Realestate Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JYY01011,Mangalam Worldwide Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0L1C01019,Kesar India Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0ID001024,Veerkrupa Jewellers Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0J1E01027,KCK Industries Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KHQ01010,Sailani Tours N Travels Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0GTX01019,Pearl Green Clubs & Resorts Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0L0L01012,Modi's Navnirman Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0K6L01010,Goel Food Products Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0IXR01019,Scarnose International Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KXN01014,Silver Pearl Hospitality & Luxury Spaces Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0LQQ01019,Fidel Softech Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE00WS01056,Globesecure Technologies Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE02OY01016,Rachana Infrastructure Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JZA01018,Sonu Infratech Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0G1L01017,Le Merite Exports Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0L3H01014,Fone4 Communications (India) Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0E5R01017,Nanavati Ventures Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0J2K01014,Global Longlife Hospital & Research Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JMN01019,Shashwat Furnishing Solutions Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KSN01014,Eighty Jewellers Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0J5801029,Jeena Sikho Lifecare Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KPY01017,Sunrise Efficient Marketing Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0K5F01014,Dhyaani Tile & Marblez Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0J5601015,Krishna Defence & Allied Industries Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KN801013,P.E.Analytics Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0GGO01015,Empyrean Cashews Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JVD01011,Evoq Remedies Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0K1401020,Achyut Healthcare Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KNW01016,KN Agri Resources Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0GMR01016,Swaraj Suiting Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KQ001017,Bhatia Colour Chem Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0HS001028,Cool Caps Industries Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JW501011,SP Refractories Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE03KJ01013,Shigan Quantum Technologies Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KCM01010,Ekennis Software Service Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JR301013,Vaidya Sane Ayurved Laboratories Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0J1P01015,Richa Info Systems Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JSJ01014,Maruti Interior Products Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JNA01014,Safa Systems & Technologies Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KAF01018,Quality RO Industries Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0HKW01018,Precision Metaliks Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KA601012,Alkosign Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
