isin,company_name,type,nse_symbol,bse_script_code,open_date,close_date,listing_date,issue_price,issue_amount_cr,pricing_method,listing_at,lead_manager,year,cohort,sub_qib_x,sub_nii_x,sub_retail_x,sub_total_x,sub_total_x_src,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_fin_year,pre_ipo_years_available,pat_yr3_src,market_maker,market_maker_src,fresh_issue_cr,fresh_issue_cr_src,ofs_cr,ofs_cr_src,ofs_pct,ofs_pct_src,anchor_allocation_cr,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr,issue_size_cr_src
INE935Q01015,Future Supply Chain Solutions Ltd.,MB,FSC,540798.0,2017-12-06,2017-12-08,2017-12-18,664.0,649.7,Bookbuilding,"BSE, NSE",IDFC Bank,2017,2006-2019,12.36,11.15,3.28,7.56,nse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.0,chittorgarh,100.0,chittorgarh,194.91,chittorgarh,674.0,chittorgarh,698.7,chittorgarh,660.05,chittorgarh,685.8,chittorgarh,To achieve the benefit of listing the Equity Shares on the Stock Exchanges,chittorgarh,650.0,chittorgarh
INE597J01018,Shalby Ltd.,MB,SHALBY,540797.0,2017-12-05,2017-12-07,2017-12-15,248.0,504.8,Bookbuilding,"BSE, NSE",Edelweiss Financial,2017,2006-2019,4.34,0.42,2.98,2.82,nse,275.0,290.0,324.0,68.0,56.0,71.0,25.0,36.0,29.0,7.36,4.3,3.4,98.0,224.0,328.0,351.0,504.0,679.0,,,60.0,168.0,204.0,251.0,324.0,29.0,8.95,11.55,1.31,Mar 2017,3.0,screener,,,480.0,chittorgarh,25.0,chittorgarh,5.0,chittorgarh,150.54,chittorgarh,237.0,chittorgarh,254.65,chittorgarh,236.15,chittorgarh,239.25,chittorgarh,"Repayment or prepayment in full or in part of certain loans availed byour Company | Purchase  of  medical  equipment  for  existing,recently  set  up and upcoming hospitals | Purchase   of   interiors,   furniture,   and   allied   infrastructure   for upcoming hospitals | General corporate purposes",chittorgarh,505.0,chittorgarh
INE795G01014,HDFC Standard Life Insurance Co.Ltd.,MB,HDFCLIFE,540777.0,2017-11-07,2017-11-09,2017-11-17,290.0,8695.01,Bookbuilding,"BSE, NSE",CLSA,2017,2006-2019,16.6,2.29,0.94,4.9,nse,27215.0,18141.0,30647.0,874.0,953.0,972.0,786.0,817.0,887.0,3.94,4.09,4.44,0.0,0.0,0.0,69309.0,76544.0,95097.0,4459.0,5687.0,6230.0,2541.0,3103.0,3826.0,30647.0,887.0,2.89,23.18,0.0,Mar 2017,3.0,screener,,,,,8695.0,chittorgarh,100.0,chittorgarh,2321.99,chittorgarh,311.0,chittorgarh,369.0,chittorgarh,307.65,chittorgarh,344.25,chittorgarh,To achieve the benefits of listing the Equity Shares on the Stock Exchanges | To carry  out  the sale  of  Offered  Shares  by  the Promoter Selling  Shareholders,chittorgarh,8695.0,chittorgarh
INE834I01025,Khadim India Ltd.,MB,KHADIM,540775.0,2017-11-02,2017-11-06,2017-11-14,750.0,543.06,Bookbuilding,"BSE, NSE",Axis Bank,2017,2006-2019,2.44,0.18,2.33,1.9,nse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,chittorgarh,493.0,chittorgarh,90.8,chittorgarh,162.92,chittorgarh,727.0,chittorgarh,740.0,chittorgarh,677.3,chittorgarh,688.5,chittorgarh,Prepayment  or  scheduled  repayment  of all  or a  portion  of  term  loans and  working capital facilities availed by our Company. | General corporate purposes,chittorgarh,543.0,chittorgarh
INE470Y01017,"New India Assurance Co.Ltd.,The",MB,NIACL,540769.0,2017-11-01,2017-11-03,2017-11-13,800.0,9585.82,Bookbuilding,"BSE, NSE",Axis Bank,2017,2006-2019,2.34,0.12,0.11,1.19,nse,13354.0,15215.0,20234.0,-3753.0,-2980.0,-458.0,1412.0,959.0,1050.0,35.4,24.03,26.15,0.0,0.0,0.0,62961.0,64407.0,70157.0,847.0,-1605.0,-124.0,20235.0,19626.0,20684.0,20234.0,1050.0,5.19,5.08,0.0,Mar 2017,3.0,screener,,,1917.0,chittorgarh,7669.0,chittorgarh,80.0,chittorgarh,,,748.9,chittorgarh,749.0,chittorgarh,717.75,chittorgarh,725.05,chittorgarh,,,9586.0,chittorgarh
INE766P01016,Mahindra Logistics Ltd.,MB,MAHLOG,540768.0,2017-10-31,2017-11-02,2017-11-10,429.0,828.88,Bookbuilding,"BSE, NSE",Axis Bank,2017,2006-2019,15.6,2.07,6.1,7.9,nse,1931.0,2064.0,2667.0,57.0,52.0,76.0,39.0,36.0,46.0,4.71,4.4,4.88,4.0,28.0,34.0,519.0,591.0,817.0,27.0,-48.0,-34.0,265.0,302.0,348.0,2667.0,46.0,1.72,13.22,0.1,Mar 2017,3.0,screener,,,,,829.0,chittorgarh,100.0,chittorgarh,247.2,chittorgarh,432.0,chittorgarh,433.95,chittorgarh,416.55,chittorgarh,429.15,chittorgarh,To achieve the benefits of listing the Equity Shares on the Stock Exchanges and for the Offer for Sale,chittorgarh,829.0,chittorgarh
INE298J01013,Reliance Nippon Life Asset Management Ltd.,MB,NAM-INDIA,540767.0,2017-10-25,2017-10-27,2017-11-06,252.0,1542.24,Bookbuilding,"BSE, NSE",Axis Capital,2017,2006-2019,,,,,,951.0,1311.0,1435.0,468.0,524.0,598.0,354.0,396.0,402.0,307.69,344.12,348.92,30.0,30.0,30.0,1702.0,1931.0,2051.0,-42.0,218.0,556.0,1506.0,1762.0,1843.0,1435.0,402.0,28.01,21.81,0.02,Mar 2017,3.0,screener,,,617.0,chittorgarh,925.0,chittorgarh,60.0,chittorgarh,462.67,chittorgarh,294.0,chittorgarh,298.7,chittorgarh,278.0,chittorgarh,284.0,chittorgarh,"Setting up new branches and relocating certain existing branches | Upgrading the IT system | Advertising, marketing and brand building activities | Lending to our Subsidiary (Reliance AIF) for investment of continuing interest in the new AIF schemes managed by Reliance AIF | Investing towards our continuing interest in new mutual fund schemes managed by us | Funding inorganic growth and strategic initiatives | General corporate purposes | Total",chittorgarh,1542.0,chittorgarh
INE481Y01014,General Insurance Corp.of India,MB,GICRE,540755.0,2017-10-11,2017-10-13,2017-10-25,912.0,11256.83,Bookbuilding,"BSE, NSE",Axis Capital,2017,2006-2019,2.25,0.22,0.63,1.38,nse,13595.0,15338.0,26776.0,-1566.0,-1512.0,-786.0,2891.0,2823.0,3672.0,336.16,3.28,4.27,0.0,0.0,0.0,74916.0,76103.0,97314.0,2635.0,6013.0,7901.0,44172.0,41875.0,20183.0,26776.0,3672.0,13.71,18.19,0.0,Mar 2017,3.0,screener,,,1553.0,chittorgarh,9704.0,chittorgarh,86.2,chittorgarh,,,850.0,chittorgarh,895.0,chittorgarh,780.25,chittorgarh,870.4,chittorgarh,Augmenting the capital base | General corporate purposes,chittorgarh,11257.0,chittorgarh
INE022Q01020,Indian Energy Exchange Ltd.,MB,IEX,540750.0,2017-10-09,2017-10-11,2017-10-23,1650.0,1000.73,Bookbuilding,"BSE, NSE",Axis Bank,2017,2006-2019,2.56,0.85,2.61,2.28,nse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001.0,chittorgarh,100.0,chittorgarh,,,1500.0,chittorgarh,1658.0,chittorgarh,1500.0,chittorgarh,1626.45,chittorgarh,,,1001.0,chittorgarh
INE348L01012,MAS Financial Services Ltd.,MB,MASFIN,540749.0,2017-10-06,2017-10-10,2017-10-18,459.0,460.04,Bookbuilding,"BSE, NSE",Motilal Oswal Investment,2017,2006-2019,148.33,378.53,15.97,128.39,nse,238.0,309.0,365.0,,,,41.0,55.0,69.0,8.33,11.29,5.32,,,,1572.0,1947.0,2200.0,-267.0,-281.0,-164.0,104.0,138.0,284.0,365.0,69.0,18.9,24.3,,Mar 2017,3.0,screener,,,233.0,chittorgarh,227.0,chittorgarh,49.3,chittorgarh,135.91,chittorgarh,660.0,chittorgarh,680.95,chittorgarh,625.0,chittorgarh,654.75,chittorgarh,To augment capital base to meet future capital requirements | Offer related expenses | Total,chittorgarh,460.0,chittorgarh
INE850D01014,Godrej Agrovet Ltd.,MB,GODREJAGRO,540743.0,2017-10-04,2017-10-06,2017-10-16,460.0,1157.31,Bookbuilding,"BSE, NSE",Axis Capital,2017,2006-2019,150.96,236.04,7.67,95.41,nse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.0,chittorgarh,866.0,chittorgarh,74.8,chittorgarh,341.19,chittorgarh,621.0,chittorgarh,629.85,chittorgarh,563.8,chittorgarh,595.55,chittorgarh,Repayment or prepayment of working capital facilities availed by the Company | Repayment of commercial papers issued by the Company | General corporate purposes,chittorgarh,1157.0,chittorgarh
