isin,company_name,type,nse_symbol,bse_script_code,open_date,close_date,listing_date,issue_price,issue_amount_cr,pricing_method,listing_at,lead_manager,year,market_maker,market_maker_src,fresh_issue_cr,fresh_issue_cr_src,ofs_cr,ofs_cr_src,ofs_pct,ofs_pct_src,anchor_allocation_cr,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr,issue_size_cr_src,sub_qib_x,sub_nii_x,sub_retail_x,sub_total_x,sub_qib_cr,sub_nii_cr,sub_retail_cr,sub_total_cr,gmp_pct,promoter_pre_issue_pct,promoter_post_issue_pct,price_band_low,book_built,lot_size_shares,min_investment_rs,pe_ratio,pat_ttm_cr,sales_ttm_cr,eps_ttm,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_fin_year,pre_ipo_years_available,sub_total_x_src,pat_yr3_src,gmp_pct_src,promoter_post_issue_pct_src,ticker_ns,ticker_bo,confidence,confidence_reason,isin_xchg_check,ticker_needs_review,name_at_ipo,official_isin_name,name_isin_check
INE0PQ001012,Vishnusurya Projects & Infra Ltd.,SME,VISHNUINFR,,2023-09-29,2023-10-05,2023-10-10,68.0,49.98,Fixed Price,NSE SME,Khandwala Securities,2023,Nikunj Stock Brokers Ltd.,chittorgarh,47.0,chittorgarh,3.0,chittorgarh,6.0,chittorgarh,,,73.0,chittorgarh,76.65,chittorgarh,73.0,chittorgarh,76.65,chittorgarh,"Funding of working capital requirements of the Company | Repayment / Prepayment, in part or full, of certain outstanding borrowings availed by the Company; and | General Corporate Purposes",chittorgarh,50.0,chittorgarh,0.0,36.3,43.6,44.1,0.0,907.64,1090.31,2204.62,10.29,100.0,63.69,68.0,False,2000.0,136000.0,5.7,29.0,271.0,12.0,76.0,132.0,271.0,36.0,33.0,50.0,22.0,17.0,29.0,10.1,9.6,12.0,42.0,60.0,158.0,26.0,24.0,36.0,118.0,121.0,301.0,-11.0,11.0,8.0,12.88,28.33,0.4,132.0,17.0,Mar 2023,2.0,sharescart,sharescart,investorgain,sharescart,VISHNUINFR.NS,,isin_authoritative,ISIN→symbol from official NSE list,match,,Vishnusurya Projects & Infra Ltd.,Vishnusurya Projects and Infra Limited,match
INE460Q01014,Sharp Chucks & Machines Ltd.,SME,SCML,,2023-09-29,2023-10-05,2023-10-12,58.0,16.84,Fixed Price,NSE SME,Fedex Securities,2023,Nikunj Stock Brokers Ltd.,chittorgarh,5.0,chittorgarh,11.0,chittorgarh,64.7,chittorgarh,,,66.0,chittorgarh,69.0,chittorgarh,63.0,chittorgarh,65.05,chittorgarh,Funding the working capital requirements; and | General corporate purposes,chittorgarh,17.0,chittorgarh,0.0,38.8,63.7,54.2,0.0,326.42,536.37,912.9,43.1,80.28,73.0,58.0,False,2000.0,116000.0,8.3,8.0,246.0,7.0,176.0,202.0,246.0,21.0,25.0,30.0,5.0,6.0,8.0,5.2,5.7,6.6,52.0,61.0,84.0,31.0,20.0,19.0,180.0,197.0,252.0,15.0,21.0,-12.0,2.84,9.62,0.6,176.0,5.0,Mar 2023,1.0,sharescart,sharescart,ipowatch,sharescart,SCML.NS,,isin_authoritative,ISIN→symbol from official NSE list,match,,Sharp Chucks & Machines Ltd.,Sharp Chucks and Machines Limited,match
INE0PXD01014,Plada Infotech Services Ltd.,SME,PLADAINFO,,2023-09-29,2023-10-05,2023-10-13,48.0,12.36,Fixed Price,NSE SME,Indorient Financial,2023,Nikunj Stock Brokers Ltd.,chittorgarh,12.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,,,59.0,chittorgarh,60.0,chittorgarh,56.05,chittorgarh,56.05,chittorgarh,"To meet the working capital requirements | To purchase Laptops and Accessories for IT Development; | Repayment and / or prepayment in part or in full, of certain outstanding loans of the Company; | General Corporate Purposes",chittorgarh,12.0,chittorgarh,0.0,39.8,73.8,57.9,0.0,245.93,455.78,714.75,14.58,89.5,62.64,48.0,False,3000.0,144000.0,21.8,2.0,67.0,2.2,62.0,63.0,67.0,5.0,6.0,5.0,2.0,3.0,2.0,3.9,3.1,2.2,8.0,22.0,23.0,12.0,11.0,9.0,28.0,39.0,44.0,4.0,-4.0,3.0,3.23,25.0,1.5,62.0,2.0,Mar 2023,1.0,sharescart,sharescart,investorgain,sharescart,PLADAINFO.NS,,isin_authoritative,ISIN→symbol from official NSE list,match,,Plada Infotech Services Ltd.,Plada Infotech Services Limited,match
INE0MGA01012,Karnika Industries Ltd.,SME,KARNIKA,,2023-09-29,2023-10-05,2023-10-12,76.0,25.07,Fixed Price,NSE SME,Beeline Capital,2023,Spread X Securities Pvt.Ltd.,chittorgarh,24.0,chittorgarh,1.0,chittorgarh,4.0,chittorgarh,,,81.0,chittorgarh,85.05,chittorgarh,81.0,chittorgarh,82.6,chittorgarh,To Meet Working Capital Requirement | General Corporate Purpose,chittorgarh,25.0,chittorgarh,0.0,3.2,2.9,3.1,0.0,40.37,36.48,76.98,3.95,100.0,51.62,76.0,False,1600.0,121600.0,5.2,18.0,173.0,14.5,125.0,127.0,173.0,17.0,19.0,30.0,8.0,10.0,18.0,1.8,1.6,2.9,18.0,53.0,71.0,0.0,2.0,1.0,98.0,120.0,154.0,-53.0,-6.0,4.0,6.4,44.44,0.0,125.0,8.0,Mar 2023,1.0,sharescart,sharescart,investorgain,sharescart,KARNIKA.NS,,isin_authoritative,ISIN→symbol from official NSE list,match,,Karnika Industries Ltd.,Karnika Industries Limited,match
INE0PA601017,Vivaa Tradecom Ltd.,SME,,544002.0,2023-09-27,2023-10-04,2023-10-12,51.0,7.99,Fixed Price,BSE SME,Interactive Financial,2023,Asnani Stock Broker Pvt.Ltd.,chittorgarh,8.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,,,40.8,chittorgarh,42.82,chittorgarh,38.76,chittorgarh,42.54,chittorgarh,Working capital requirement | General Corporate Purpose,chittorgarh,8.0,chittorgarh,0.0,0.7,2.9,1.8,0.0,2.8,11.42,14.46,,50.0,30.11,51.0,False,2000.0,102000.0,26.8,1.0,288.0,1.9,134.0,198.0,288.0,1.0,1.0,1.0,0.0,1.0,1.0,1.3,1.8,1.9,12.0,21.0,22.0,4.0,4.0,4.0,49.0,63.0,91.0,2.0,-8.0,-0.0,0.0,0.0,0.33,134.0,0.0,Mar 2023,1.0,sharescart,sharescart,,sharescart,,544002.BO,isin_authoritative,ISIN→symbol from official BSE list,match,,Vivaa Tradecom Ltd.,Vivaa Tradecom Ltd,match
INE0KFF01017,E Factor Experiences Ltd.,SME,EFACTOR,,2023-09-27,2023-10-03,2023-10-09,75.0,25.92,Bookbuilding,NSE SME,Hem Securities,2023,Hem Finlease Pvt.Ltd.,chittorgarh,25.0,chittorgarh,1.0,chittorgarh,3.8,chittorgarh,7.38,chittorgarh,115.0,chittorgarh,120.75,chittorgarh,115.0,chittorgarh,120.75,chittorgarh,"Investment in Subsidiary | To meet Working Capital requirements | Repayment and/or pre-payment, in full or part, of certain borrowings availed by the Company | General Corporate Purpose",chittorgarh,26.0,chittorgarh,46.1,168.3,47.8,73.1,597.33,654.19,433.46,1895.79,26.67,100.0,21.72,71.0,True,1600.0,120000.0,4.9,20.0,172.0,15.4,119.0,149.0,172.0,12.0,23.0,29.0,7.0,15.0,20.0,7.3,11.6,15.4,12.0,50.0,71.0,3.0,1.0,1.0,56.0,96.0,150.0,1.0,0.0,-17.0,5.88,58.33,0.25,119.0,7.0,Mar 2023,1.0,sharescart,sharescart,ipowatch,sharescart,EFACTOR.NS,,isin_authoritative,ISIN→symbol from official NSE list,match,,E Factor Experiences Ltd.,E Factor Experiences Limited,match
INE0KZ301010,Kontor Space Ltd.,SME,KONTOR,,2023-09-27,2023-10-03,2023-10-10,93.0,15.62,Fixed Price,NSE SME,Srujan Alpha Capital,2023,Rikhav Securities Ltd.,chittorgarh,15.0,chittorgarh,1.0,chittorgarh,6.2,chittorgarh,,,122.0,chittorgarh,122.0,chittorgarh,115.9,chittorgarh,115.9,chittorgarh,To make the payment of Rental Deposits of new co-working centers | To carry out the Capital Expenditure for fit outs of new co-working centers | General Corporate Purpose,chittorgarh,16.0,chittorgarh,0.0,41.9,95.5,71.0,0.0,327.09,745.97,1108.84,32.26,98.2,,93.0,False,1200.0,111600.0,13.9,4.0,20.0,6.7,9.0,11.0,20.0,4.0,4.0,6.0,2.0,2.0,4.0,4.2,3.2,6.7,5.0,22.0,26.0,5.0,5.0,4.0,13.0,31.0,38.0,3.0,0.0,1.0,22.22,40.0,1.0,9.0,2.0,Mar 2023,1.0,sharescart,sharescart,ipowatch,,KONTOR.NS,,isin_authoritative,ISIN→symbol from official NSE list,match,,Kontor Space Ltd.,Kontor Space Limited,match
INE0OLS01010,Vinyas Innovative Technologies Ltd.,SME,VINYAS,,2023-09-27,2023-10-03,2023-10-06,165.0,54.66,Bookbuilding,NSE SME,Sarthi Capital Advisors,2023,Gretex Share Broking Pvt.Ltd.,chittorgarh,52.0,chittorgarh,3.0,chittorgarh,5.5,chittorgarh,15.56,chittorgarh,330.0,chittorgarh,346.5,chittorgarh,313.5,chittorgarh,346.5,chittorgarh,Working Capital requirements of our Company | General Corporate Purposes,chittorgarh,55.0,chittorgarh,0.0,0.0,0.0,43.2,0.0,0.0,0.0,2363.55,18.18,39.87,29.37,162.0,True,800.0,132000.0,10.7,19.0,397.0,15.4,235.0,317.0,397.0,25.0,37.0,44.0,7.0,15.0,19.0,9.8,12.2,15.4,46.0,128.0,147.0,19.0,12.0,8.0,215.0,308.0,330.0,12.0,-29.0,9.0,2.98,15.22,0.41,235.0,7.0,Mar 2023,1.0,sharescart,sharescart,ipowatch,sharescart,VINYAS.NS,,isin_authoritative,ISIN→symbol from official NSE list,match,,Vinyas Innovative Technologies Ltd.,Vinyas Innovative Technologies Limited,match
INE0OPS01011,Oneclick Logistics India Ltd.,SME,OLIL,,2023-09-27,2023-10-03,2023-10-11,99.0,9.91,Fixed Price,NSE SME,Fedex Securities,2023,SS Corporate Securities Ltd.,chittorgarh,9.0,chittorgarh,1.0,chittorgarh,10.0,chittorgarh,,,140.0,chittorgarh,140.0,chittorgarh,133.0,chittorgarh,133.0,chittorgarh,Meeting incremental working capital requirements; | General corporate purposes,chittorgarh,10.0,chittorgarh,0.0,139.5,224.2,185.2,0.0,690.83,1110.63,1835.05,35.35,100.0,75.0,99.0,False,1200.0,118800.0,16.8,2.0,45.0,5.9,,,45.0,,,3.0,,,2.0,,,5.9,,,14.0,,,0.0,,,19.0,,,1.0,,,,,,,0.0,sharescart,sharescart,ipowatch,sharescart,OLIL.NS,,isin_authoritative,ISIN→symbol from official NSE list,match,,Oneclick Logistics India Ltd.,Oneclick Logistics India Limited,match
INE0QG301017,Canarys Automations Ltd.,SME,CANARYS,,2023-09-27,2023-10-03,2023-10-11,31.0,47.03,Bookbuilding,NSE SME,Indorient Financial,2023,Alacrity Securities Ltd.,chittorgarh,45.0,chittorgarh,2.0,chittorgarh,4.3,chittorgarh,10.02,chittorgarh,43.45,chittorgarh,44.9,chittorgarh,41.3,chittorgarh,41.3,chittorgarh,Funding of expenditure relating to solutions development for digital transformation and water resources management solutions | Creation of new delivery centre including infrastructure thereof and upgrading existing facilities; | Funding working capital requirements of the Company | General corporate purposes,chittorgarh,47.0,chittorgarh,0.0,0.0,0.0,9.9,0.0,0.0,0.0,467.51,16.13,77.49,,29.0,True,4000.0,124000.0,20.7,8.0,89.0,1.5,75.0,75.0,89.0,14.0,12.0,13.0,9.0,8.0,8.0,2.0,1.4,1.4,25.0,74.0,87.0,0.0,0.0,0.0,61.0,104.0,120.0,-7.0,-12.0,4.0,12.0,36.0,0.0,75.0,9.0,Mar 2023,1.0,sharescart,sharescart,ipowatch,,CANARYS.NS,,isin_authoritative,ISIN→symbol from official NSE list,match,,Canarys Automations Ltd.,Canarys Automations Limited,match
