isin,company_name,type,issue_price,issue_price_adj,listing_date,listing_open,listing_close,listing_gain_open,listing_gain_close,return_from_issue_1d,return_from_listing_1d,alpha_1d,alpha_sc_1d,return_from_issue_1w,return_from_listing_1w,alpha_1w,alpha_sc_1w,return_from_issue_1m,return_from_listing_1m,alpha_1m,alpha_sc_1m,return_from_issue_3m,return_from_listing_3m,alpha_3m,alpha_sc_3m,return_from_issue_6m,return_from_listing_6m,alpha_6m,alpha_sc_6m,return_from_issue_1y,return_from_listing_1y,alpha_1y,alpha_sc_1y,return_from_issue_2y,return_from_listing_2y,alpha_2y,alpha_sc_2y,return_from_issue_3y,return_from_listing_3y,alpha_3y,alpha_sc_3y,return_from_issue_5y,return_from_listing_5y,alpha_5y,alpha_sc_5y,return_from_issue_10y,return_from_listing_10y,alpha_10y,alpha_sc_10y,mfe_1m,mae_1m,mfe_lst_1m,mae_lst_1m,mfe_3m,mae_3m,mfe_lst_3m,mae_lst_3m,mfe_6m,mae_6m,mfe_lst_6m,mae_lst_6m,mfe_1y,mae_1y,mfe_lst_1y,mae_lst_1y,mfe_3y,mae_3y,mfe_lst_3y,mae_lst_3y,mfe_5y,mae_5y,mfe_lst_5y,mae_lst_5y,days_to_mfe_1m,days_to_mae_1m,days_to_breakeven_1m,days_to_mfe_3m,days_to_mae_3m,days_to_breakeven_3m,days_to_mfe_6m,days_to_mae_6m,days_to_breakeven_6m,days_to_mfe_1y,days_to_mae_1y,days_to_breakeven_1y,days_to_mfe_3y,days_to_mae_3y,days_to_breakeven_3y,days_to_mfe_5y,days_to_mae_5y,days_to_breakeven_5y,max_gain_pct,max_drawdown_pct,max_drawdown_duration_days,all_time_high,all_time_low,current_price,current_return_from_issue,outcome_class,volatility_annual,median_daily_turnover_inr,circuit_lock_frac,liquidity_flag,delisted,delist_reason,n_days_history,listing_metrics_status,price_source
INE916Y01027,Akme Fintrade (India) Ltd.,MB,120.0,12.0,2024-06-26,12.7,13.335,0.058333,0.11125,0.055667,-0.050019,-0.05738,-0.044395,-0.05375,-0.148481,-0.165981,-0.171821,-0.07625,-0.168729,-0.209202,-0.201,-0.07625,-0.168729,-0.258191,-0.251931,-0.07625,-0.168729,-0.162815,-0.202465,-0.375833,-0.43832,-0.508713,-0.461999,,,,,,,,,,,,,,,,,0.116667,-0.130417,0.004874,-0.217473,0.116667,-0.130417,0.004874,-0.217473,0.116667,-0.130417,0.004874,-0.217473,0.116667,-0.45,0.004874,-0.505062,,,,,,,,,1,7,0,1,7,0,1,7,0,1,317,0,,,,,,,0.116667,-0.634046,582,13.4,3.92,10.59,-0.1175,flat,0.51296,9430864.22,0.010417,ok,False,,288,ok,bhavcopy_daily
INE917M01012,Dilip Buildcon Ltd.,MB,219.0,219.0,2016-08-11,240.0,251.75,0.09589,0.149543,0.115068,-0.02999,-0.02999,,0.105251,-0.03853,-0.047969,,0.051142,-0.085601,-0.117554,,-0.00411,-0.133664,-0.125936,,0.273516,0.107845,0.086168,,1.38105,1.071301,0.941106,,2.865068,2.362264,2.032038,,0.842237,0.602582,0.309582,,1.477169,1.154916,0.260151,,,,,,0.182648,-0.015753,0.028798,-0.143793,0.182648,-0.187671,0.028798,-0.293347,0.340183,-0.187671,0.165839,-0.293347,1.716438,-0.187671,1.363059,-0.293347,4.696347,-0.187671,3.955313,-0.293347,4.696347,-0.187671,3.955313,-0.293347,1,18,0,1,90,0,182,90,0,362,90,0,642,90,0,642,90,0,4.696347,-0.865399,1833,1247.5,159.55,428.45,0.956393,winner,0.48363,120105544.65,0.001239,ok,False,,2421,ok,bhavcopy_daily
INE918N01018,Veto Switchgears & Cables Ltd.,SME,50.0,45.454545,2012-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.002,0.149653,-0.006938,0.65,0.002,0.635282,-0.006938,2.85,0.002,2.815659,-0.006938,,,,,,,,,,304,319,304,843,319,304,1725,319,304,,-0.894079,829,265.5,26.3,143.79,,,0.500101,5453290.8,0.043638,ok,False,,3002,unreliable_coverage,bhavcopy_daily
INE918Z01012,Kaynes Technology India Ltd.,MB,587.0,587.0,2022-11-22,778.0,689.95,0.325383,0.175383,0.21908,0.037177,0.035913,0.031335,0.250341,0.063773,0.043281,0.037387,0.196337,0.017827,0.024232,0.01585,0.598041,0.359591,0.382475,0.386752,1.175128,0.850569,0.844879,0.811009,3.243867,2.610624,2.524698,2.23214,8.898041,7.421117,7.141264,6.630928,9.022998,7.52743,7.098584,6.739816,,,,,,,,,0.357325,0.136712,0.154794,-0.032901,0.620528,0.135945,0.378723,-0.033553,1.262351,0.135945,0.924777,-0.033553,4.052129,0.135945,3.298282,-0.033553,12.325383,0.135945,10.337053,-0.033553,,,,,15,30,0,91,34,0,181,34,0,321,34,0,771,34,0,,,,12.325383,-0.605004,504,7822.0,666.8,3121.8,4.318228,multibagger,0.499981,1286861389.6,0.003444,ok,False,,871,ok,bhavcopy_daily
INE919I01024,Music Broadcast Ltd.,MB,333.0,53.28,2017-03-17,66.08,59.664,0.24024,0.11982,0.11982,0.0,0.0,,0.077177,-0.03808,-0.032398,,0.080781,-0.034862,-0.033852,,0.082733,-0.033119,-0.079843,,0.19985,0.071467,-0.029553,,0.094895,-0.022258,-0.13526,,-0.078078,-0.176723,-0.424189,,-0.649962,-0.687416,-0.691494,,-0.54955,-0.597747,-1.450941,,,,,,0.246246,0.045045,0.112899,-0.066774,0.246246,0.001502,0.112899,-0.105658,0.246246,0.001502,0.112899,-0.105658,0.378378,0.001502,0.230893,-0.105658,0.378378,-0.688438,0.230893,-0.721775,0.378378,-0.771021,0.230893,-0.795522,0,5,0,0,67,0,0,67,0,298,67,0,298,1092,0,298,1106,0,0.378378,-0.934908,2999,73.44,4.5,6.35,-0.880818,loser,0.377617,4169207.7,0.003529,ok,False,,2267,ok,bhavcopy_daily
INE920P01019,SI.VI.Shipping Corp.Ltd.,SME,25.0,25.0,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.632,0.178782,-0.198428,1.956,0.36,0.451866,-0.332024,,,,,,,,,,,,,1075,1064,1049,1524,1120,1049,,-0.661705,1052,452.3,25.0,300.0,,,1.026179,488250.0,0.520436,low,False,,367,unreliable_coverage,bhavcopy_daily
INE921L01032,Powerica Ltd.,MB,395.0,395.0,2026-04-02,366.0,390.0,-0.073418,-0.012658,-0.012658,0.0,0.0,0.0,0.003165,0.016026,-0.030732,-0.0369,0.240127,0.256026,0.199475,0.119739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264684,-0.075696,0.280897,-0.063846,,,,,,,,,,,,,,,,,,,,,28,0,0,,,,,,,,,,,,,,,,0.484304,-0.130178,10,586.3,365.1,499.8,0.265316,winner,0.396508,186524360.4,0.0,ok,False,,43,ok,bhavcopy_daily
INE922K01024,India Shelter Finance Corp.Ltd.,MB,493.0,493.0,2023-12-20,620.0,544.7,0.257606,0.104868,0.150913,0.041674,0.036715,0.024747,0.073631,-0.028272,-0.05213,-0.061728,0.16785,0.057004,0.034675,-0.026667,0.109229,0.003947,-0.028627,-0.019017,0.471298,0.33165,0.219791,0.06964,0.428195,0.292638,0.160178,-0.05238,0.686207,0.526161,0.298444,0.304009,,,,,,,,,,,,,0.27789,0.053043,0.1566,-0.046907,0.470791,0.053043,0.331191,-0.046907,0.513489,0.053043,0.369837,-0.046907,0.62069,0.053043,0.466862,-0.046907,,,,,,,,,0,8,0,44,8,0,182,8,0,268,8,0,,,,,,,1.052231,-0.333899,245,1011.75,519.15,756.7,0.534888,winner,0.325526,96121836.05,0.0,ok,False,,604,ok,bhavcopy_daily
INE923Y01023,Kenvi Jewels Ltd.,SME,36.0,36.0,2018-02-16,35.1,39.1,-0.025,0.086111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.563889,-0.887189,1020,15.7,1.64,2.28,-0.936667,wipeout,0.483923,602136.84,0.026063,low,False,,729,recovered_bhavcopy,bhavcopy_daily
INE924H01018,Roman Tarmat Ltd.,MB,175.0,175.0,2007-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.761905,890,153.9,6.0,51.77,,,0.671209,443285.15,0.069371,low,False,,3229,unreliable_coverage,bhavcopy_daily
