isin,company_name,type,issue_price,issue_price_adj,listing_date,listing_open,listing_close,listing_gain_open,listing_gain_close,return_from_issue_1d,return_from_listing_1d,alpha_1d,alpha_sc_1d,return_from_issue_1w,return_from_listing_1w,alpha_1w,alpha_sc_1w,return_from_issue_1m,return_from_listing_1m,alpha_1m,alpha_sc_1m,return_from_issue_3m,return_from_listing_3m,alpha_3m,alpha_sc_3m,return_from_issue_6m,return_from_listing_6m,alpha_6m,alpha_sc_6m,return_from_issue_1y,return_from_listing_1y,alpha_1y,alpha_sc_1y,return_from_issue_2y,return_from_listing_2y,alpha_2y,alpha_sc_2y,return_from_issue_3y,return_from_listing_3y,alpha_3y,alpha_sc_3y,return_from_issue_5y,return_from_listing_5y,alpha_5y,alpha_sc_5y,return_from_issue_10y,return_from_listing_10y,alpha_10y,alpha_sc_10y,mfe_1m,mae_1m,mfe_lst_1m,mae_lst_1m,mfe_3m,mae_3m,mfe_lst_3m,mae_lst_3m,mfe_6m,mae_6m,mfe_lst_6m,mae_lst_6m,mfe_1y,mae_1y,mfe_lst_1y,mae_lst_1y,mfe_3y,mae_3y,mfe_lst_3y,mae_lst_3y,mfe_5y,mae_5y,mfe_lst_5y,mae_lst_5y,days_to_mfe_1m,days_to_mae_1m,days_to_breakeven_1m,days_to_mfe_3m,days_to_mae_3m,days_to_breakeven_3m,days_to_mfe_6m,days_to_mae_6m,days_to_breakeven_6m,days_to_mfe_1y,days_to_mae_1y,days_to_breakeven_1y,days_to_mfe_3y,days_to_mae_3y,days_to_breakeven_3y,days_to_mfe_5y,days_to_mae_5y,days_to_breakeven_5y,max_gain_pct,max_drawdown_pct,max_drawdown_duration_days,all_time_high,all_time_low,current_price,current_return_from_issue,outcome_class,volatility_annual,median_daily_turnover_inr,circuit_lock_frac,liquidity_flag,delisted,delist_reason,n_days_history,listing_metrics_status,price_source
INE002L01015,SJVN Ltd.,MB,26.0,26.0,2010-05-20,27.1,25.1,0.042308,-0.034615,-0.05,-0.015936,-0.012611,,-0.075,-0.041833,-0.05305,,-0.073077,-0.039841,-0.103508,,-0.082692,-0.049801,-0.169576,,-0.086538,-0.053785,-0.266252,,-0.180769,-0.151394,-0.260286,,-0.284615,-0.258964,-0.247615,,-0.219231,-0.191235,-0.441801,,-0.065385,-0.031873,-0.722723,,-0.188462,-0.159363,-1.006086,,0.042308,-0.084615,0.079681,-0.051793,0.042308,-0.113462,0.079681,-0.081673,0.042308,-0.113462,0.079681,-0.081673,0.042308,-0.255769,0.079681,-0.229084,0.042308,-0.298077,0.079681,-0.272908,0.059615,-0.298077,0.09761,-0.272908,0,18,0,0,34,0,0,34,0,0,306,0,0,1019,0,1463,1019,0,5.557692,-0.588048,623,170.5,17.25,73.68,1.833846,multibagger,0.312321,24861792.4,0.0,ok,False,,3963,ok,bhavcopy_daily
INE002S01010,Mahanagar Gas Ltd.,MB,421.0,421.0,2016-07-01,540.0,520.3,0.28266,0.235867,0.235867,0.0,0.0,,0.193587,-0.034211,-0.033593,,0.208551,-0.022103,-0.059343,,0.568052,0.268787,0.234831,,0.871378,0.514223,0.531339,,1.348219,0.900058,0.756866,,0.970428,0.594369,0.307883,,0.959145,0.585239,0.160515,,1.699525,1.184317,0.296608,,,,,,0.303919,0.17019,0.055064,-0.053142,0.615083,0.17019,0.306842,-0.053142,0.966746,0.17019,0.59139,-0.053142,1.505819,0.17019,1.02758,-0.053142,2.271971,0.17019,1.647511,-0.053142,2.271971,0.17019,1.647511,-0.053142,0,12,0,90,12,0,151,12,0,301,12,0,490,12,0,490,12,0,3.72209,-0.537698,543,1988.0,492.65,1089.1,1.586936,multibagger,0.326242,376089558.3,0.0,ok,False,,2449,ok,bhavcopy_daily
INE004A01022,Protean eGov Technologies Ltd.,MB,792.0,792.0,2023-11-13,792.0,883.0,0.0,0.114899,0.114899,0.0,0.0,0.0,0.415088,0.269253,0.256372,0.250037,0.742551,0.562967,0.486705,0.49388,0.730177,0.551869,0.440135,0.406439,0.443687,0.294904,0.158072,0.113225,1.327652,1.087769,0.859421,0.737629,0.097096,-0.015968,-0.346785,-0.360122,,,,,,,,,,,,,0.742551,-0.021465,0.562967,-0.12231,1.161616,-0.021465,0.938845,-0.12231,1.161616,-0.021465,0.938845,-0.12231,1.809343,-0.021465,1.519819,-0.12231,,,,,,,,,30,0,0,85,0,0,85,0,0,291,0,0,,,,,,,1.809343,-0.796192,577,2225.0,444.0,616.6,-0.221465,loser,0.522094,332482054.5,0.0,ok,False,,629,ok,bhavcopy_daily
INE004I01017,Abhishek Mills Ltd.,MB,100.0,160000.0,2007-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.504,-0.898,0.584665,-0.674121,-0.504,-0.9335,0.584665,-0.78754,,,,,,,,,,,,,543,724,,543,1738,,,-0.989297,3930,79360.0,784.0,912.0,,,0.621286,33811.5,0.146091,low,True,,1458,unreliable_coverage,bhavcopy_daily
INE004Z01011,Mac Hotels Ltd.,SME,24.0,24.0,2018-10-04,24.6,25.8,0.025,0.075,0.075,0.0,0.026681,0.021183,0.241667,0.155039,0.189437,0.181371,1.354167,1.189922,1.194286,1.164893,2.166667,1.945736,1.938849,1.907005,3.083333,2.79845,2.704221,2.727399,2.166667,1.945736,1.89144,2.047421,1.70625,1.517442,1.440295,1.519381,0.19375,0.110465,-0.543619,-0.749501,0.558333,0.449612,-0.392853,-0.987924,,,,,1.354167,0.025,1.189922,-0.046512,2.166667,0.025,1.945736,-0.046512,3.25,0.025,2.953488,-0.046512,3.989583,0.025,3.641473,-0.046512,4.0,0.025,3.651163,-0.046512,4.0,-0.191667,3.651163,-0.248062,28,0,0,71,0,0,181,0,0,302,0,0,396,0,0,396,1217,0,4.0,-0.837996,915,120.0,19.4,86.0,2.583333,multibagger,1.128727,240960.0,0.551102,low,False,,499,ok,bhavcopy_daily
INE005I01014,AMD Metplast Ltd.,MB,75.0,45.967742,2007-03-19,39.9,38.5,-0.132,-0.162456,,,,,,,,,,,,,,,,,,,,,-0.424596,-0.312987,-0.545149,,-0.600807,-0.523377,-0.283033,,-0.471368,-0.368831,-0.794774,,-0.668246,-0.603896,-1.04941,,-0.393053,-0.275325,-1.763487,,,,,,,,,,,,,,-0.468,-0.693333,0.036364,-0.402597,-0.415333,-0.888,0.138961,-0.781818,-0.415333,-0.888,0.138961,-0.781818,,,,,,,,,,343,364,,1031,588,,1031,588,,1.304877,-0.843083,859,105.95,8.1,47.01,0.022674,flat,0.57778,296861.455,0.020656,low,False,,4454,inferred_split,bhavcopy_daily
INE006I01046,Astral Poly Technik Ltd.,MB,115.0,5.175003,2007-03-20,5.175003,4.704752,0.0,-0.09087,-0.14,-0.061224,-0.079331,,-0.244348,-0.175131,-0.20822,,-0.205217,-0.132416,-0.213563,,-0.088696,-0.005221,-0.14496,,0.004348,0.096346,-0.133155,,0.286957,0.404841,0.167836,,-0.677826,-0.648315,-0.407497,,0.606522,0.753678,0.330377,,2.272174,2.571903,2.1337,,46.756522,51.130992,49.653696,,-0.011739,-0.338696,0.078785,-0.278121,0.026957,-0.338696,0.121025,-0.278121,0.207826,-0.338696,0.318462,-0.278121,1.086957,-0.338696,1.278121,-0.278121,1.086957,-0.738696,1.278121,-0.71476,2.972174,-0.738696,3.336023,-0.71476,0,10,,64,10,56,114,10,56,304,10,56,304,724,56,1648,724,56,473.202661,-0.861746,435,2454.0,1.352251,1518.8,292.487776,multibagger,0.404703,20304041.4,0.002322,ok,False,,4738,recovered_bhavcopy,bhavcopy_daily
INE006Z01016,Arvee Laboratories (India) Ltd.,SME,61.0,30.5,2018-02-22,30.475,31.25,-0.00082,0.02459,-0.001639,-0.0256,-0.036036,-0.042093,-0.081967,-0.104,-0.111286,-0.12102,-0.017213,-0.0408,-0.003753,0.02116,-0.081967,-0.104,-0.116632,-0.036917,-0.2,-0.2192,-0.334782,-0.129405,-0.098361,-0.12,-0.159388,0.149098,-0.122951,-0.144,-0.307556,0.071342,0.360656,0.328,-0.114953,0.3063,2.47541,2.392,1.675038,2.019623,,,,,0.090164,-0.195082,0.064,-0.2144,0.090164,-0.195082,0.064,-0.2144,0.090164,-0.203279,0.064,-0.2224,0.090164,-0.213115,0.064,-0.232,0.360656,-0.383607,0.328,-0.3984,6.080328,-0.383607,5.9104,-0.3984,0,14,0,0,14,0,0,180,0,0,186,0,973,837,0,1177,837,0,9.327869,-0.68668,408,315.0,18.8,164.49,4.393115,multibagger,0.659186,122185.2,0.084507,low,False,,1349,ok,bhavcopy_daily
INE007N01010,Fedbank Financial Services Ltd.,MB,140.0,140.0,2023-11-30,138.0,140.25,-0.014286,0.001786,0.018214,0.016399,0.009706,0.01077,-0.006786,-0.008556,-0.046702,-0.033775,-0.0275,-0.029234,-0.108618,-0.088794,-0.145714,-0.147237,-0.239108,-0.276504,-0.137857,-0.139394,-0.25639,-0.312949,-0.180143,-0.181604,-0.38018,-0.518493,0.048286,0.046417,-0.255066,-0.21623,,,,,,,,,,,,,0.097143,-0.05,0.095187,-0.051693,0.097143,-0.159643,0.095187,-0.161141,0.097143,-0.223214,0.095187,-0.224599,0.097143,-0.335714,0.095187,-0.336898,,,,,,,,,15,0,0,15,91,0,15,104,0,15,358,0,,,,,,,0.274857,-0.441368,469,178.48,80.0,160.58,0.147,flat,0.345918,65785490.46,0.001618,ok,False,,618,ok,bhavcopy_daily
INE008I01026,Cox & Kings (India) Ltd.,MB,330.0,165.0,2009-12-11,171.6,212.7,0.04,0.289091,0.289091,0.0,0.0,,0.274091,-0.011636,0.01369,,0.287273,-0.00141,-0.026316,,0.427273,0.107193,0.103344,,0.336061,0.036436,0.036036,,0.637727,0.270451,0.125834,,0.103636,-0.143865,-0.094893,,-0.113333,-0.312177,-0.466868,,0.67,0.295487,-0.337337,,-0.988485,-0.991067,-2.32384,,0.423333,0.04,0.104137,-0.19323,0.478788,0.04,0.147156,-0.19323,0.716364,0.04,0.331453,-0.19323,0.99697,0.04,0.54913,-0.19323,0.99697,-0.278485,0.54913,-0.440291,1.23,-0.48697,0.729901,-0.602022,20,0,0,89,0,0,126,0,0,243,0,0,243,916,0,1740,1418,0,1.23,-0.998516,1851,367.95,0.48,1.63,-0.990121,wipeout,0.448125,27237449.0,0.06354,ok,True,,3006,ok,bhavcopy_daily
INE008Z01020,Shree Ram Proteins Ltd.,SME,31.0,3.1,2018-02-05,2.895,3.255,-0.066129,0.05,0.025806,-0.023041,-0.007263,-0.000892,0.032258,-0.016897,-0.005009,-0.057695,-0.001613,-0.049155,-0.001122,-0.012707,0.032258,-0.016897,-0.021486,-0.005301,-0.064516,-0.109063,-0.176615,-0.016145,-0.16129,-0.201229,-0.226335,0.063146,-0.193548,-0.231951,-0.365321,-0.011348,0.375806,0.310292,-0.086191,0.333024,0.8,0.714286,0.04045,0.340693,,,,,0.079032,-0.066129,0.02765,-0.110599,0.193548,-0.066129,0.136713,-0.110599,0.193548,-0.066129,0.136713,-0.110599,0.193548,-0.16129,0.136713,-0.201229,0.459677,-0.274194,0.390169,-0.308756,3.451613,-0.274194,3.239631,-0.308756,0,0,0,42,0,0,42,0,0,42,242,0,1093,889,0,1519,889,0,3.451613,-0.970183,1522,13.8,0.39,0.4,-0.870968,loser,0.555232,685273.925,0.178918,low,False,,1442,ok,bhavcopy_daily
INE009Q01019,Shri Krishna Prasadam Ltd.,SME,10.0,6.470588,2014-03-28,7.7,8.13,0.19,0.256455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542364,0.227552,-0.123304,,-0.658455,-0.728167,-1.43743,,-0.689364,-0.752768,-3.052809,,,,,,,,,,,,,,,,,,0.01,-0.29,0.242312,-0.126691,2.965,-0.826,3.876999,-0.785978,,,,,,,,,,,,,1085,1053,1083,1386,1593,1083,5.127727,-0.954026,248,39.65,1.74,2.01,-0.689364,loser,0.726042,19414.74,0.616959,low,True,,342,inferred_split,bhavcopy_daily
INE009U01011,Ghushine Fintrrade Ocean Ltd.,SME,10.0,10.0,2016-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,-0.08,0.686869,-0.070707,0.67,-0.38,0.686869,-0.373737,0.67,-0.38,0.686869,-0.373737,,,,,,,,,,365,253,243,365,650,243,365,650,243,,-0.628743,285,22.47,6.2,17.18,,,1.682263,200000.0,0.532468,low,False,,77,unreliable_coverage,bhavcopy_daily
INE00C401011,Mangalam Alloys Ltd.,SME,80.0,80.0,2023-10-04,80.0,76.0,0.0,-0.05,-0.0975,-0.05,-0.055642,-0.05574,-0.233125,-0.192763,-0.21207,-0.206581,-0.375625,-0.342763,-0.33219,-0.34974,-0.351875,-0.317763,-0.424845,-0.479843,-0.4825,-0.455263,-0.609541,-0.693304,-0.485,-0.457895,-0.757029,-0.951826,-0.301875,-0.265132,-0.545957,-0.663416,,,,,,,,,,,,,0.0,-0.416875,0.052632,-0.386184,0.0,-0.416875,0.052632,-0.386184,0.0,-0.593125,0.052632,-0.571711,0.0,-0.593125,0.052632,-0.571711,,,,,,,,,0,22,0,0,22,0,0,180,0,0,180,0,,,,,,,0.0025,-0.649342,541,80.2,26.25,32.1,-0.59875,loser,0.541568,981600.0,0.125796,low,False,,628,ok,bhavcopy_daily
INE00C501018,Ambani Organics Ltd.,SME,66.0,66.0,2018-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.337838,133,150.0,76.15,134.0,,,0.552166,272400.0,0.447514,low,False,,181,unreliable_coverage,bhavcopy_daily
INE00CE01017,Shree Vasu Logistics Ltd.,SME,45.0,30.0,2018-06-04,32.0,32.333333,0.066667,0.077778,0.066667,-0.010309,-0.006983,0.016652,0.078889,0.001031,-0.013877,-0.020214,0.24,0.150515,0.137212,0.192353,0.417778,0.315464,0.225719,0.296582,0.331111,0.235052,0.211036,0.381173,1.777778,1.57732,1.446243,1.680929,0.697778,0.575258,0.6286,0.94904,1.113333,0.960825,0.484572,0.613018,4.575,4.17268,3.428869,3.509458,,,,,0.24,0.066667,0.150515,-0.010309,0.433333,0.066667,0.329897,-0.010309,0.45,0.066667,0.345361,-0.010309,1.837778,0.066667,1.63299,-0.010309,1.888889,0.066667,1.680412,-0.010309,5.593333,0.066667,5.117526,-0.010309,28,0,0,84,0,0,155,0,0,364,0,0,367,0,0,1803,0,0,27.523333,-0.461538,291,855.7,32.0,747.9,23.93,multibagger,0.464978,348150.0,0.305991,low,False,,1402,ok,bhavcopy_daily
INE00CO01016,Artedz Fabs Ltd.,SME,36.0,36.0,2019-03-29,40.0,41.65,0.111111,0.156944,0.156944,0.0,0.0,0.0,0.073611,-0.072029,-0.080322,-0.075375,0.055556,-0.087635,-0.103594,-0.078589,-0.094444,-0.217287,-0.236202,-0.162082,-0.311111,-0.404562,-0.399583,-0.274386,,,,,,,,,,,,,,,,,,,,,0.208333,-0.055556,0.044418,-0.183673,0.208333,-0.138889,0.044418,-0.255702,0.208333,-0.451389,0.044418,-0.52581,,,,,,,,,,,,,3,25,0,3,76,0,3,126,0,,,,,,,,,,0.208333,-0.557396,325,43.5,18.25,18.7,-0.480556,loser,0.958419,204600.0,0.47191,low,False,,89,ok,bhavcopy_daily
INE00CU01013,Suich Industries Ltd.,SME,75.0,75.0,2019-06-13,68.5,71.35,-0.086667,-0.048667,-0.053333,-0.004905,0.002712,0.00131,-0.2,-0.159075,-0.152167,-0.130152,-0.42,-0.390329,-0.359983,-0.346658,-0.603333,-0.583041,-0.504877,-0.46363,-0.806667,-0.796776,-0.801624,-0.686822,-0.872133,-0.865592,-0.702663,-0.6037,-0.942267,-0.939313,-1.265424,-1.541422,-0.942267,-0.939313,-1.299203,-1.561251,-0.942267,-0.939313,-1.892037,-3.068763,-0.942267,-0.939313,-1.915782,-3.179051,-0.041333,-0.52,0.007708,-0.495445,-0.041333,-0.760667,0.007708,-0.748423,-0.041333,-0.806667,0.007708,-0.796776,-0.041333,-0.904933,0.007708,-0.90007,-0.041333,-0.942267,0.007708,-0.939313,-0.041333,-0.942267,0.007708,-0.939313,0,28,,0,55,,0,179,,0,284,,0,676,,0,676,,-0.041333,-0.939313,676,71.9,4.33,4.33,-0.942267,wipeout,0.741504,47488.0,0.566964,low,True,,224,ok,bhavcopy_daily
INE00CX01017,Mahip Industries Ltd.,SME,32.0,32.0,2019-03-12,32.0,33.6,0.0,0.05,0.046875,-0.002976,-0.00656,0.000647,0.04375,-0.005952,-0.02641,0.000572,-0.051562,-0.096726,-0.122874,-0.103547,-0.09375,-0.136905,-0.195695,-0.115335,-0.779687,-0.790179,-0.763796,-0.628855,-0.6675,-0.683333,-0.608757,-0.503277,-0.878125,-0.883929,-1.226689,-1.212509,-0.892813,-0.897917,-1.369482,-1.581,-0.892813,-0.897917,-1.888285,-2.634056,,,,,0.125,-0.051562,0.071429,-0.096726,0.125,-0.115625,0.071429,-0.157738,0.228125,-0.779687,0.169643,-0.790179,0.228125,-0.79625,0.169643,-0.805952,0.228125,-0.903125,0.169643,-0.907738,0.228125,-0.903125,0.169643,-0.907738,17,29,0,17,78,0,112,181,0,112,205,0,112,636,0,112,636,0,0.228125,-0.913769,535,39.3,3.1,23.28,-0.2725,loser,0.989466,87520.0,0.607774,low,False,,283,ok,bhavcopy_daily
INE00D001018,Rex Pipes & Cables Industries Ltd.,SME,26.0,26.0,2021-08-10,26.7,26.8,0.026923,0.030769,0.030769,0.0,-0.000132,0.005362,0.0,-0.029851,-0.050397,-0.034869,0.769231,0.716418,0.649517,0.662902,1.034615,0.973881,0.865518,0.849729,0.682692,0.632463,0.571858,0.516048,0.448077,0.404851,0.327784,0.381789,2.209615,2.113806,1.913377,1.805387,2.123077,2.029851,1.533085,1.041333,,,,,,,,,0.769231,-0.019231,0.716418,-0.048507,1.475,-0.019231,1.401119,-0.048507,1.475,-0.019231,1.401119,-0.048507,1.475,-0.019231,1.401119,-0.048507,2.476923,-0.019231,2.373134,-0.048507,,,,,30,1,0,38,1,0,38,1,0,38,1,0,722,1,0,,,,7.0,-0.539967,246,208.0,25.5,174.25,5.701923,multibagger,0.538747,586000.0,0.328228,low,False,,914,ok,bhavcopy_daily
INE00E101023,Bikaji Foods International Ltd.,MB,300.0,300.0,2022-11-16,322.8,317.45,0.076,0.058167,0.070833,0.01197,0.015542,0.01323,0.149167,0.085998,0.093733,0.085743,0.2835,0.212947,0.220587,0.178432,0.259667,0.190424,0.211815,0.220841,0.290833,0.219877,0.232257,0.186851,0.830333,0.729721,0.656089,0.354891,1.622,1.477871,1.19959,0.691916,1.373167,1.242715,0.835299,0.427008,,,,,,,,,0.489333,0.01,0.407466,-0.045519,0.491333,0.01,0.409356,-0.045519,0.491333,0.01,0.409356,-0.045519,0.866,0.01,0.763427,-0.045519,2.359833,0.01,2.175146,-0.045519,,,,,13,2,0,70,2,0,70,2,0,365,2,0,681,2,0,,,,2.359833,-0.418974,148,1007.95,303.0,654.95,1.183167,multibagger,0.337493,147573386.6,0.0,ok,False,,875,ok,bhavcopy_daily
INE00EM01016,Megastar Foods Ltd.,SME,30.0,30.0,2018-05-24,30.5,31.0,0.016667,0.033333,0.016667,-0.016129,-0.024813,-0.029354,0.233333,0.193548,0.172405,0.176916,0.683333,0.629032,0.599738,0.6635,0.683333,0.629032,0.527366,0.653377,0.916667,0.854839,0.853612,1.025601,1.116667,1.048387,0.921864,1.179707,1.163333,1.093548,1.233801,1.543665,0.0,-0.032258,-0.475621,-0.298506,8.166667,7.870968,7.125841,7.299015,,,,,0.95,0.016667,0.887097,-0.016129,0.95,0.016667,0.887097,-0.016129,0.983333,0.016667,0.919355,-0.016129,1.23,0.016667,1.158065,-0.016129,2.283333,-0.166667,2.177419,-0.193548,9.266667,-0.166667,8.935484,-0.193548,19,0,0,19,0,0,173,0,0,364,0,0,676,831,0,1819,831,0,12.498333,-0.746193,332,404.95,25.0,308.45,9.281667,multibagger,0.725849,1468038.5,0.12919,ok,False,,1432,ok,bhavcopy_daily
INE00ER01015,On Door Concepts Ltd.,SME,208.0,208.0,2023-11-01,214.0,203.4,0.028846,-0.022115,-0.070433,-0.04941,-0.056999,-0.060226,-0.193029,-0.174779,-0.198706,-0.218956,-0.062019,-0.040806,-0.108147,-0.15131,0.701202,0.739676,0.595564,0.484436,0.432212,0.464602,0.274193,0.145207,1.032692,1.078663,0.803969,0.599458,-0.355529,-0.340954,-0.695522,-0.783719,,,,,,,,,,,,,0.081731,-0.202644,0.106195,-0.184612,0.939183,-0.202644,0.983038,-0.184612,0.939183,-0.202644,0.983038,-0.184612,1.619712,-0.202644,1.678958,-0.184612,,,,,,,,,15,6,0,79,6,0,79,6,0,272,6,0,,,,,,,1.619712,-0.799905,533,544.9,100.0,162.45,-0.21899,loser,0.594759,1612800.0,0.132231,ok,False,,605,ok,bhavcopy_daily
INE00EV01017,Hariom Pipe Industries Ltd.,MB,153.0,153.0,2022-04-13,220.0,231.0,0.437908,0.509804,0.509804,0.0,0.0,0.0,0.431046,-0.052165,-0.03276,-0.028306,0.262092,-0.164069,-0.067163,-0.004629,0.359477,-0.099567,-0.013218,0.047279,0.780392,0.179221,0.199366,0.23973,2.311111,1.193074,1.172911,1.269707,2.781373,1.504545,1.21593,0.950252,1.407843,0.594805,0.288499,0.094869,,,,,,,,,0.601307,0.105229,0.060606,-0.267965,0.601307,0.105229,0.060606,-0.267965,0.996732,0.105229,0.322511,-0.267965,2.366013,0.105229,1.229437,-0.267965,4.808824,0.105229,2.847403,-0.267965,,,,,6,28,0,6,28,0,149,28,0,365,28,0,869,28,0,,,,4.808824,-0.689018,589,888.75,169.1,422.45,1.761111,multibagger,0.480739,51918765.0,0.001959,ok,False,,1021,ok,bhavcopy_daily
INE00F201020,Prudent Corporate Advisory Services Ltd.,MB,630.0,630.0,2022-05-20,650.0,561.75,0.031746,-0.108333,-0.108333,0.0,0.0,0.0,-0.187143,-0.088385,-0.09369,-0.058666,-0.206508,-0.110102,-0.050306,-0.023235,-0.023651,0.094971,0.003228,0.050232,0.277143,0.43231,0.306804,0.351549,0.359127,0.524255,0.405158,0.406363,1.569444,1.88162,1.500463,1.056811,3.18127,3.689275,3.155694,2.780822,,,,,,,,,0.031746,-0.268333,0.157098,-0.179439,0.031746,-0.268333,0.157098,-0.179439,0.345238,-0.268333,0.508678,-0.179439,0.75873,-0.268333,0.972408,-0.179439,4.928889,-0.268333,5.649221,-0.179439,,,,,0,28,0,0,28,0,168,28,0,228,28,0,896,28,0,,,,4.928889,-0.540179,122,3735.2,460.95,2696.9,3.280794,multibagger,0.477389,50788365.45,0.0,ok,False,,997,ok,bhavcopy_daily
INE00F301010,Ultra Wiring Connectivity System Ltd.,SME,35.0,35.0,2018-10-26,33.1,33.2,-0.054286,-0.051429,-0.051429,0.0,0.0,0.0,0.001429,0.055723,0.003579,-0.015551,-0.028571,0.024096,-0.02543,-0.037793,-0.477143,-0.448795,-0.523626,-0.495631,-0.205714,-0.162651,-0.3346,-0.278193,-0.39,-0.356928,-0.511853,-0.318518,-0.254286,-0.213855,-0.403322,-0.270274,-0.075714,-0.025602,-0.832721,-0.947211,1.951429,2.111446,1.20495,0.65796,,,,,0.007143,-0.1,0.061747,-0.051205,0.007143,-0.571429,0.061747,-0.548193,0.007143,-0.571429,0.061747,-0.548193,0.007143,-0.571429,0.061747,-0.548193,0.027143,-0.571429,0.082831,-0.548193,2.028571,-0.571429,2.192771,-0.548193,7,0,5,7,87,5,7,87,5,7,87,5,1049,87,5,1669,87,5,4.722857,-0.57204,80,200.3,15.0,92.95,1.655714,multibagger,0.693858,196800.0,0.755556,low,False,,405,ok,bhavcopy_daily
INE00FF01025,Acutaas Chemicals Ltd.,MB,610.0,305.0,2021-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.175252,3,3348.9,1040.5,3328.3,,,0.416422,528063599.7,0.003636,ok,False,,275,unreliable_coverage,bhavcopy_daily
INE00GK01023,Yash Highvoltage Ltd.,SME,146.0,146.0,2024-12-19,277.4,291.25,0.9,0.994863,1.094521,0.049957,0.065163,0.07009,0.884589,-0.055279,-0.046866,-0.033695,0.757534,-0.11897,-0.08772,-0.043836,0.043493,-0.47691,-0.445136,-0.303303,1.216781,0.111245,0.076109,0.180145,1.945205,0.476395,0.39228,0.567743,,,,,,,,,,,,,,,,,1.326712,0.623288,0.166352,-0.186266,1.326712,-0.006849,0.166352,-0.502146,1.5,-0.006849,0.253219,-0.502146,3.226027,-0.006849,1.118455,-0.502146,,,,,,,,,15,26,0,15,89,0,173,89,0,207,89,0,,,,,,,4.97911,-0.541615,69,872.95,145.0,703.0,3.815068,multibagger,0.616601,23982787.5,0.02507,ok,False,,359,ok,bhavcopy_daily
INE00H001014,Swiggy Ltd.,MB,390.0,390.0,2024-11-13,420.0,456.0,0.076923,0.169231,0.104359,-0.055482,-0.054364,-0.063353,0.057564,-0.095504,-0.093783,-0.105996,0.365,0.167434,0.116106,0.071851,-0.124615,-0.251316,-0.229507,-0.154152,-0.212051,-0.326096,-0.373121,-0.288182,-0.017692,-0.159868,-0.258349,-0.182705,,,,,,,,,,,,,,,,,0.478718,0.002564,0.264693,-0.142544,0.582821,-0.16359,0.353728,-0.284649,0.582821,-0.238462,0.353728,-0.348684,0.582821,-0.238462,0.353728,-0.348684,,,,,,,,,22,0,0,40,91,0,40,181,0,40,181,0,,,,,,,0.582821,-0.581973,528,617.3,244.5,250.6,-0.357436,loser,0.45932,3652719387.2,0.007833,ok,False,,383,ok,bhavcopy_daily
INE00IK01029,ShreeOswal Seeds & Chemicals Ltd.,SME,26.0,4.333333,2018-06-20,4.641667,4.5,0.071154,0.038462,0.003846,-0.033333,-0.03046,-0.024568,0.111538,0.07037,0.079714,0.114707,0.042308,0.003704,-0.018404,0.069068,0.038462,0.0,-0.042917,0.031752,0.061538,0.022222,0.004097,0.143465,0.086538,0.046296,-0.052079,0.201108,0.342308,0.292593,0.341576,0.624367,0.590385,0.531481,0.075552,0.163891,13.169231,12.644444,11.903323,11.904931,,,,,0.190385,0.0,0.146296,-0.037037,0.190385,0.0,0.146296,-0.037037,0.190385,-0.061538,0.146296,-0.096296,0.307692,-0.269231,0.259259,-0.296296,0.940385,-0.269231,0.868519,-0.296296,15.359615,-0.269231,14.753704,-0.296296,7,1,0,7,1,0,7,103,0,211,217,0,849,217,0,1808,217,0,15.359615,-0.844144,1065,70.891667,3.166667,11.06,1.552308,multibagger,0.530442,930296.77,0.192154,low,False,,1504,ok,bhavcopy_daily
INE00IN01015,Stove Kraft Ltd.,MB,385.0,385.0,2021-02-05,498.0,445.95,0.293506,0.158312,0.158312,0.0,0.0,0.0,0.315584,0.135778,0.11976,0.108221,0.306753,0.128153,0.127225,0.037057,0.304805,0.126472,0.133246,-0.017466,1.107662,0.819599,0.731557,0.435371,1.257662,0.949097,0.775417,0.419914,0.171169,0.0111,-0.185211,-0.391089,0.148442,-0.008521,-0.467335,-1.330067,0.407922,0.215495,-0.511627,-1.246208,,,,,0.422987,0.057143,0.228501,-0.087342,0.422987,0.054805,0.228501,-0.08936,1.207792,0.054805,0.906043,-0.08936,1.944675,0.054805,1.542213,-0.08936,1.944675,-0.082857,1.542213,-0.208207,1.944675,-0.082857,1.542213,-0.208207,26,3,0,26,42,0,179,42,0,255,42,0,255,773,0,255,773,0,1.944675,-0.676298,518,1133.7,353.1,649.25,0.686364,winner,0.443058,65691319.125,0.0,ok,False,,1314,ok,bhavcopy_daily
