isin,company_name,type,nse_symbol,bse_script_code,open_date,close_date,listing_date,issue_price,issue_amount_cr,pricing_method,listing_at,lead_manager,year,cohort,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_fin_year,pre_ipo_years_available,pat_yr3_src,market_maker,market_maker_src,fresh_issue_cr,fresh_issue_cr_src,ofs_cr,ofs_cr_src,ofs_pct,ofs_pct_src,anchor_allocation_cr,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr,issue_size_cr_src
INE299N01021,Sangam Advisors Ltd.,SME,WAAREERTL,534618,2012-07-24,2012-07-26,2012-08-09,22.00,5.10,Fixed Price,BSE SME,Aryaman Financial,2012,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K.M.Jain Stock Brokers Pvt.Ltd.,chittorgarh,4,chittorgarh,1.00,chittorgarh,20.0,chittorgarh,,,23.05,chittorgarh,23.05,chittorgarh,22.00,chittorgarh,22.10,chittorgarh,Investments in listed / unlisted securities and financial products | Issue expenses | General Corporate Expenses,chittorgarh,5,chittorgarh
INE253N01010,Max Alert Systems Ltd.,SME,,534563,2012-06-28,2012-07-02,2012-07-13,20.00,8.00,Fixed Price,BSE SME,Comfort Securities,2012,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfort Securities Ltd.,chittorgarh,7,chittorgarh,1.00,chittorgarh,12.5,chittorgarh,,,51.50,chittorgarh,51.50,chittorgarh,49.25,chittorgarh,49.25,chittorgarh,Setting up Crushing Plant | Issue Expenses | Total,chittorgarh,8,chittorgarh
INE204N01013,Monarch Health Services Ltd.,SME,,534422,2012-05-12,2012-05-16,2012-05-30,40.00,12.00,Fixed Price,BSE SME,Monarch Networth Capital,2012,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,chittorgarh,6.00,chittorgarh,50.0,chittorgarh,,,42.00,chittorgarh,42.00,chittorgarh,40.10,chittorgarh,40.10,chittorgarh,Advance Deposit of lease rentals for leasehold premises | Infrastructure | Medical Equipment | Computers & Air conditioners | Working Capital requirement | Total,chittorgarh,12,chittorgarh
INE883L01018,BCB Finance Ltd.,SME,,534109,2012-02-23,2012-02-27,2012-03-13,25.00,8.85,Fixed Price,BSE SME,Aryaman Financial,2012,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IKAB Securities & Investment Ltd.,chittorgarh,7,chittorgarh,2.00,chittorgarh,22.2,chittorgarh,,,27.00,chittorgarh,27.00,chittorgarh,25.70,chittorgarh,25.70,chittorgarh,To augment the capital base and provide for the fund requirements for increasing the operational scale with respect to the NBFC activities | To Meet General Corporate Expenses | Total,chittorgarh,9,chittorgarh
INE442P01014,Suyog Telematics Ltd.,SME,SUYOG,537259,2013-12-30,2014-01-07,2014-01-22,25.00,4.53,Fixed Price,BSE SME,Aryaman Financial,2013,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aryaman Capital Markets Ltd.,chittorgarh,4,chittorgarh,1.00,chittorgarh,20.0,chittorgarh,,,25.20,chittorgarh,25.25,chittorgarh,24.90,chittorgarh,25.25,chittorgarh,Installation of 10 new Roof Top Towers | Installation of 100 new Ground Based Poles | Upgradation and replacement of existing Towers and Poles | Issue related Expenses,chittorgarh,5,chittorgarh
INE140B01048,RCI Industries & Technologies Ltd.,SME,,537254,2013-12-30,2014-01-06,2014-01-21,40.00,11.52,Fixed Price,BSE SME,Sarthi Capital Advisors,2013,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,11,chittorgarh,1.00,chittorgarh,8.3,chittorgarh,,,41.00,chittorgarh,41.00,chittorgarh,38.05,chittorgarh,38.05,chittorgarh,Working Capital Requirement | General Corporate Purposes | Issue Expenses,chittorgarh,12,chittorgarh
INE486P01011,Tentiwal Wire Products Ltd.,SME,,537119,2013-12-11,2013-12-16,2013-12-31,13.00,2.12,Fixed Price,BSE SME,Hem Securities,2013,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Securities Ltd.,chittorgarh,2,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,12.50,chittorgarh,12.50,chittorgarh,11.90,chittorgarh,11.90,chittorgarh,Repayment of Loan taken from Aditya Birla Finance Limited (As on 30-6-2013) | General Corporate Purpose | Issue Expenses,chittorgarh,2,chittorgarh
INE536P01021,Captain Polyplast Ltd.,SME,,536974,2013-11-26,2013-11-28,2013-12-11,30.00,5.94,Fixed Price,BSE SME,Hem Securities,2013,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Securities Ltd.,chittorgarh,6,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,33.00,chittorgarh,34.65,chittorgarh,33.00,chittorgarh,34.65,chittorgarh,Construction of Building and Purchase of Furniture & Fixture | Purchase of Plant & Machineries | Working Capital Requirement | General Corporate Purpose | Total,chittorgarh,6,chittorgarh
INE325P01011,Stellar Capital Services Ltd.,SME,,536738,2013-10-15,2013-10-18,2013-11-01,20.00,9.01,Fixed Price,BSE SME,Aryaman Financial,2013,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSB E-Trade Securities Ltd.,chittorgarh,9,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,20.10,chittorgarh,20.10,chittorgarh,19.10,chittorgarh,19.10,chittorgarh,Acquire offices on rent / lease in Kolkata and Jaipur | To augment the capital base and provide for the fund requirements for increasing the operational scale with respect to the NBFC activities | Issue related Expenses,chittorgarh,9,chittorgarh
INE218P01018,Amrapali Capital & Finance Services Ltd.,SME,,536737,2013-10-15,2013-10-18,2013-10-31,100.00,25.78,Fixed Price,BSE SME,Corporate Strategic Allianz,2013,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khajanchi & Gandhi Stock Broking Pvt.Ltd.,chittorgarh,24,chittorgarh,2.00,chittorgarh,7.7,chittorgarh,,,100.60,chittorgarh,101.35,chittorgarh,100.60,chittorgarh,101.10,chittorgarh,Enhancement of margin money maintained with the Exchanges | General corporate purpose | Issue expenses,chittorgarh,26,chittorgarh
INE828O01033,MITCON Consultancy & Engineering Services Ltd.,SME,MITCON,,2013-10-15,2013-10-18,2013-11-01,61.00,23.44,Fixed Price,NSE SME,IDBI Capital,2013,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keynote Capitals Ltd.,chittorgarh,22,chittorgarh,1.00,chittorgarh,4.3,chittorgarh,,,60.00,chittorgarh,60.00,chittorgarh,51.10,chittorgarh,51.10,chittorgarh,"Acquisition of property for setting up new offices in Bangalore, Hyderabad, Chennai, New Delhi and Ahmedabad and environment testing laboratory in Bangalore and Ahmedabad | Purchase of office equipment for new offices | Purchase of furniture and fixtures and carrying out interior designing for the new offices and the environment testing laboratory | Purchase of equipment for environment testing laboratory at Ahmedabad and Bangalore | General Corporate Purposes",chittorgarh,23,chittorgarh
INE326P01019,S R G Securities Finance Ltd.,SME,,536710,2013-10-07,2013-10-14,2013-10-29,20.00,5.02,Fixed Price,BSE SME,Aryaman Financial,2013,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISJ Securities Pvt.Ltd.,chittorgarh,4,chittorgarh,1.00,chittorgarh,20.0,chittorgarh,,,23.90,chittorgarh,25.05,chittorgarh,22.75,chittorgarh,24.25,chittorgarh,To augment the capital base and provide for the fund requirements for increasing the operational scale with respect to the NBFC activities,chittorgarh,5,chittorgarh
INE962O01014,VCU Data Management Ltd.,SME,,536672,2013-10-04,2013-10-08,2013-10-23,25.00,18.75,Fixed Price,BSE SME,Monarch Networth Capital,2013,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monarch Networth Capital Ltd.,chittorgarh,10,chittorgarh,9.00,chittorgarh,47.4,chittorgarh,,,36.25,chittorgarh,36.25,chittorgarh,36.25,chittorgarh,36.25,chittorgarh,"For Augmenting Working Capital requirement | Demo Vans, Computers, Printers & Air conditioners & Office Furnitre & Fixtures | Contingencies @ 1% | Total",chittorgarh,19,chittorgarh
INE427O01018,Subh Tex (India) Ltd.,SME,,536671,2013-09-30,2013-10-07,2013-10-22,10.00,3.50,Fixed Price,BSE SME,Basan Financial,2013,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basan Equity Broking Ltd.,chittorgarh,3,chittorgarh,1.00,chittorgarh,25.0,chittorgarh,,,12.00,chittorgarh,12.60,chittorgarh,12.00,chittorgarh,12.60,chittorgarh,Meeting Additional Working Capital Requirements | Public Issue Expenses,chittorgarh,4,chittorgarh
INE596O01010,Newever Trade Wings Ltd.,SME,,536644,2013-09-30,2013-10-03,2013-10-17,10.00,6.32,Fixed Price,BSE SME,Inventure Merchant Banker,2013,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bindal Equities Ltd.,chittorgarh,6,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,12.20,chittorgarh,12.80,chittorgarh,12.20,chittorgarh,12.80,chittorgarh,Additional Margin Requirements | Public Issue Expenses,chittorgarh,6,chittorgarh
