isin,company_name,type,cohort,instrument_type,nse_symbol,bse_script_code,ticker_ns,ticker_bo,open_date,close_date,listing_date,issue_price,issue_size_cr,issue_amount_cr,fresh_issue_cr,ofs_cr,ofs_pct,sub_qib_x,sub_nii_x,sub_retail_x,sub_total_x,gmp_pct,promoter_pre_issue_pct,promoter_post_issue_pct,anchor_allocation_cr,lead_manager,market_maker,year,broad_sector,sector,industry,market_cap_cr,market_cap_class,pricing_method,listing_at,market_maker_src,fresh_issue_cr_src,ofs_cr_src,ofs_pct_src,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr_src,sub_qib_cr,sub_nii_cr,sub_retail_cr,sub_total_cr,price_band_low,book_built,lot_size_shares,min_investment_rs,pe_ratio,pat_ttm_cr,sales_ttm_cr,eps_ttm,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_fin_year,pre_ipo_years_available,sub_total_x_src,pat_yr3_src,gmp_pct_src,promoter_post_issue_pct_src,confidence,confidence_reason,isin_xchg_check,ticker_needs_review,name_at_ipo,official_isin_name,name_isin_check
INE368I01016,Niraj Cement Structurals Ltd.,MB,longterm,equity,NIRAJ,532986.0,,,2008-05-26,2008-05-30,2008-06-19,190.0,62.0,61.75,62.0,0.0,0.0,,,,,,,,,Allahabad Bank,,2008,Industrials,Construction,Civil Construction,169.0,micro,Bookbuilding,BSE,,chittorgarh,chittorgarh,chittorgarh,,185.0,chittorgarh,197.9,chittorgarh,169.7,chittorgarh,190.15,chittorgarh,Investment in capital equipment | Funding long term working Capital Requirements | General Corporate Purposes | Meeting the issue expenses,chittorgarh,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE450H01014,Anu's Laboratories Ltd.,MB,longterm,equity,,532981.0,,,2008-05-12,2008-05-15,2008-06-04,210.0,80.0,80.22,80.0,0.0,0.0,,,,,,,,,Almondz Global,,2008,,,,,,Bookbuilding,BSE,,chittorgarh,chittorgarh,chittorgarh,,260.0,chittorgarh,288.4,chittorgarh,256.6,chittorgarh,268.05,chittorgarh,Setting  up  a  new  plant  for  manufacturing  of  drug  intermediates  including Active Pharmaceutical Ingredients (APIs) | Setting  up  of  pilot  plant  for  carrying  out  Contract  Research  and  Manufacturing (CRAM) | Meeting long term working capital requirement | Meeting general corporate purposes | Meeting Issue expenses,chittorgarh,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE020J01029,Gokul Refoils & Solvent Ltd.,MB,longterm,equity,GOKUL,532980.0,,,2008-05-08,2008-05-13,2008-06-04,195.0,140.0,139.59,140.0,0.0,0.0,,,,,,,,,Anand Rathi Advisors,,2008,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Edible Oil,407.0,small,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,,203.45,chittorgarh,222.3,chittorgarh,176.3,chittorgarh,181.05,chittorgarh,"Setting up of a new 1500 TPD Soyabean processing plant near Gandhidham, Gujarat | Expansion of existing edible oil refinery at Surat from 100 TPD to 400 TPD | Further investment in the wholly owned subsidiary in Singapore | Funding part of the long term working capital | Brand building activities | Investment in increasing warehousing capacities and continuous Capex for existing units | General corporate purposes | Public Issue Expenses",chittorgarh,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE778I01024,Aishwarya Telecom Ltd.,MB,longterm,equity,,532975.0,,,2008-04-15,2008-04-17,2008-05-07,35.0,14.0,14.01,14.0,0.0,0.0,,,,,,,,,Srei Capital,,2008,,,,,,Bookbuilding,BSE,,chittorgarh,chittorgarh,chittorgarh,,50.1,chittorgarh,93.0,chittorgarh,50.1,chittorgarh,90.85,chittorgarh,"Capital Expenditure for Research & Development of Main Frame Optical Time Domain Reflecto Meter (OTDR) | Capital  Expenditure  for  Research  &  Development  of  Ethernet  Traffic  Analyzers | Cost   of   GSM/GPRS/CDMA   Analyzers   for   providing   Technical   Audit   Services to the Mobile Operators | Cost  of  land  &  construction  of  building  for  a  new  production  unit  at  Hyderabad | Cost  of  land  &  construction  of  building  for  new  corporate,  marketing,  administrative and R&D office at Hyderabad | Additional working capital requirements | Issue Expenses",chittorgarh,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE415I01015,Kiri Dyes & Chemicals Ltd.,MB,longterm,equity,KIRIINDUS,532967.0,,,2008-03-25,2008-04-02,2008-04-22,150.0,56.0,56.25,56.0,0.0,0.0,,,,,,,,,Centrum Capital,,2008,,,,,,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,,151.0,chittorgarh,204.0,chittorgarh,151.0,chittorgarh,158.55,chittorgarh,"Capital Expenditure for setting up Sulphuric Acid & 4,207.00 its sub-products Unit | Capital Expenditure for Dyes and Intermediates Unit | Additional Working capital margin | Issue Expenses | Total",chittorgarh,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE615H01020,Titagarh Wagons Ltd.,MB,longterm,equity,TITAGARH,532966.0,,,2008-03-24,2008-03-27,2008-04-21,540.0,129.0,128.72,112.0,17.0,13.2,,,,,,,,,Kotak Mahindra Capital,,2008,,,,,,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,,550.0,chittorgarh,734.4,chittorgarh,550.0,chittorgarh,707.2,chittorgarh,Set up an EMU manufacturing facility at the Uttarpara unit | Modernize and expand the existing facilities at the Titagarh and Uttarpara units | Set up an axle machining and wheelset  assembly facility at the Uttarpara unit | Construct a corporate office and a research and development centre | Strategic acquisition or investments | Brand building exercise | General corporate purposes | Issue expenses,chittorgarh,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE686I01011,Sita Shree Food Products Ltd.,MB,longterm,equity,SITASHREE,532961.0,,,2008-03-11,2008-03-14,2008-04-07,30.0,32.0,31.5,32.0,0.0,0.0,,,,,,,,,Keynote Financial,,2008,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Other Food Products,0.84,micro,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,,30.0,chittorgarh,46.65,chittorgarh,30.0,chittorgarh,43.9,chittorgarh,,,chittorgarh,,,,,,,,,,,,,,80.0,95.0,,3.0,3.0,,1.0,2.0,,,0.69,,8.0,45.0,,9.0,12.0,,26.0,76.0,,-1.0,-5.0,2.11,4.44,0.27,95.0,2.0,Mar 2008,2,,screener,,,,,,,,,
INE181G01025,Gammon Infrastructure Projects Ltd.,MB,longterm,equity,AJRINFRA,532959.0,,,2008-03-10,2008-03-13,2008-04-03,167.0,276.0,276.39,276.0,0.0,0.0,,,,,,,,,Macquarie Capital,,2008,,,,,,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,,180.0,chittorgarh,180.0,chittorgarh,147.6,chittorgarh,157.9,chittorgarh,Investment in KBICL for the Kosi Bridge Project. | Investment in GICL for the Gorakhpur Bypass Project | Investment in SHPVL for the Rangit-II Hydroelectric Project | Investment in MAIL for the Mumbai Nashik Road Project | Repayment of loan to GIL | General Corporate Purposes and Investment in strategic initiatives and acquisitions | Issue Expenses,chittorgarh,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE020B01018,Rural Electrification Corp.Ltd.,MB,longterm,equity,RECLTD,532955.0,,,2008-02-19,2008-02-22,2008-03-12,105.0,1639.0,1639.26,820.0,820.0,50.0,,,,,,,,,ICICI Securities,,2008,,,,,,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,,125.0,chittorgarh,128.4,chittorgarh,118.85,chittorgarh,121.2,chittorgarh,Augment its capital base to meet the future capital requirements arising out of growth in the business and for other general corporate purposes | Estimated Issue expenses,chittorgarh,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE951I01027,V-Guard Industries Ltd.,MB,longterm,equity,VGUARD,532953.0,,,2008-02-18,2008-02-21,2008-03-13,82.0,66.0,65.6,66.0,0.0,0.0,,,,,,,,,Anand Rathi Advisors,,2008,Consumer Discretionary,Consumer Durables,Household Appliances,13399.0,mid,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,,82.15,chittorgarh,98.9,chittorgarh,70.7,chittorgarh,73.45,chittorgarh,"Setting  up  of  facilities  for  Cable  manufacturing  in  Coimbatore  and Uttaranchal | Setting up of Enameling plant at Coimbatore | Setting  up  Development  and  Pilot  Production  Plants  for  water  Heaters, Fans and Pumps at Himachal Pradesh and Coimbatore | Investment  for  setting  up  Service  and  Distribution  Centres  at  Bangalore, Hubli and Vijaywada | Issue Management Expenses",chittorgarh,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE871H01011,GSS America Infotech Ltd.,MB,longterm,equity,GSS,532951.0,,,2008-02-11,2008-02-15,2008-03-07,400.0,140.0,139.9,140.0,0.0,0.0,,,,,,,,,Religare Securities,,2008,Information Technology,Information Technology,IT Enabled Services,35.3,micro,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,,400.0,chittorgarh,508.35,chittorgarh,400.0,chittorgarh,500.65,chittorgarh,Setting Up Gobal Delivery Centre- Land & Building | Interiors | Equipments and Networking | Computers | Setting up of overseas offices | Working Capital | Acquisitions | Issue Expenses,chittorgarh,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE474I01012,Tulsi Extrusions Ltd.,MB,longterm,equity,TULSI,532948.0,,,2008-02-01,2008-02-05,2008-02-25,85.0,48.0,48.45,48.0,0.0,0.0,,,,,,,,,Almondz Global,,2008,Industrials,Capital Goods,Plastic Products - Industrial,2.72,micro,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,,93.45,chittorgarh,143.45,chittorgarh,93.45,chittorgarh,139.5,chittorgarh,"Expansion of the manufacturing facilities at Jalgaon, Maharashtra | Meeting long term working capital requirements | Purchase of branch offices | Provision for Contingencies | General Corporate purposes | Issue Expenses",chittorgarh,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE435H01015,Manjushree Extrusions Ltd. FPO,MB,longterm,fpo,,532950.0,,,2008-01-31,2008-02-06,2008-02-28,45.0,23.0,23.07,23.0,0.0,0.0,,,,,,,,,Centrum Capital,,2008,,,,,,Fixed Price,BSE,,chittorgarh,chittorgarh,chittorgarh,,48.0,chittorgarh,66.0,chittorgarh,47.0,chittorgarh,52.7,chittorgarh,To expand and diversify its operations by setting up facilities for manufacture of Specialty Plastic Containers and PET Preforms. | To meet the Working Capital Margin requirement for the proposed project. | To meet the expenses of the issue,chittorgarh,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE821I01022,IRB Infrastructure Developers Ltd.,MB,longterm,equity,IRB,532947.0,,,2008-01-31,2008-02-05,2008-02-25,185.0,945.0,944.57,945.0,0.0,0.0,,,,,,,,,Deutsche Equities,,2008,Industrials,Construction,Civil Construction,25557.0,large,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,,170.05,chittorgarh,209.0,chittorgarh,167.3,chittorgarh,189.05,chittorgarh,"Investment in Subsidiary, IDAA | Prepayment and repayment of existing loans of the Company and the Subsidiaries the Company | Prepayment and repayment of existing loans of the Subsidary, Aryan Toll Road Private Limited | Prepayment and repayment of existing loans of the Subsidary, Modern Road Makers Private Limited | Prepayment and repayment of existing loans of the Subsidary, Thane Ghodbunder Toll Road Private Limited | Prepayment and repayment of existing loans of the Subsidary, NKT Road & Toll Private Limited | Prepayment and repayment of existing loans of the Subsidary, Ideal Road Builders Private Limited | Prepayment and repayment of existing loans of the Subsidary, Mhaiskar Infrastructure Private Limited | General corporate purposes | Issue related expenses | Total",chittorgarh,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
