isin,company_name,type,cohort,instrument_type,nse_symbol,bse_script_code,ticker_ns,ticker_bo,open_date,close_date,listing_date,issue_price,issue_size_cr,issue_amount_cr,fresh_issue_cr,ofs_cr,ofs_pct,sub_qib_x,sub_nii_x,sub_retail_x,sub_total_x,gmp_pct,promoter_pre_issue_pct,promoter_post_issue_pct,anchor_allocation_cr,lead_manager,market_maker,year,broad_sector,sector,industry,market_cap_cr,market_cap_class,pricing_method,listing_at,market_maker_src,fresh_issue_cr_src,ofs_cr_src,ofs_pct_src,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr_src,sub_qib_cr,sub_nii_cr,sub_retail_cr,sub_total_cr,price_band_low,book_built,lot_size_shares,min_investment_rs,pe_ratio,pat_ttm_cr,sales_ttm_cr,eps_ttm,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_fin_year,pre_ipo_years_available,sub_total_x_src,pat_yr3_src,gmp_pct_src,promoter_post_issue_pct_src,confidence,confidence_reason,isin_xchg_check,ticker_needs_review,name_at_ipo,official_isin_name,name_isin_check
INE01BK01022,Antony Waste Handling Cell Ltd.,MB,boom,equity,AWHCL,543254,AWHCL.NS,543254.BO,2020-12-21,2020-12-23,2021-01-01,315.00,300,299.99,85,215,71.7,0.89,0.26,0.38,0.5,55.56,,,90.00,Equirus Capital,,2020,Utilities,Utilities,Waste Management,1328.0,small,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,430.00,chittorgarh,492.75,chittorgarh,394.60,chittorgarh,407.25,chittorgarh,"Part-financing for PCMC WTE Project through investment in our Subsidiaries, AG Enviro and/orALESPL | Reduction of the consolidated borrowings of our Company by infusing debt in our Subsidiary -AG Enviro for repayment / prepayment of portion of their outstanding indebtedness | General corporate purposes",chittorgarh,chittorgarh,,,,,,,,,,,,,276.0,284.0,451.0,70.0,76.0,126.0,40.0,35.0,47.0,224.92,19.17,10.69,,,,,,,,,,36.0,31.0,108.0,10.42,,,451.0,47.0,Mar 2020,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Antony Waste Handling Cell Ltd.,Antony Waste Handling Cell Limited,match
INE495P01020,Mrs.Bectors Food Specialities Ltd.,MB,boom,equity,BECTORFOOD,543253,BECTORFOOD.NS,543253.BO,2020-12-15,2020-12-17,2020-12-24,288.00,541,540.54,41,500,92.4,176.85,620.86,29.33,198.02,74.65,,,162.01,ICICI Securities,,2020,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Packaged Foods,5271.0,mid,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,501.00,chittorgarh,601.20,chittorgarh,500.00,chittorgarh,595.55,chittorgarh,Financing the project cost towards Rajpura Expansion Project,chittorgarh,chittorgarh,,,,,,,,,,,,,691.0,784.0,762.0,86.0,97.0,93.0,36.0,33.0,30.0,1.25,1.16,1.06,266.0,294.0,319.0,139.0,165.0,134.0,511.0,577.0,566.0,,,109.0,3.94,9.4,0.42,762.0,30.0,Mar 2020,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Mrs.Bectors Food Specialities Ltd.,Mrs. Bectors Food Specialities Limited,match
INE07T201019,Restaurant Brands Asia Ltd.,MB,boom,equity,RBA,543248,RBA.NS,543248.BO,2020-12-02,2020-12-04,2020-12-14,60.00,810,810.00,450,360,44.4,,,,,71.67,,,364.50,CLSA,,2020,Consumer Discretionary,Consumer Services,Restaurants,3962.0,mid,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,115.35,chittorgarh,138.40,chittorgarh,108.40,chittorgarh,138.40,chittorgarh,Repayment or prepayment of outstanding borrowings of our Company obtained for setting up of new Company-owned Burger King Restaurants; and | Capital expenditure incurred for setting up of new Company-owned Burger King Restaurants | General corporate purposes,chittorgarh,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,investorgain,,isin_authoritative,human-verified rename / confirmed ISIN↔symbol,renamed_confirmed,,Burger King India Ltd.,Restaurant Brands Asia Limited,renamed_confirmed
INE068V01023,Gland Pharma Ltd.,MB,boom,equity,GLAND,543245,GLAND.NS,543245.BO,2020-11-09,2020-11-11,2020-11-20,1500.00,6480,6479.55,1250,5230,80.7,6.4,0.51,0.24,2.06,7.87,,,1943.86,Citigroup Global,,2020,Healthcare,Healthcare,Pharmaceuticals,37070.0,large,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,1701.00,chittorgarh,1850.00,chittorgarh,1701.00,chittorgarh,1820.45,chittorgarh,Funding incremental working capital requirements of our Company | Funding capital expenditure requirements of our Company | General corporate purposes,chittorgarh,chittorgarh,,,,,,,,,,,,,,,2633.0,,,955.0,,,773.0,,,49.88,,,3647.0,,,5.0,,,4086.0,,,701.0,29.36,21.2,0.0,2633.0,773.0,Mar 2020,1,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Gland Pharma Ltd.,Gland Pharma Limited,match
INE063P01018,Equitas Small Finance Bank Ltd.,MB,boom,equity,EQUITASBNK,543243,EQUITASBNK.NS,543243.BO,2020-10-20,2020-10-22,2020-11-02,33.00,518,517.60,280,238,45.9,,,,,3.03,,,139.68,Edelweiss Financial,,2020,Financial Services,Financial Services,Other Bank,8015.0,mid,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,31.00,chittorgarh,33.05,chittorgarh,30.10,chittorgarh,32.75,chittorgarh,Towards augmenting our Bank’s Tier I capital base to meet our Bank’s future capital requirements,chittorgarh,chittorgarh,,,,,,,,,,,,,1543.0,2112.0,2645.0,,,,32.0,211.0,244.0,0.32,2.09,2.31,2044.0,2254.0,2744.0,,,,13310.0,15763.0,19296.0,213.0,1799.0,440.0,9.22,8.89,,2645.0,244.0,Mar 2020,3,,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Equitas Small Finance Bank Ltd.,Equitas Small Finance Bank Limited,match
INE060901027,Likhitha Infrastructure Ltd.,MB,boom,equity,LIKHITHA,543240,LIKHITHA.NS,543240.BO,2020-09-29,2020-10-07,2020-10-15,120.00,61,61.20,61,0.00,0.0,21.99,1.54,23.71,9.51,5.0,,,,Unistone Capital,,2020,Industrials,Construction,Civil Construction,742.0,small,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,,130.10,chittorgarh,136.60,chittorgarh,125.00,chittorgarh,136.60,chittorgarh,Working Capital Requirements | General Corporate Purposes | Issue Expenses | Total,chittorgarh,chittorgarh,,,,,,,,,,,,,87.0,139.0,161.0,11.0,29.0,30.0,7.0,18.0,20.0,7.99,19.84,6.89,32.0,50.0,70.0,14.0,10.0,1.0,67.0,85.0,101.0,-1.0,3.0,18.0,12.42,28.57,0.01,161.0,20.0,Mar 2020,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Likhitha Infrastructure Ltd.,Likhitha Infrastructure Limited,match
INE249Z01020,Mazagon Dock Shipbuilders Ltd.,MB,boom,equity,MAZDOCK,543237,MAZDOCK.NS,543237.BO,2020-09-29,2020-10-01,2020-10-12,145.00,444,443.69,,444,100.0,89.71,678.88,35.63,157.41,72.41,,,,Axis Capital,,2020,Industrials,Capital Goods,Ship Building & Allied Services,99090.0,large,Bookbuilding,"BSE, NSE",,,chittorgarh,chittorgarh,,216.25,chittorgarh,216.65,chittorgarh,173.00,chittorgarh,173.00,chittorgarh,"To  carry  out  the  disinvestment  of 30,599,017#Equity  Shares  by  the  Selling Shareholder constituting 15.17% of our Company’s pre-Offer paid up Equity Share capital ; | Achieve the benefits of listing the Equity Shares on the Stock Exchanges",chittorgarh,chittorgarh,,,,,,,,,,,,,4457.0,4614.0,4905.0,157.0,261.0,263.0,496.0,532.0,471.0,11.07,11.88,11.66,2834.0,3217.0,3060.0,0.0,0.0,0.0,19374.0,20850.0,20943.0,491.0,65.0,-96.0,9.6,15.39,0.0,4905.0,471.0,Mar 2020,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Mazagon Dock Shipbuilders Ltd.,Mazagon Dock Shipbuilders Limited,match
INE094J01016,UTI Asset Management Co.Ltd.,MB,boom,equity,UTIAMC,543238,UTIAMC.NS,543238.BO,2020-09-29,2020-10-01,2020-10-12,554.00,2160,2159.88,,2160,100.0,3.34,0.93,2.32,2.31,2.53,,,644.64,Axis Capital,,2020,Financial Services,Financial Services,Asset Management Company,12090.0,mid,Bookbuilding,"BSE, NSE",,,chittorgarh,chittorgarh,chittorgarh,490.25,chittorgarh,530.00,chittorgarh,471.10,chittorgarh,476.60,chittorgarh,"To achieve the benefits of listing the Equity Shares on the Stock Exchanges and the sale of 38,987,081 Equity Shares by the Selling Shareholders in the Offer",chittorgarh,chittorgarh,,,,,,,,,,,,,1134.0,1051.0,854.0,558.0,498.0,349.0,402.0,348.0,275.0,31.68,27.83,21.41,2288.0,2605.0,2773.0,0.0,0.0,0.0,2550.0,3013.0,3165.0,316.0,123.0,181.0,32.2,9.92,0.0,854.0,275.0,Mar 2020,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,UTI Asset Management Co.Ltd.,UTI Asset Management Company Limited,match
INE732I01021,Angel Broking Ltd.,MB,boom,equity,ANGELONE,543235,ANGELONE.NS,543235.BO,2020-09-22,2020-09-24,2020-10-05,306.00,600,600.00,300,300,50.0,,,,,1.63,,,180.00,Edelweiss Financial,,2020,Financial Services,Financial Services,Stockbroking & Allied,31008.0,large,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,275.00,chittorgarh,296.45,chittorgarh,256.60,chittorgarh,275.85,chittorgarh,To meet working capital requirements | General corporate purposes,chittorgarh,chittorgarh,,,,,,,,,,,,,770.0,778.0,748.0,254.0,203.0,178.0,108.0,80.0,82.0,1.5,1.11,1.14,475.0,531.0,591.0,1125.0,872.0,491.0,2367.0,2209.0,2190.0,-309.0,689.0,643.0,10.96,13.87,0.83,748.0,82.0,Mar 2020,3,,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Angel Broking Ltd.,Angel One Limited,match
INE03YM01018,Chemcon Speciality Chemicals Ltd.,MB,boom,equity,CHEMCON,543233,CHEMCON.NS,543233.BO,2020-09-21,2020-09-23,2020-10-01,340.00,318,318.00,165,153,48.1,113.54,449.14,41.21,149.33,91.18,,,95.40,Ambit,,2020,Commodities,Chemicals,Specialty Chemicals,683.0,small,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,730.95,chittorgarh,743.80,chittorgarh,584.80,chittorgarh,584.80,chittorgarh,Capital expenditure towards expansion of Manufacturing Facility | To meet working capital requirements | General corporate purposes,chittorgarh,chittorgarh,,,,,,,,,,,,,158.0,303.0,262.0,46.0,66.0,70.0,26.0,43.0,49.0,33.21,13.54,15.37,54.0,97.0,147.0,17.0,33.0,46.0,97.0,173.0,226.0,14.0,11.0,12.0,18.7,33.33,0.31,262.0,49.0,Mar 2020,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Chemcon Speciality Chemicals Ltd.,Chemcon Speciality Chemicals Limited,match
INE596I01020,Computer Age Management Services Ltd.,MB,boom,equity,CAMS,543232,CAMS.NS,543232.BO,2020-09-21,2020-09-23,2020-10-01,1230.00,2243,2243.12,,2243,100.0,73.18,111.85,5.55,46.99,26.67,,,666.57,HDFC Bank,,2020,Financial Services,Financial Services,"Depositories, Clearing Houses and Other Intermediaries",19628.0,mid,Bookbuilding,BSE,,,chittorgarh,chittorgarh,chittorgarh,1518.00,chittorgarh,1550.00,chittorgarh,1306.20,chittorgarh,1401.60,chittorgarh,"To carry out the Offer for Sale of 18,246,600 Equity Shares by the Selling Shareholder | Achieve the benefits of listing the Equity Shares on the BSE",chittorgarh,chittorgarh,,,,,,,,,,,,,659.0,711.0,700.0,276.0,261.0,287.0,146.0,131.0,172.0,5.99,5.35,7.05,444.0,442.0,549.0,112.0,109.0,0.0,698.0,736.0,801.0,162.0,187.0,199.0,24.57,31.33,0.0,700.0,172.0,Mar 2020,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Computer Age Management Services Ltd.,Computer Age Management Services Limited,match
INE450U01017,Route Mobile Ltd.,MB,boom,equity,ROUTE,543228,ROUTE.NS,543228.BO,2020-09-09,2020-09-11,2020-09-21,350.00,600,600.00,240,360,60.0,89.76,192.81,12.67,73.3,88.57,,,180.00,Axis Capital,,2020,Telecommunication,Telecommunication,Other Telecom Services,3198.0,mid,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,708.00,chittorgarh,735.00,chittorgarh,625.00,chittorgarh,651.10,chittorgarh,"Repayment or pre-payment, in full or part, of certain borrowings of our Company | Acquisitions and other strategic initiatives | Purchase of office premises in Mumbai | General corporate purposes",chittorgarh,chittorgarh,,,,,,,,,,,,,505.0,845.0,956.0,72.0,87.0,101.0,48.0,56.0,58.0,9.74,11.38,11.65,171.0,223.0,269.0,84.0,79.0,53.0,423.0,487.0,625.0,28.0,23.0,98.0,6.07,21.56,0.2,956.0,58.0,Mar 2020,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Route Mobile Ltd.,ROUTE MOBILE LIMITED,match
INE419U01012,Happiest Minds Technologies Ltd.,MB,boom,equity,HAPPSTMNDS,543227,HAPPSTMNDS.NS,543227.BO,2020-09-07,2020-09-09,2020-09-17,166.00,702,702.02,110,592,84.3,77.43,351.46,70.94,150.98,87.35,,,315.91,ICICI Securities,,2020,Information Technology,Information Technology,Computers - Software & Consulting,5660.0,mid,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,351.00,chittorgarh,395.00,chittorgarh,351.00,chittorgarh,371.00,chittorgarh,To   meet long   term working   capital requirements | General  corporate  purposes,chittorgarh,chittorgarh,,,,,,,,,,,,,,590.0,698.0,,55.0,97.0,,14.0,72.0,,3.82,14.52,,-88.0,229.0,,144.0,150.0,,414.0,508.0,,58.0,112.0,10.32,31.44,0.66,698.0,72.0,Mar 2020,2,nse,screener,ipocentral,,isin_authoritative,ISIN→symbol from official NSE list,match,,Happiest Minds Technologies Ltd.,Happiest Minds Technologies Limited,match
INE0CCU25019,Mindspace Business Parks REIT,MB,boom,reit,MINDSPACE,543217,MINDSPACE.NS,543217.BO,2020-07-27,2020-07-29,2020-08-07,275.00,,4500.00,,,,,,,12.96,0.0,,,,Ambit,,2020,Consumer Discretionary,Realty,Real Estate Investment Trusts (REITs),30617.0,large,Bookbuilding,"BSE, NSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432.0,0.0,,1013.0,-5.0,,515.0,-5.0,,,,,1631.0,-5.0,,6162.0,0.0,,9132.0,0.0,,934.0,0.0,,100.0,-0.0,0.0,-5.0,Mar 2020,2,nse,screener,websearch,,chittorgarh_symbol,Chittorgarh nse_symbol (ISIN not in NSE exchange list),unchecked,,Mindspace Business Parks REIT,,no_ref
INE528G01035,Yes Bank Ltd. FPO,MB,boom,fpo,YESBANK,532648,YESBANK.NS,532648.BO,2020-07-15,2020-07-17,2020-07-27,12.00,,15000.00,,,,1.9,0.63,0.47,0.93,,,,,Axis Bank,,2020,Financial Services,Financial Services,Private Sector Bank,72658.0,large,Bookbuilding,"BSE, NSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,20269.0,29624.0,26052.0,,,,4233.0,1709.0,-16433.0,18.38,7.38,-13.09,25753.0,26887.0,21695.0,,,,312450.0,380860.0,257832.0,-21810.0,-24573.0,-57721.0,-63.08,-75.75,,26052.0,-16433.0,Mar 2020,3,nse,screener,,,isin_authoritative,ISIN→symbol from official NSE list,match,,Yes Bank Ltd. FPO,Yes Bank Limited,match
INE02A801020,Rossari Biotech Ltd.,MB,boom,equity,ROSSARI,543213,ROSSARI.NS,543213.BO,2020-07-13,2020-07-15,2020-07-23,425.00,496,496.25,50,446,89.9,85.26,239.83,7.23,79.37,41.18,,,148.87,Axis Bank,,2020,Commodities,Chemicals,Specialty Chemicals,2874.0,mid,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,670.00,chittorgarh,804.00,chittorgarh,663.55,chittorgarh,742.35,chittorgarh,Repayment/prepayment of certain indebtedness availed by our Company (including accrued interest) | Funding working capital requirements | General corporate purposes,chittorgarh,chittorgarh,,,,,,,,,,,,,,516.0,600.0,,78.0,105.0,,46.0,65.0,,103.82,12.86,,123.0,287.0,,8.0,67.0,,250.0,471.0,,71.0,57.0,10.83,22.65,0.23,600.0,65.0,Mar 2020,2,nse,screener,websearch,,isin_authoritative,ISIN→symbol from official NSE list,match,,Rossari Biotech Ltd.,Rossari Biotech Limited,match
INE018E01016,SBI Cards & Payment Services Ltd.,MB,boom,equity,SBICARD,543066,SBICARD.NS,543066.BO,2020-03-02,2020-03-05,2020-03-16,755.00,10341,10340.79,499,9841,95.2,,,,,25.17,,,2768.55,Axis Capital,,2020,Financial Services,Financial Services,Non Banking Financial Company (NBFC),59418.0,large,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,658.00,chittorgarh,755.00,chittorgarh,658.00,chittorgarh,683.20,chittorgarh,,,chittorgarh,,,,,,,,,,,,,3347.0,5195.0,7017.0,,,,373.0,601.0,865.0,4.75,7.66,10.33,1449.0,2353.0,3588.0,,,,10765.0,15686.0,20146.0,-2235.0,-2891.0,-2327.0,12.33,24.11,,7017.0,865.0,Mar 2019,3,,screener,websearch,,isin_authoritative,ISIN→symbol from official NSE list,match,,SBI Cards & Payment Services Ltd.,SBI Cards and Payment Services Limited,match
INE925R01014,CMS Info Systems Ltd.,MB,boom,equity,CMSINFO,543441,CMSINFO.NS,543441.BO,2021-12-21,2021-12-23,2021-12-31,216.00,1100,1100.00,,1100,100.0,1.98,1.45,2.15,1.95,3.7,,,330.00,Axis Capital,,2021,Services,Services,Diversified Commercial Services,5013.0,mid,Bookbuilding,"BSE, NSE",,,chittorgarh,chittorgarh,chittorgarh,218.50,chittorgarh,260.00,chittorgarh,215.00,chittorgarh,237.40,chittorgarh,,,chittorgarh,,,,,,,,,,,,,1146.0,1383.0,1306.0,198.0,254.0,294.0,96.0,135.0,169.0,6.5,9.1,11.39,746.0,850.0,984.0,0.0,0.0,0.0,1093.0,1333.0,1612.0,102.0,214.0,185.0,12.94,17.17,0.0,1306.0,169.0,Mar 2021,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,CMS Info Systems Ltd.,CMS Info Systems Limited,match
INE07RO01027,Supriya Lifescience Ltd.,MB,boom,equity,SUPRIYA,543434,SUPRIYA.NS,543434.BO,2021-12-16,2021-12-20,2021-12-28,274.00,700,700.00,200,500,71.4,31.83,161.22,56.01,71.51,47.45,,,315.00,Axis Capital,,2021,Healthcare,Healthcare,Pharmaceuticals,7796.0,mid,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,425.00,chittorgarh,425.00,chittorgarh,383.15,chittorgarh,390.35,chittorgarh,"Funding capital expenditure requirements of the Company; | Repayment and/ or pre-payment, in full or part, of certain borrowings availed by the Company | General corporate purposes.",chittorgarh,chittorgarh,,,,,,,,,,,,,278.0,312.0,391.0,65.0,98.0,173.0,39.0,73.0,124.0,26.93,50.11,16.89,94.0,149.0,269.0,90.0,82.0,72.0,253.0,336.0,445.0,49.0,117.0,76.0,31.71,46.1,0.27,391.0,124.0,Mar 2021,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Supriya Lifescience Ltd.,Supriya Lifescience Limited,match
INE0GSL01024,HP Adhesives Ltd.,MB,boom,equity,HPAL,543433,HPAL.NS,543433.BO,2021-12-15,2021-12-17,2021-12-27,274.00,126,125.96,113,13,10.3,1.82,19.04,81.24,20.96,29.2,,,56.68,Unistone Capital,,2021,Commodities,Chemicals,Specialty Chemicals,331.0,small,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,319.00,chittorgarh,334.95,chittorgarh,319.00,chittorgarh,334.95,chittorgarh,Funding capital expenditure for the Proposed Expansion | Funding the incremental working capital requirements of the Company | General corporate purposes,chittorgarh,chittorgarh,,,,,,,,,,,,,,85.0,118.0,,4.0,12.0,,-5.0,10.0,,-0.73,1.55,,2.0,13.0,,36.0,43.0,,57.0,90.0,,1.0,11.0,8.47,76.92,3.31,118.0,10.0,Mar 2021,2,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,HP Adhesives Ltd.,HP Adhesives Limited,match
INE0IX101010,Data Patterns (India) Ltd.,MB,boom,equity,DATAPATTNS,543428,DATAPATTNS.NS,543428.BO,2021-12-14,2021-12-16,2021-12-24,585.00,588,588.22,240,348,59.2,190.86,254.22,23.14,119.62,54.7,,,176.47,IIFL Capital,,2021,Industrials,Capital Goods,Aerospace & Defense,22635.0,large,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,864.00,chittorgarh,864.00,chittorgarh,744.05,chittorgarh,754.85,chittorgarh,"Prepayment or repayment of all, or a portion, of certain outstanding borrowings availed by the Company | Funding working capital requirements of the Company | Upgrading and expanding our existing facilities at Chennai; | General corporate purposes",chittorgarh,chittorgarh,,,,,,,,,,,,,131.0,156.0,224.0,26.0,43.0,92.0,8.0,21.0,56.0,45.3,123.84,326.86,133.0,154.0,208.0,60.0,61.0,37.0,277.0,295.0,329.0,-4.0,13.0,55.0,25.0,26.92,0.18,224.0,56.0,Mar 2021,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Data Patterns (India) Ltd.,Data Patterns (India) Limited,match
INE804L01022,Medplus Health Services Ltd.,MB,boom,equity,MEDPLUS,543427,MEDPLUS.NS,543427.BO,2021-12-13,2021-12-15,2021-12-23,796.00,1398,1398.29,600,798,57.1,111.89,85.33,5.23,52.59,15.7,,,417.99,Axis Capital,,2021,Consumer Discretionary,Consumer Services,Pharmacy Retail,10747.0,mid,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,1015.00,chittorgarh,1143.10,chittorgarh,1015.00,chittorgarh,1120.85,chittorgarh,"Investment into our Material Subsidiary, Optival for funding working capital requirements of Optival | General corporate purposes",chittorgarh,chittorgarh,,,,,,,,,,,,,2273.0,2871.0,3069.0,120.0,134.0,217.0,12.0,2.0,63.0,585.46,107.02,1393.11,291.19,528.19,730.45,429.0,477.0,590.0,959.0,1349.0,1566.0,147.0,-7.0,3.0,2.05,8.62,0.81,3069.0,63.0,Mar 2021,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Medplus Health Services Ltd.,Medplus Health Services Limited,match
INE317I01021,Metro Brands Ltd.,MB,boom,equity,METROBRAND,543426,METROBRAND.NS,543426.BO,2021-12-10,2021-12-14,2021-12-22,500.00,1368,1367.51,295,1073,78.4,8.49,3.02,1.13,3.64,11.0,,,410.25,Ambit,,2021,Consumer Discretionary,Consumer Durables,Footwear,27918.0,large,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,436.00,chittorgarh,507.70,chittorgarh,426.10,chittorgarh,493.55,chittorgarh,"Expenditure for opening new stores of the Company, under the “Metro”, “Mochi”, “Walkway” and “Crocs” brands (“New Stores”); | General corporate purposes",chittorgarh,chittorgarh,,,,,,,,,,,,,1217.0,1285.0,800.0,337.0,355.0,175.0,153.0,161.0,65.0,11.13,11.8,2.57,650.0,808.0,828.0,424.0,549.0,567.0,1322.0,1617.0,1659.0,196.0,273.0,265.0,8.12,7.85,0.68,800.0,65.0,Mar 2021,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Metro Brands Ltd.,Metro Brands Limited,match
INE0BV301023,C.E.Info systems Ltd.,MB,boom,equity,MAPMYINDIA,543425,MAPMYINDIA.NS,543425.BO,2021-12-09,2021-12-13,2021-12-21,1033.00,1040,1039.61,,1040,100.0,196.36,424.69,15.2,154.71,64.86,,,311.88,Axis Capital,,2021,Information Technology,Information Technology,Software Products,4489.0,mid,Bookbuilding,"BSE, NSE",,,chittorgarh,chittorgarh,chittorgarh,1581.00,chittorgarh,1586.85,chittorgarh,1282.20,chittorgarh,1394.55,chittorgarh,,,chittorgarh,,,,,,,,,,,,,135.0,149.0,152.0,26.0,29.0,51.0,34.0,23.0,60.0,87.59,60.53,156.07,156.0,169.0,229.0,154.0,151.0,149.0,340.0,358.0,428.0,27.0,27.0,82.0,39.47,26.2,0.65,152.0,60.0,Mar 2021,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,C.E.Info systems Ltd.,C.E. Info Systems Limited,match
INE217L01019,Shriram Properties Ltd.,MB,boom,equity,SHRIRAMPPS,543419,SHRIRAMPPS.NS,543419.BO,2021-12-08,2021-12-10,2021-12-20,118.00,600,600.04,250,350,58.3,1.85,4.82,12.72,4.6,8.47,,,268.65,Axis Capital,,2021,Consumer Discretionary,Realty,"Residential, Commercial Projects",1522.0,small,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,94.00,chittorgarh,106.35,chittorgarh,91.75,chittorgarh,99.40,chittorgarh,"Repayment and/ or pre-payment, in full or part, of certain borrowings availed by the Company and our Subsidiaries, Shriprop Structures, Global Entropolis and Bengal Shriram; and | General corporate purposes, subject to applicable laws",chittorgarh,chittorgarh,,,,,,,,,,,,,650.0,572.0,432.0,-2.0,-10.0,17.0,49.0,-86.0,-68.0,3.39,-5.8,-4.6,980.0,904.0,838.0,846.0,739.0,727.0,3353.0,3403.0,3284.0,-179.0,129.0,148.0,-15.74,-8.11,0.87,432.0,-68.0,Mar 2021,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Shriram Properties Ltd.,Shriram Properties Limited,match
