isin,company_name,type,nse_symbol,bse_script_code,open_date,close_date,listing_date,issue_price,issue_amount_cr,pricing_method,listing_at,lead_manager,year,market_maker,market_maker_src,fresh_issue_cr,fresh_issue_cr_src,ofs_cr,ofs_cr_src,ofs_pct,ofs_pct_src,anchor_allocation_cr,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr,issue_size_cr_src,sub_qib_x,sub_nii_x,sub_retail_x,sub_total_x,sub_qib_cr,sub_nii_cr,sub_retail_cr,sub_total_cr,gmp_pct,promoter_pre_issue_pct,promoter_post_issue_pct,price_band_low,book_built,lot_size_shares,min_investment_rs,pe_ratio,pat_ttm_cr,sales_ttm_cr,eps_ttm,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_fin_year,pre_ipo_years_available,sub_total_x_src,pat_yr3_src,gmp_pct_src,promoter_post_issue_pct_src
INE0P7201019,Drone Destination Ltd.,SME,DRONE,,2023-07-07,2023-07-13,2023-07-21,65.00,44.20,Bookbuilding,NSE SME,Narnolia Financial,2023,Nikunj Stock Brokers Ltd. Share India Securities Ltd.,chittorgarh,41,chittorgarh,3.00,chittorgarh,6.8,chittorgarh,12.27,chittorgarh,107.45,chittorgarh,107.95,chittorgarh,102.10,chittorgarh,102.10,chittorgarh,To meet out the expenses for purchase of new drones. | To meet out the expenses for purchase of vehicle | To meet out the Capital Expenditure Requirement. | To meet out the Working Capital requirements | To meet out the General Corporate Purposes;,chittorgarh,44,chittorgarh,50.5,243.9,250.1,191.7,1115.17,1616.73,3868.89,8470.93,55.38,85.14,62.31,62,True,2000,130000,-23.2,-7,25,-2.8,12,32,25,5,14,0,3,7,-7,1.5,2.9,-2.8,18,62,59,1,2,4,24,76,77,1,-15,-10,25.00,16.67,0.06,12,3,Mar 2023,1,sharescart,sharescart,ipowatch,sharescart
INE0POP01017,AccelerateBS India Ltd.,SME,,543938,2023-07-06,2023-07-11,2023-07-19,90.00,5.69,Fixed Price,BSE SME,Shreni Shares,2023,Shreni Shares Ltd.,chittorgarh,1,chittorgarh,4,chittorgarh,66.7,chittorgarh,,,109.50,chittorgarh,114.97,chittorgarh,109.50,chittorgarh,114.97,chittorgarh,Long-Term Working Capital Requirements; and | General corporate purposes,chittorgarh,6,chittorgarh,0,39.3,59.1,49.2,0.00,111.63,168.11,279.79,22.22,100,46.81,90,False,1600,144000,34.6,1,7,2.6,,7,7,,2,1,,0,1,,0.1,2.1,,4,4,,1,2,,5,7,,-1,1,,,,,,,0,sharescart,sharescart,ipowatch,sharescart
INE0NZF01019,Alphalogic Industries Ltd.,SME,,543937,2023-07-03,2023-07-06,2023-07-14,96.00,12.88,Fixed Price,BSE SME,Finshore Management,2023,Nikunj Stock Brokers Ltd.,chittorgarh,12,chittorgarh,1.00,chittorgarh,7.7,chittorgarh,,,96.00,chittorgarh,98.30,chittorgarh,96.00,chittorgarh,96.29,chittorgarh,To meet Working Capital Requirements | General Corporate Purposes,chittorgarh,13,chittorgarh,0,4.2,5.2,5.3,0.00,27.30,33.42,68.78,,100,73.67,96,False,1200,115200,33.1,3,62,2.9,18,48,62,3,4,4,2,2,3,2.9,2.3,2.9,4,19,22,0,0,0,10,26,28,-1,-3,3,11.11,50.00,0.00,18,2,Mar 2023,1,sharescart,sharescart,,sharescart
INE0LWY01029,Tridhya Tech Ltd.,SME,TRIDHYA,,2023-06-30,2023-07-05,2023-07-13,42.00,26.41,Bookbuilding,NSE SME,Interactive Financial,2023,Econo Broking Pvt.Ltd.,chittorgarh,25,chittorgarh,1.00,chittorgarh,3.8,chittorgarh,7.52,chittorgarh,42.00,chittorgarh,44.10,chittorgarh,39.90,chittorgarh,44.10,chittorgarh,"Repayment of unsecured and secured loans. | General Corporate Purpose,",chittorgarh,26,chittorgarh,0,0,0,72.4,0.00,0.00,0.00,1911.53,9.52,80.8,58.98,35,True,3000,126000,-28,-4,36,-1.5,22,35,36,8,6,6,3,-0,-4,1.9,-0.2,-1.5,21,47,43,32,29,20,65,91,150,-16,-6,21,13.64,14.29,1.52,22,3,Mar 2023,1,sharescart,sharescart,ipowatch,sharescart
INE0BTR01012,Synoptics Technologies Ltd.,SME,SYNOPTICS,,2023-06-30,2023-07-05,2023-07-13,237.00,54.04,Fixed Price,NSE SME,First Overseas,2023,NNM Securities Pvt.Ltd.,chittorgarh,32,chittorgarh,19,chittorgarh,35.2,chittorgarh,,,238.00,chittorgarh,238.00,chittorgarh,226.10,chittorgarh,226.10,chittorgarh,Repayment of certain Borrowings; | Funding additional Working capital requirements | Investment in Strategic Acquisition / Joint Venture; and | General Corporate Purposes,chittorgarh,54,chittorgarh,0,2.6,2.5,2.7,0.00,69.71,68.63,143.74,8.44,100,73.11,237,False,600,142200,49.4,4,43,4.8,51,43,43,16,14,12,7,6,4,9.5,7.1,4.8,25,66,70,10,6,9,55,91,113,-1,-23,-1,13.73,28.00,0.40,51,7,Mar 2023,1,sharescart,sharescart,ipowatch,sharescart
INE0PS501019,Global Pet Industries Ltd.,SME,GLOBALPET,,2023-06-28,2023-07-03,2023-07-10,49.00,13.23,Fixed Price,NSE SME,Shreni Shares,2023,Shreni Shares Ltd.,chittorgarh,13,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,52.00,chittorgarh,54.60,chittorgarh,51.50,chittorgarh,52.80,chittorgarh,Funding Capital Expenditure towards construction of factory building; and | General corporate purposes,chittorgarh,13,chittorgarh,0,4.4,4.1,4.3,0.00,29.37,27.39,56.89,4.08,100,55.3,49,False,3000,147000,12,4,45,4.1,35,39,45,2,3,6,2,2,4,2.8,2.1,3.6,9,24,51,0,0,0,21,34,61,-3,-6,1,5.71,22.22,0.00,35,2,Mar 2023,1,sharescart,sharescart,investorgain,sharescart
INE0ORS01017,Pentagon Rubber Ltd.,SME,PENTAGON,,2023-06-26,2023-06-30,2023-07-07,70.00,16.17,Bookbuilding,NSE SME,Beeline Capital,2023,Sunflower Broking Pvt.Ltd.,chittorgarh,15,chittorgarh,1.00,chittorgarh,6.2,chittorgarh,4.59,chittorgarh,130.00,chittorgarh,130.00,chittorgarh,123.50,chittorgarh,123.50,chittorgarh,To Meet Working Capital Requirement | General Corporate Purpose,chittorgarh,16,chittorgarh,0,0,0,106.2,0.00,0.00,0.00,1717.25,7.14,100,62.28,65,True,2000,140000,20,3,49,3.5,43,58,49,6,7,4,3,4,3,5.7,5.8,3.5,9,29,32,8,14,14,32,56,59,2,-12,6,6.98,33.33,0.89,43,3,Mar 2023,1,sharescart,sharescart,ipowatch,sharescart
INE0ITO01014,Essen Speciality Films Ltd.,SME,ESFL,,2023-06-23,2023-06-27,2023-07-06,107.00,66.33,Bookbuilding,NSE SME,GYR Capital,2023,SMC Global Securities Ltd.,chittorgarh,47,chittorgarh,16,chittorgarh,24.2,chittorgarh,18.89,chittorgarh,140.00,chittorgarh,147.00,chittorgarh,140.00,chittorgarh,147.00,chittorgarh,Prepayment or repayment of all or a portion of certain outstanding borrowings availed by the Company | Funding the working capital requirements of the Company; and | General corporate purposes,chittorgarh,66,chittorgarh,45.3,112.2,68.1,71,1501.08,1116.46,1580.31,4711.52,51.4,100,,101,True,1200,128400,22.8,12,173,4.7,119,143,173,22,26,24,14,14,12,7.4,5.7,4.7,85,143,153,3,0,0,110,153,192,25,-3,-12,11.76,16.47,0.04,119,14,Mar 2023,1,sharescart,sharescart,investorgain,
INE0O7P01015,Greenchef Appliances Ltd.,SME,GREENCHEF,,2023-06-23,2023-06-27,2023-07-06,87.00,53.62,Bookbuilding,NSE SME,Hem Securities,2023,Hem Finlease Pvt.Ltd.,chittorgarh,51,chittorgarh,3.00,chittorgarh,5.6,chittorgarh,15.24,chittorgarh,104.00,chittorgarh,109.20,chittorgarh,104.00,chittorgarh,109.20,chittorgarh,Funding Capital Expenditure towards installation of additional plant and machinery | Funding Capital Expenditure towards construction of factory building | Funding of Working capital requirements | General Corporate Purpose,chittorgarh,54,chittorgarh,0,0,0,44.9,0.00,0.00,0.00,2406.99,17.24,100,73.52,82,True,1600,139200,33.5,6,373,2.6,328,331,373,23,13,16,10,5,6,6.1,2.1,2.6,61,115,120,27,25,22,194,290,306,21,-24,34,3.05,16.39,0.44,328,10,Mar 2023,1,sharescart,sharescart,ipowatch,sharescart
INE0O1S01012,Magson Retail & Distribution Ltd.,SME,MAGSON,,2023-06-23,2023-06-27,2023-07-06,65.00,13.74,Fixed Price,NSE SME,ISK Advisors,2023,Sunflower Broking Pvt.Ltd.,chittorgarh,13,chittorgarh,1.00,chittorgarh,7.1,chittorgarh,,,91.15,chittorgarh,95.70,chittorgarh,86.60,chittorgarh,95.70,chittorgarh,To set up new organisation and stores under franchise model & tie up with major suppliers. | Working Capital Requirement | General Corporate Purpose,chittorgarh,14,chittorgarh,0,0,0,6.7,0.00,0.00,0.00,92.61,1.54,100,59.98,65,False,2000,130000,108.3,0,67,0.6,64,68,67,5,5,2,3,3,0,4.4,3.6,0.6,9,24,25,2,0,0,20,31,41,1,-0,-10,4.69,33.33,0.22,64,3,Mar 2023,1,sharescart,sharescart,investorgain,sharescart
