isin,company_name,type,nse_symbol,bse_script_code,open_date,close_date,listing_date,issue_price,issue_amount_cr,pricing_method,listing_at,lead_manager,year,market_maker,market_maker_src,fresh_issue_cr,fresh_issue_cr_src,ofs_cr,ofs_cr_src,ofs_pct,ofs_pct_src,anchor_allocation_cr,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr,issue_size_cr_src,sub_qib_x,sub_nii_x,sub_retail_x,sub_total_x,sub_qib_cr,sub_nii_cr,sub_retail_cr,sub_total_cr,gmp_pct,promoter_pre_issue_pct,promoter_post_issue_pct,price_band_low,book_built,lot_size_shares,min_investment_rs,pe_ratio,pat_ttm_cr,sales_ttm_cr,eps_ttm,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_fin_year,pre_ipo_years_available,sub_total_x_src,pat_yr3_src,gmp_pct_src,promoter_post_issue_pct_src
INE0D5F01013,Net Pix Shorts Digital Media Ltd.,SME,,543247,2020-11-18,2020-11-23,2020-12-02,30.00,2.70,Fixed Price,BSE SME,Aryaman Financial,2020,Aryaman Capital Markets Ltd.,chittorgarh,3,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,30.15,chittorgarh,30.15,chittorgarh,30.00,chittorgarh,30.05,chittorgarh,Acquisition of workshop & Godown and Writer’s Lounge on a long term lease basi | Further Augment our Digital Media Content Library | General Corporate Purpose,chittorgarh,3,chittorgarh,,,,,,,,,,,,,,,,,,,,,,0.18,,,0.07,,,0.02,,,0.12,,,,,,,,,,,,-3.0,11.11,,,0.18,0.02,Mar 2020,1,,screener,,
INE0BLY01023,Shine Fashions (India) Ltd.,SME,,543244,2020-10-22,2020-10-26,2020-11-02,40.00,1.60,Fixed Price,BSE SME,Shreni Shares,2020,Shreni Shares Ltd.,chittorgarh,2,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,40.50,chittorgarh,40.50,chittorgarh,38.50,chittorgarh,39.55,chittorgarh,To meet Working Capital requirements | General Corporate Purpose | To meet the Issue Expenses,chittorgarh,2,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0EEJ01023,Bodhi Tree Multimedia Ltd.,SME,BTML,543767,2020-10-09,2020-10-13,2020-10-21,95.00,3.71,Fixed Price,NSE SME,Shreni Shares,2020,Shreni Shares Ltd.,chittorgarh,4,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,95.00,chittorgarh,97.50,chittorgarh,94.00,chittorgarh,95.80,chittorgarh,To meet working capital requirement | General Corporate Expenses,chittorgarh,4,chittorgarh,,,,,,,,,,,,,,,,,,,,,,27.0,,,3.0,,,4.0,,,0.9,,,,,,,,,,,,-4.0,14.81,,,27.0,4.0,Mar 2020,1,,screener,,
INE244W01010,Veer Global Infraconstruction Ltd.,SME,,543241,2020-09-30,2020-10-09,2020-10-19,28.00,4.92,Fixed Price,BSE SME,Capital Square,2020,,,5,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,31.00,chittorgarh,31.00,chittorgarh,29.45,chittorgarh,29.50,chittorgarh,To Meet the Short term Working Capital Expenses. | General corporate purpose.,chittorgarh,5,chittorgarh,,,,,,,,,,,,,,,,,,,,,10.08,8.51,,0.21,0.28,,0.12,0.19,,0.25,0.21,,5.81,10.24,,1.27,0.17,,29.33,32.63,,-0.99,-3.98,2.23,1.86,0.02,8.51,0.19,Mar 2020,2,,screener,,
INE0ALR01029,Atal Realtech Ltd.,SME,ATALREAL,543911,2020-09-30,2020-10-07,2020-10-15,72.00,10.83,Fixed Price,NSE SME,Aryaman Financial,2020,Aryaman Capital Markets Ltd.,chittorgarh,2,chittorgarh,9,chittorgarh,81.8,chittorgarh,,,70.20,chittorgarh,70.20,chittorgarh,66.70,chittorgarh,66.70,chittorgarh,Funding Working Capital Requirement | General Corporate Purpose,chittorgarh,11,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0E2801015,GM Polyplast Ltd.,SME,,543239,2020-09-30,2020-10-06,2020-10-14,159.00,8.09,Fixed Price,BSE SME,Gretex Corporate,2020,Gretex Share Broking Pvt.Ltd.,chittorgarh,5,chittorgarh,3,chittorgarh,37.5,chittorgarh,,,160.00,chittorgarh,168.00,chittorgarh,153.20,chittorgarh,167.50,chittorgarh,To Meet working capital requirement | General Corporate Purposes,chittorgarh,8,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0D0U01013,AAA Technologies Ltd.,SME,AAATECH,543671,2020-09-30,2020-10-05,2020-10-13,42.00,10.23,Fixed Price,NSE SME,Chartered Finance,2020,NNM Securities Pvt.Ltd.,chittorgarh,10,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,44.50,chittorgarh,44.60,chittorgarh,42.30,chittorgarh,43.60,chittorgarh,Expansion and development of business operations across various cities in India | Working Capital Requirements (includingBank Guarantee) | General Corporate purposes,chittorgarh,10,chittorgarh,,,,,,,,,,,,,,,,,,,,10.23,10.34,14.16,1.29,2.94,5.05,1.0,2.06,3.69,12.5,25.75,46.12,,,,,,,,,,0.95,0.94,1.17,26.06,,,14.16,3.69,Mar 2020,3,,screener,,
INE0A0S01028,Sigma Solve Ltd.,SME,SIGMA,543917,2020-09-29,2020-10-09,2020-10-19,45.00,4.95,Fixed Price,NSE SME,Beeline Broking,2020,Nikunj Stock Brokers Ltd.,chittorgarh,5,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,46.00,chittorgarh,46.00,chittorgarh,45.10,chittorgarh,45.10,chittorgarh,Acquisitions And Other Strategic Initiatives | Investment in Subsidiary | General Corporate Purpose | Public Issue Expenses,chittorgarh,5,chittorgarh,,,,,,,,,,,,,,,,,,,,,,10.0,,,2.0,,,2.0,,,0.2,,,6.0,,,3.0,,,14.0,,,-0.0,20.0,33.33,0.5,10.0,2.0,Mar 2020,1,,screener,,
INE09KD01013,Atam Valves Ltd.,SME,ATAM,543236,2020-09-18,2020-09-25,2020-10-06,40.00,4.50,Fixed Price,BSE SME,Fedex Securities,2020,Rikhav Securities Ltd.,chittorgarh,4,chittorgarh,1.00,chittorgarh,20.0,chittorgarh,,,40.00,chittorgarh,40.00,chittorgarh,38.00,chittorgarh,39.05,chittorgarh,Repayment/ Prepayment of certain secured borrowings availed by our Company | General corporate purposes,chittorgarh,5,chittorgarh,,,,,,,,,,,,,,,,,,,,17.3,18.34,16.29,2.48,2.52,1.86,0.51,0.65,0.04,0.85,1.08,0.07,3.71,4.36,4.86,12.75,10.72,8.5,18.56,17.26,16.02,0.96,3.63,3.74,0.25,0.82,1.75,16.29,0.04,Mar 2020,3,,screener,,
INE0BTM01013,SecMark Consultancy Ltd.,SME,SECMARK,543234,2020-09-18,2020-09-23,2020-10-01,135.00,15.04,Fixed Price,BSE SME,Indorient Financial,2020,Vijeta Broking India Pvt.Ltd.,chittorgarh,14,chittorgarh,1.00,chittorgarh,6.7,chittorgarh,,,134.00,chittorgarh,134.00,chittorgarh,127.30,chittorgarh,127.30,chittorgarh,"To finance development and/or procurement of technology, applications, software, infrastructure etc. including strategic acquisitions of Firms/Companies in the technology space to complement and enhance our Company’s value proposition | To expand and retain our Leadership team that will lead the Company into the next phase of growth | To acquire / rent assets | Repayment of bank facilities | General corporate purposes",chittorgarh,15,chittorgarh,,,,,,,,,,,,,,,,,,,,3.24,3.83,5.63,1.23,1.39,1.61,0.87,0.97,1.06,,,1.41,2.08,3.05,4.21,0.35,0.42,1.12,2.93,4.92,6.11,0.56,2.2,-0.26,18.83,25.18,0.27,5.63,1.06,Mar 2020,3,,screener,,
INE0ALI01010,Advait Infratech Ltd.,SME,ADVAIT,543230,2020-09-15,2020-09-18,2020-09-28,51.00,6.89,Fixed Price,BSE SME,ISK Advisors,2020,NNM Securities Pvt.Ltd.,chittorgarh,7,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,51.95,chittorgarh,54.50,chittorgarh,51.25,chittorgarh,51.55,chittorgarh,Working Capital Requirement | General Corporate Purpose,chittorgarh,7,chittorgarh,,,,,,,,,,,,,,,,,,,,,28.0,45.0,,4.0,4.0,,2.0,1.0,,2.8,0.72,,19.0,20.0,,6.0,10.0,,44.0,52.0,,3.0,1.0,2.22,5.0,0.5,45.0,1.0,Mar 2020,2,,screener,,
INE0DG401010,Trekkingtoes.com Ltd.,SME,,543222,2020-08-18,2020-08-20,2020-08-28,105.00,4.55,Fixed Price,BSE SME,Novus Capital,2020,Nidhi Broking Services Pvt.Ltd.,chittorgarh,4,chittorgarh,1.00,chittorgarh,20.0,chittorgarh,,,105.00,chittorgarh,105.00,chittorgarh,99.75,chittorgarh,99.75,chittorgarh,Strategic initiatives and investments | Repayment and pre-payment of a portion of certain indebtedness availed by our company | General corporate purposes,chittorgarh,5,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE05ST01028,Suratwwala Business Group Ltd.,SME,SBGLP,543218,2020-08-03,2020-08-05,2020-08-13,15.00,6.90,Fixed Price,BSE SME,Hem Securities,2020,Hem Securities Ltd.,chittorgarh,7,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,15.45,chittorgarh,16.22,chittorgarh,15.45,chittorgarh,16.22,chittorgarh,To meet Working Capital requirements | General Corporate Purpose,chittorgarh,7,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0B9A01018,Bonlon Industries Ltd.,SME,BONLON,543211,2020-06-30,2020-07-03,2020-07-13,28.00,10.52,Fixed Price,BSE SME,Sarthi Capital Advisors,2020,Choice Equity Broking Pvt.Ltd.,chittorgarh,10,chittorgarh,1.00,chittorgarh,9.1,chittorgarh,,,21.00,chittorgarh,21.50,chittorgarh,21.00,chittorgarh,21.50,chittorgarh,Working Capital Requirements | Issue Expenses,chittorgarh,11,chittorgarh,,,,,,,,,,,,,,,,,,,,242.0,215.0,243.0,-2.0,-8.0,-5.0,0.0,3.0,12.0,0.93,2.59,11.51,,,,,,,,,,6.0,-4.0,59.0,4.94,,,243.0,12.0,Mar 2020,3,,screener,,
INE0D6I01023,Ksolves India Ltd.,SME,KSOLVES,543599,2020-06-23,2020-06-26,2020-07-06,100.00,4.02,Fixed Price,NSE SME,Shreni Shares,2020,Shreni Shares Ltd.,chittorgarh,4,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,101.95,chittorgarh,106.90,chittorgarh,101.95,chittorgarh,106.90,chittorgarh,To Meet Working Capital Requirement | General Corporate Expenses | Public Issue Expenses,chittorgarh,4,chittorgarh,,,,,,,,,,,,,,,,,,,,,,10.0,,,1.0,,,1.0,,,,,,1.02,,,0.0,,,2.0,,,1.0,10.0,98.04,0.0,10.0,1.0,Mar 2020,1,,screener,,
INE0CRS01012,Billwin Industries Ltd.,SME,,543209,2020-06-18,2020-06-22,2020-06-30,37.00,2.46,Fixed Price,BSE SME,Gretex Corporate,2020,Gretex Share Broking Pvt.Ltd.,chittorgarh,2,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,36.90,chittorgarh,38.20,chittorgarh,36.90,chittorgarh,37.10,chittorgarh,Funding the working capital requirements of our Company,chittorgarh,2,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0CPQ01010,Nirmitee Robotics India Ltd.,SME,,543194,2020-03-31,2020-04-09,2020-04-21,185.00,3.24,Fixed Price,BSE SME,Aryaman Financial,2020,Aryaman Capital Markets Ltd.,chittorgarh,3,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,189.00,chittorgarh,189.00,chittorgarh,187.00,chittorgarh,189.00,chittorgarh,"Redemption of Preference Shares | Security Deposit towards acquisition of Registered Office, R & D facility & assembling unit | General Corporate Purpose",chittorgarh,3,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0B1K01014,DJ Mediaprint & Logistics Ltd.,SME,DJML,543193,2020-03-26,2020-03-31,2020-04-13,20.00,2.40,Fixed Price,BSE SME,Finshore Management,2020,Nikunj Stock Brokers Ltd.,chittorgarh,2,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,20.60,chittorgarh,21.60,chittorgarh,20.00,chittorgarh,20.80,chittorgarh,Funding the working capital requirements of the Company | Issue related expenses | General corporate purposes,chittorgarh,2,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE258Y01016,Laxmi Goldorna House Ltd.,SME,LGHL,,2020-03-20,2020-04-03,2020-04-16,15.00,8.28,Fixed Price,NSE SME,Beeline Broking,2020,Hem Finlease Pvt.Ltd.,chittorgarh,8,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,15.00,chittorgarh,15.10,chittorgarh,14.65,chittorgarh,15.00,chittorgarh,To Meet Working Capital Requirement | General Corporate Expenses | Public Issue Expenses,chittorgarh,8,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0CQB01010,Cospower Engineering Ltd.,SME,,543172,2020-03-17,2020-03-19,2020-03-30,51.00,2.04,Fixed Price,BSE SME,Shreni Shares,2020,Shreni Shares Ltd.,chittorgarh,2,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,51.00,chittorgarh,53.10,chittorgarh,51.00,chittorgarh,53.10,chittorgarh,To meet Working Capital requirements | General Corporate Purpose,chittorgarh,2,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0BDU01028,RO Jewels Ltd.,SME,,543171,2020-03-12,2020-03-17,2020-03-25,36.00,4.91,Fixed Price,BSE SME,First Overseas,2020,Beeline Broking Ltd.,chittorgarh,5,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,36.00,chittorgarh,36.00,chittorgarh,36.00,chittorgarh,36.00,chittorgarh,Additional Working Capital | General Corporate Expenses | To meet the expenses of the Issue,chittorgarh,5,chittorgarh,,,,,,,,,,,,,,,,,,,,,,4.24,,,0.02,,,0.01,,,0.01,,,,,,,,,,,,-0.87,0.24,,,4.24,0.01,Mar 2019,1,,screener,,
INE0C4I01011,SM Auto Stamping Ltd.,SME,,543065,2020-03-03,2020-03-05,2020-03-16,18.00,6.91,Fixed Price,BSE SME,Hem Securities,2020,Hem Securities Ltd.,chittorgarh,7,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,18.00,chittorgarh,18.00,chittorgarh,18.00,chittorgarh,18.00,chittorgarh,To meet Working Capital requirements | General Corporate Purpose,chittorgarh,7,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0AU701018,ICL Organic Dairy Products Ltd.,SME,,542935,2020-01-31,2020-02-07,2020-02-17,20.00,4.08,Fixed Price,BSE SME,Finshore Management,2020,Beeline Broking Ltd.,chittorgarh,4,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,20.80,chittorgarh,21.80,chittorgarh,19.80,chittorgarh,21.80,chittorgarh,Funding the working capital requirements of the Company | Issue related expenses | General corporate purposes,chittorgarh,4,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE07QQ01016,Chandra Bhagat Pharma Ltd.,SME,,542934,2020-01-31,2020-02-06,2020-02-14,51.00,10.20,Fixed Price,BSE SME,Beeline Broking,2020,Beeline Broking Ltd.,chittorgarh,10,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,51.70,chittorgarh,52.10,chittorgarh,51.00,chittorgarh,51.75,chittorgarh,To Meet Incremental Working Capital Requirements | Setting up Distribution and Warehousing Centre’s | General Corporate Purpose | To meet Public Issue Expenses,chittorgarh,10,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE813V01022,Madhav Copper Ltd. FPO,SME,MCL,,2020-01-27,2020-01-30,2020-02-06,102.00,25.50,Bookbuilding,NSE SME,Pantomath Capital,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,169.0,213.0,2.0,4.0,9.0,1.0,2.0,4.0,0.34,0.96,1.48,7.0,9.0,13.0,11.0,7.0,12.0,23.0,24.0,46.0,-6.0,7.0,9.0,1.88,30.77,0.92,213.0,4.0,Mar 2019,3,,screener,,
INE04OV01018,Janus Corp.Ltd.,SME,,542924,2020-01-27,2020-01-30,2020-02-06,50.00,8.00,Fixed Price,BSE SME,First Overseas,2020,,,8,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,50.70,chittorgarh,50.70,chittorgarh,48.20,chittorgarh,48.50,chittorgarh,Augmenting additional working capital requirements | General Corporate Purposes,chittorgarh,8,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0BIW01023,Tranway Technologies Ltd.,SME,,542923,2020-01-27,2020-01-29,2020-02-05,10.00,4.24,Fixed Price,BSE SME,Finshore Management,2020,Nikunj Stock Brokers Ltd.,chittorgarh,4,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,11.10,chittorgarh,11.65,chittorgarh,11.10,chittorgarh,11.65,chittorgarh,To meet the working capital requirements of the company for business operations and expansion in India and Abroad. | General Corporate Purposes.,chittorgarh,4,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE05X901010,HindPrakash Industries Ltd.,SME,HPIL,543645,2020-01-15,2020-01-17,2020-01-27,40.00,11.52,Fixed Price,NSE SME,Hem Securities,2020,Hem Finlease Pvt.Ltd.,chittorgarh,11,chittorgarh,1.00,chittorgarh,8.3,chittorgarh,,,40.70,chittorgarh,42.70,chittorgarh,40.70,chittorgarh,41.30,chittorgarh,To Meet Working Capital Requirements | General Corporate Purpose | To Meet the Issue Expenses,chittorgarh,12,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0DRT01018,Fabino Life Sciences Ltd.,SME,,543444,2021-12-31,2022-01-05,2022-01-13,36.00,3.24,Fixed Price,BSE SME,Aryaman Financial,2021,Aryaman Capital Markets Ltd.,chittorgarh,3,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,38.45,chittorgarh,40.35,chittorgarh,36.55,chittorgarh,40.35,chittorgarh,Part Repayment of Loans | Funding Working capital requirements | General Corporate Purpose,chittorgarh,3,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0IJY01014,Timescan Logistics (India) Ltd.,SME,TIMESCAN,,2021-12-31,2022-01-04,2022-01-12,51.00,4.81,Fixed Price,NSE SME,Finshore Management,2021,Nikunj Stock Brokers Ltd.,chittorgarh,5,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,82.00,chittorgarh,86.10,chittorgarh,82.00,chittorgarh,86.10,chittorgarh,To meet the working capital requirements | General Corporate Purposes,chittorgarh,5,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0E4I01027,Ascensive Educare Ltd.,SME,,543443,2021-12-30,2022-01-04,2022-01-12,26.00,2.26,Fixed Price,BSE SME,GYR Capital,2021,Beeline Broking Ltd.,chittorgarh,2,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,27.60,chittorgarh,28.95,chittorgarh,27.50,chittorgarh,28.95,chittorgarh,Funding the working capital requirements of the company | General Corporate Purposes,chittorgarh,2,chittorgarh,,,,,,,,,,,,,,,,,,,,9.08,9.54,10.04,1.08,1.56,1.43,0.28,0.43,0.44,0.22,0.33,0.19,1.98,2.41,2.91,5.36,6.13,5.67,8.22,10.65,12.37,-1.74,-0.01,-0.61,4.38,15.12,1.95,10.04,0.44,Mar 2021,3,,screener,,
INE08PH01015,AB Cotspin India Ltd.,SME,ABCOTS,544522,2021-12-30,2022-01-03,2022-01-11,35.00,10.09,Bookbuilding,NSE SME,Pantomath Capital,2021,Pentagon Stock Brokers Pvt.Ltd.,chittorgarh,10,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,38.50,chittorgarh,40.40,chittorgarh,38.00,chittorgarh,40.40,chittorgarh,Funding the working capital requirements of the Company Requirement | General corporate purposes,chittorgarh,10,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0ILD01014,Brandbucket Media & Technology Ltd.,SME,,543439,2021-12-20,2021-12-23,2021-12-31,55.00,8.25,Fixed Price,BSE SME,Inventure Merchant Banker,2021,NNM Securities Pvt.Ltd.,chittorgarh,8,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,55.25,chittorgarh,55.25,chittorgarh,52.50,chittorgarh,52.50,chittorgarh,Augmenting additional working capital requirements | Funding capital expenditure requirements | General Corporate Purposes,chittorgarh,8,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0IA701014,Vivo Collaboration Solutions Ltd.,SME,VIVO,,2021-12-20,2021-12-23,2021-12-31,82.00,4.40,Fixed Price,NSE SME,Sarthi Capital Advisors,2021,O J Financial Services Ltd.,chittorgarh,4,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,355.10,chittorgarh,372.85,chittorgarh,337.35,chittorgarh,337.35,chittorgarh,To meet the working capital requirements of the Company | General Corporate Purpose,chittorgarh,4,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0IM001015,Wherrelz IT Solutions Ltd.,SME,,543436,2021-12-16,2021-12-21,2021-12-29,171.00,2.01,Fixed Price,BSE SME,Fedex Securities,2021,Gretex Share Broking Pvt.Ltd.,chittorgarh,2,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,173.05,chittorgarh,178.50,chittorgarh,173.05,chittorgarh,177.20,chittorgarh,Funding working capital requirements | General Corporate Purpose,chittorgarh,2,chittorgarh,,,,,,,,,,,,,,,,,,,,0.19,0.22,0.2,0.01,0.05,0.03,0.01,0.03,0.02,10.0,30.0,20.0,,,,,,,,,,0.02,0.0,0.03,10.0,,,0.2,0.02,Mar 2021,3,,screener,,
INE0JJS01014,Clara Industries Ltd.,SME,,543435,2021-12-16,2021-12-21,2021-12-29,43.00,3.02,Fixed Price,BSE SME,Gretex Corporate,2021,Gretex Share Broking Pvt.Ltd.,chittorgarh,3,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,43.20,chittorgarh,45.30,chittorgarh,43.20,chittorgarh,44.00,chittorgarh,To Meet Working Capital Requirements | General Corporate Purposes,chittorgarh,3,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE505V01016,Euro Panel Products Ltd.,SME,EUROBOND,544461,2021-12-14,2021-12-16,2021-12-24,70.00,45.50,Fixed Price,NSE SME,Fedex Securities,2021,Rikhav Securities Ltd.,chittorgarh,43,chittorgarh,3.00,chittorgarh,6.5,chittorgarh,,,70.00,chittorgarh,73.50,chittorgarh,70.00,chittorgarh,71.40,chittorgarh,Meeting incremental working capital requirements | Repayment of unsecured loan availed by the company | General corporate purposes,chittorgarh,46,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0I7D01019,Foce India Ltd.,SME,FOCE,,2021-12-13,2021-12-17,2021-12-28,225.00,29.03,Fixed Price,NSE SME,Mark Corporate,2021,Svcm Securities Pvt.Ltd.,chittorgarh,19,chittorgarh,9,chittorgarh,31.0,chittorgarh,,,225.00,chittorgarh,231.00,chittorgarh,225.00,chittorgarh,225.70,chittorgarh,To meet Working Capital Requirement | General Corporate Purpose,chittorgarh,29,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0JM501013,Nupur Recyclers Ltd.,SME,NRL,,2021-12-13,2021-12-15,2021-12-23,60.00,34.20,Fixed Price,NSE SME,Corporate Capitalventures,2021,SS Corporate Securities Ltd.,chittorgarh,32,chittorgarh,2.00,chittorgarh,5.9,chittorgarh,,,74.00,chittorgarh,77.70,chittorgarh,70.35,chittorgarh,77.70,chittorgarh,To meet out the Working Capital requirements of the Company | To meet out the General Corporate Purposes,chittorgarh,34,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE07L501010,DMR Hydroengineering & Infrastructures Ltd.,SME,,543410,2021-11-24,2021-11-29,2021-12-07,21.00,2.09,Fixed Price,BSE SME,Shreni Shares,2021,Shreni Shares Ltd.,chittorgarh,2,chittorgarh,0.4158,chittorgarh,20.8,chittorgarh,,,25.00,chittorgarh,26.25,chittorgarh,24.05,chittorgarh,26.25,chittorgarh,Funding working capital requirement | General corporate purposes,chittorgarh,2,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0JFE01012,Omnipotent Industries Ltd.,SME,,543400,2021-11-16,2021-11-22,2021-11-29,63.00,18.90,Fixed Price,BSE SME,Inventure Merchant Banker,2021,Sernet Financial Services Pvt.Ltd.,chittorgarh,18,chittorgarh,1.00,chittorgarh,5.3,chittorgarh,,,99.00,chittorgarh,99.00,chittorgarh,94.05,chittorgarh,94.05,chittorgarh,Repayment of Loans | Augmenting additional working capital requirements | General Corporate Purposes,chittorgarh,19,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE07GA01011,Suyog Gurbaxani Funicular Ropeways Ltd.,SME,,543391,2021-11-01,2021-11-08,2021-11-16,45.00,29.50,Fixed Price,BSE SME,Aryaman Financial,2021,Aryaman Capital Markets Ltd.,chittorgarh,5,chittorgarh,23,chittorgarh,79.3,chittorgarh,,,45.45,chittorgarh,45.45,chittorgarh,45.10,chittorgarh,45.10,chittorgarh,Repayment of loans | General Corporate Purposes,chittorgarh,29,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INE0J6L01013,Nidan Laboratories & Healthcare Ltd.,SME,NIDAN,,2021-10-28,2021-11-02,2021-11-12,125.00,50.00,Fixed Price,NSE SME,First Overseas,2021,NNM Securities Pvt.Ltd.,chittorgarh,48,chittorgarh,2.00,chittorgarh,4.0,chittorgarh,,,123.90,chittorgarh,123.90,chittorgarh,117.75,chittorgarh,117.75,chittorgarh,Repayment of Loans | Additional Working Capital | General Corporate Expenses | To meet the expenses of the Issue,chittorgarh,50,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
