symbol,yahoo_date,nse_date,yahoo_ratio,nse_ratio,nse_action_type,date_diff_days,status
PANACHE,2019-07-18,2019-07-18,2.0,2.0,bonus,0,MATCH
PAR,2021-04-27,2021-04-27,2.0,2.0,bonus,0,MATCH
PARAS,2025-07-04,2025-07-04,2.0,2.0,split,0,MATCH
PARSVNATH,2010-10-18,2010-10-18,2.0,2.0,split,0,MATCH
PARTYCRUS,2023-04-17,2023-04-18,2.0,2.0,bonus,1,MATCH
PASHUPATI,2026-04-17,2026-04-17,10.0,10.0,split,0,MATCH
PATANJALI,2025-09-11,2025-09-11,3.0,3.0,bonus,0,MATCH
PAVNAIND,2022-09-01,2022-09-05,2.0,2.0,bonus,4,MATCH
PAVNAIND,2025-09-01,2025-09-01,10.0,10.0,split,0,MATCH
PCJEWELLER,2017-07-06,2017-07-06,2.0,2.0,bonus,0,MATCH
PCJEWELLER,2024-12-16,2024-12-16,10.0,10.0,split,0,MATCH
PERSISTENT,2015-03-10,2015-03-10,2.0,2.0,bonus,0,MATCH
PERSISTENT,2024-03-28,2024-03-28,2.0,2.0,split,0,MATCH
PFC,2016-08-26,2016-08-26,2.0,2.0,bonus,0,MATCH
PFC,2023-09-21,2023-09-21,1.25,1.25,bonus,0,MATCH
PFOCUS,2010-10-29,2010-10-29,10.0,10.0,split,0,MATCH
PGEL,2024-07-10,2024-07-10,10.0,10.0,split,0,MATCH
PGIL,2024-01-05,2024-01-05,2.0,2.0,split,0,MATCH
PNCINFRA,2016-08-12,2016-08-12,5.0,5.0,split,0,MATCH
POWERGRID,2021-07-29,2021-07-29,1.3333333333333333,1.333333,bonus,0,MATCH
POWERGRID,2023-09-12,2023-09-12,1.3333333333333333,1.333333,bonus,0,MATCH
POWERMECH,2024-10-08,2024-10-08,2.0,2.0,bonus,0,MATCH
PRAKASHSTL,2016-03-03,2016-03-03,10.0,10.0,split,0,MATCH
PRATIBHA,2010-07-30,2010-07-30,5.0,5.0,split,0,MATCH
PRITI,2021-10-20,2021-10-20,4.0,4.0,bonus,0,MATCH
PRITIKA,2025-02-14,2025-02-14,2.0,2.0,split,0,MATCH
