symbol,original_symbol,yahoo_date,yahoo_ratio,is_bse_code,status
540079,540079.BO,2023-05-03,1.6666666666666667,True,YAHOO_ONLY
540079,540079.BO,2024-04-12,5.0,True,YAHOO_ONLY
540079,540079.BO,2024-08-14,2.0,True,YAHOO_ONLY
540079,540079.BO,2025-08-12,2.0,True,YAHOO_ONLY
540080,540080.BO,2022-04-07,0.05,True,YAHOO_ONLY
540080,540080.BO,2024-03-28,10.0,True,YAHOO_ONLY
540082,540082.BO,2026-02-17,1.5,True,YAHOO_ONLY
540147,540147.BO,2018-10-12,1.2,True,YAHOO_ONLY
540147,540147.BO,2023-10-27,5.0,True,YAHOO_ONLY
540151,540151.BO,2025-08-29,5.0,True,YAHOO_ONLY
540252,540252.BO,2020-04-13,2.34,True,YAHOO_ONLY
540252,540252.BO,2022-04-18,5.0,True,YAHOO_ONLY
540252,540252.BO,2022-10-14,1.5,True,YAHOO_ONLY
540377,540377.BO,2022-09-21,2.0,True,YAHOO_ONLY
540377,540377.BO,2023-04-21,1.25,True,YAHOO_ONLY
540377,540377.BO,2023-11-17,1.1,True,YAHOO_ONLY
540377,540377.BO,2023-12-18,1.1,True,YAHOO_ONLY
540394,540394.BO,2018-03-15,2.0,True,YAHOO_ONLY
540395,540395.BO,2021-08-13,3.0,True,YAHOO_ONLY
540395,540395.BO,2021-09-06,3.0,True,YAHOO_ONLY
540401,540401.BO,2019-02-26,2.0,True,YAHOO_ONLY
540401,540401.BO,2022-09-30,10.0,True,YAHOO_ONLY
540404,540404.BO,2021-05-06,3.0,True,YAHOO_ONLY
540405,540405.BO,2019-06-27,3.0,True,YAHOO_ONLY
540455,540455.BO,2022-07-07,1.6666666666666667,True,YAHOO_ONLY
540455,540455.BO,2022-07-25,1.6666666666666667,True,YAHOO_ONLY
540455,540455.BO,2022-09-02,1.6666666666666667,True,YAHOO_ONLY
540492,540492.BO,2020-12-22,2.0,True,YAHOO_ONLY
540492,540492.BO,2024-09-25,1.2,True,YAHOO_ONLY
540519,540519.BO,2020-02-06,2.4,True,YAHOO_ONLY
540519,540519.BO,2026-03-06,2.0,True,YAHOO_ONLY
540545,540545.BO,2019-10-04,1.15,True,YAHOO_ONLY
540550,540550.BO,2022-09-12,1.5,True,YAHOO_ONLY
540550,540550.BO,2022-09-30,1.5,True,YAHOO_ONLY
540550,540550.BO,2023-10-05,1.15,True,YAHOO_ONLY
540590,540590.BO,2019-01-21,3.5,True,YAHOO_ONLY
540613,540613.BO,2026-05-22,2.0,True,YAHOO_ONLY
540613,540613.BO,2026-06-10,4.0,True,YAHOO_ONLY
540614,540614.BO,2019-06-27,1.6666666666666667,True,YAHOO_ONLY
540614,540614.BO,2021-06-21,5.0,True,YAHOO_ONLY
540614,540614.BO,2022-06-08,2.0,True,YAHOO_ONLY
540615,540615.BO,2018-09-17,1.5,True,YAHOO_ONLY
540615,540615.BO,2022-03-23,10.0,True,YAHOO_ONLY
540615,540615.BO,2022-11-28,1.2,True,YAHOO_ONLY
540615,540615.BO,2024-01-05,0.1,True,YAHOO_ONLY
540652,540652.BO,2019-07-22,2.0,True,YAHOO_ONLY
540652,540652.BO,2025-04-21,2.0,True,YAHOO_ONLY
540652,540652.BO,2025-04-29,2.0,True,YAHOO_ONLY
540693,540693.BO,2020-12-01,2.2,True,YAHOO_ONLY
540693,540693.BO,2023-07-28,3.0,True,YAHOO_ONLY
