scrip_id,Scrip_Name,ISIN_NUMBER,GROUP
ABB,ABB India Ltd,INE117A01022,A
AEGISLOG,Aegis Logistics Ltd,INE208C01025,A
ARE&M,Amara Raja Energy & Mobility Ltd,INE885A01032,A
AMBALALSA,Ambalal Sarabhai Enterprises Ltd,INE432A01017,B
ANDHRAPET,Andhra Petrochemicals Ltd,INE714B01016,X
ANSALAPI,Ansal Properties & Infrastructure Ltd,INE436A01026,Z
UTIQUE,Utique Enterprises Ltd,INE096A01010,X
ARUNAHTEL,Aruna Hotels Ltd,INE957C01019,X
BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,INE032A01023,A
ASIANHOTNR,Asian Hotels (North) Ltd,INE363A01022,B
ATUL,Atul Ltd,INE100A01010,A
ATVPR,ATV Projects India Ltd,INE447A01015,X
BAJAJELEC,Bajaj Electricals Ltd-$,INE193E01025,A
BAJAJHIND,Bajaj Hindusthan Sugar Ltd,INE306A01021,A
FORCEMOT,Force Motors Ltd-$,INE451A01017,A
BAJFINANCE,Bajaj Finance Ltd,INE296A01032,A
BALRAMCHIN,Balrampur Chini Mills Ltd,INE119A01028,A
BANCOINDIA,Banco Products (India) Ltd-$,INE213C01025,A
ABREL,Aditya Birla Real Estate Ltd,INE055A01016,A
BANARISUG,Bannari Amman Sugars Ltd,INE459A01010,B
BASF,BASF India Ltd,INE373A01013,A
BATAINDIA,Bata India Ltd,INE176A01028,A
BEML,BEML Ltd,INE258A01024,A
BEL,Bharat Electronics Ltd,INE263A01024,A
BHAGGAS,Bhagawati Gas Ltd,INE099C01010,XT
BEPL,Bhansali Engineering Polymers Ltd-$,INE922A01025,B
BIHSPONG,Bihar Sponge Iron Ltd,INE819C01011,X
BIRLACABLE,Birla Cable Ltd,INE800A01015,T
BLUESTARCO,Blue Star Ltd,INE472A01039,A
DISAQ,Disa India Ltd,INE131C01011,B
QUESTCAP,Quest Capital Markets Ltd,INE418C01012,X
BPL,BPL Ltd,INE110A01019,B
OAL,Oriental Aromatics Ltd-$,INE959C01023,B
CENTEXT,Century Extrusions Ltd,INE281A01026,B
CESC,CESC Ltd,INE486A01021,A
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,INE085A01013,A
EXIDEIND,Exide Industries Ltd,INE302A01020,A
CIPLA,Cipla Ltd,INE059A01026,A
DICIND,DIC India Ltd,INE303A01010,B
CRISIL,CRISIL Ltd,INE007A01025,A
CGPOWER,CG Power and Industrial Solutions Ltd,INE067A01029,A
DABUR,Dabur India Ltd,INE016A01026,A
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,INE495A01022,B
ARVIND,Arvind Ltd,INE034A01011,A
BHEL,Bharat Heavy Electricals Ltd,INE257A01026,A
HINDPETRO,Hindustan Petroleum Corporation Ltd,INE094A01015,A
IFCI,IFCI Ltd,INE039A01010,A
MTNL,Mahanagar Telephone Nigam Ltd,INE153A01019,B
MRPL,Mangalore Refinery and Petrochemicals Ltd,INE103A01014,A
CHENNPETRO,Chennai Petroleum Corporation Ltd,INE178A01016,A
SBIN,State Bank of India,INE062A01020,A
SAIL,Steel Authority of India Ltd,INE114A01011,A
TITAN,Titan Company Ltd,INE280A01028,A
IDBI,IDBI Bank Ltd,INE008A01015,A
DCW,DCW Ltd,INE500A01029,B
DHAMPURSUG,Dhampur Sugar Mills Ltd,INE041A01016,B
DIAMINESQ,Diamines & Chemicals Ltd-$,INE591D01014,B
ELANTAS,Elantas Beck India Ltd-$,INE280B01018,B
DRREDDY,Dr Reddys Laboratories Ltd,INE089A01031,A
EIDPARRY,EID Parry India Ltd,INE126A01031,A
PGHL,Procter & Gamble Health Ltd,INE199A01012,A
ELECTCAST,Electrosteel Castings Ltd,INE086A01029,A
ESABINDIA,Esab India Ltd,INE284A01012,A
EPL,EPL Ltd,INE255A01020,A
ESTER,Ester Industries Ltd,INE778B01029,B
FGP,FGP Ltd,INE512A01016,X
PHCAP,PH Capital Ltd,INE160F01013,XT
FINCABLES,Finolex Cables Ltd,INE235A01022,A
COCKERILL,John Cockerill India Ltd-$,INE515A01019,B
UFLEX,Uflex Ltd,INE516A01017,B
FOSECOIND,Foseco India Ltd,INE519A01011,B
GOLDENTOBC,Golden Tobacco Ltd,INE973A01010,Z
GANESHBE,Ganesh Benzoplast Ltd,INE388A01029,B
METROGLOBL,Metroglobal Ltd,INE085D01033,B
GTL,GTL Ltd,INE043A01012,B
GODFRYPHLP,Godfrey Phillips India Ltd,INE260B01028,A
GODREJIND,Godrej Industries Ltd,INE233A01035,A
KANSAINER,Kansai Nerolac Paints Ltd,INE531A01024,A
GOODRICKE,Goodricke Group Ltd,INE300A01016,X
GOODYEAR,Goodyear India Ltd,INE533A01012,B
GTNINDS,GTN Industries Ltd,INE537A01013,X
GHCL,GHCL Ltd,INE539A01019,A
GFLLIMITED,GFL Ltd,INE538A01037,B
GLFL,Gujarat Lease Financing Ltd,INE540A01017,T
HCL-INSYS,HCL Infosystems Ltd,INE236A01020,B
HDFCBANK,HDFC Bank Ltd,INE040A01034,A
HEROMOTOCO,Hero MotoCorp Ltd,INE158A01026,A
HFCL,HFCL Ltd,INE548A01028,A
HSCL,Himadri Speciality Chemical Ltd,INE019C01026,A
HCC,Hindustan Construction Company Ltd,INE549A01026,A
HINDOILEXP,Hindustan Oil Exploration Company Ltd,INE345A01011,B
AGI,Agi Greenpac Ltd,INE415A01038,A
HINDZINC,Hindustan Zinc Ltd,INE267A01025,A
NDLVENTURE,NDL Ventures Ltd,INE353A01023,B
HMT,HMT Ltd,INE262A01018,Z
PRAGBOS,Prag Bosimi Synthetics Ltd,INE962B01011,X
HLVLTD,HLV Ltd,INE102A01024,B
IGPL,IG Petrochemicals Ltd,INE204A01010,B
INDIAGLYCO,India Glycols Ltd,INE560A01023,B
INDLEASE,India Lease Development Ltd,INE333C01013,X
MARGOFIN,Margo Finance Ltd,INE680B01019,X
INDORAMA,Indo Rama Synthetics (India) Ltd,INE156A01020,B
INFY,Infosys Ltd,INE009A01021,A
INGERRAND,Ingersoll-Rand (India) Ltd,INE177A01018,A
ITHL,International Travel House Ltd-$,INE262B01016,X
IONEXCHANG,Ion Exchange India Ltd-$,INE570A01022,A
SUNDROP,Sundrop Brands Ltd,INE209A01019,B
JISLJALEQS,Jain Irrigation Systems Ltd,INE175A01038,A
JASCH,Jasch Industries Ltd,INE711C01028,X
JINDALPOLY,Jindal Poly Films Ltd,INE197D01010,B
JSWSTEEL,JSW Steel Ltd,INE019A01038,A
KAJARIACER,Kajaria Ceramics Ltd,INE217B01036,A
KAKATCEM,Kakatiya Cement Sugar & Industries Ltd,INE437B01014,T
KSL,Kalyani Steels Ltd,INE907A01026,B
WHIRLPOOL,Whirlpool of India Ltd,INE716A01013,A
KGDENIM,KG Denim Ltd,INE104A01012,X
KINETICENG,Kinetic Engineering Ltd,INE266B01017,X
KIRLOSBROS,Kirloskar Brothers Ltd-$,INE732A01036,A
KIRLOSIND,Kirloskar Industries Ltd,INE250A01039,B
KIRLFER,Kirloskar Ferrous Industries Ltd,INE884B01025,B
ENVAIREL,Envair Electrodyne Ltd,INE601C01013,XT
KOTAKBANK,Kotak Mahindra Bank Ltd,INE237A01036,A
KRIFILIND,Krishna Filament Industries Ltd,INE073A01019,XT
KSB,KSB Ltd,INE999A01023,A
LGBBROSLTD,LG Balakrishnan & Bros Ltd,INE337A01034,B
TRENT,Trent Ltd,INE849A01020,A
LMW,LMW Ltd,INE269B01029,A
LICHSGFIN,LIC Housing Finance Ltd,INE115A01026,A
LUPIN,Lupin Ltd,INE326A01037,A
LYKALABS,Lyka Labs Ltd,INE933A01014,B
RAMCOCEM,The Ramco Cements Ltd,INE331A01037,A
HYBRIDFIN,Hybrid Financial Services Ltd,INE965B01022,B
MAFATIND,Mafatlal Industries Ltd-$,INE270B01035,B
MAHSEAMLES,Maharashtra Seamless Ltd,INE271B01025,A
MAHSCOOTER,Maharashtra Scooters Ltd,INE288A01013,A
MAJESAUT,Majestic Auto Ltd-$,INE201B01022,B
MANALIPETC,Manali Petrochemicals Ltd,INE201A01024,B
BARODARY,Baroda Rayon Corporation Ltd,INE461A01024,X
MFSL,Max Financial Services Ltd,INE180A01020,A
MIDINDIA,Mid India Industries Ltd,INE401C01018,X
MIRCELECTR,Mirc Electronics Ltd,INE831A01028,T
CENTENKA,Century Enka Ltd,INE485A01015,B
MODTHREAD,Modern Thread India Ltd,INE794W01014,B
LORDSCHLO,Lords Chloro Alkali Ltd,INE846D01012,B
SPICEJET,Spicejet Ltd,INE285B01017,A
MOREPENLAB,Morepen Laboratories Ltd,INE083A01026,A
MRF,MRF Ltd,INE883A01011,A
HEIDELBERG,HeidelbergCement India Ltd,INE578A01017,B
NCC,NCC Ltd,INE868B01028,A
VEDL,Vedanta Ltd,INE205A01025,A
NAHARSPING,Nahar Spinning Mills Ltd,INE290A01027,T
NAPEROL,Naperol Investments Ltd,INE585A01020,X
GRASIM,Grasim Industries Ltd,INE047A01021,A
NIITLTD,NIIT Ltd,INE161A01038,B
JAYKAY,Jaykay Enterprises Ltd,INE903A01025,B
NIRLON,Nirlon Ltd,INE910A01012,B
ONGC,Oil and Natural Gas Corporation Ltd,INE213A01029,A
OILCOUNTUB,Oil Country Tubular Ltd,INE591A01010,T
ORIENTHOT,Oriental Hotels Ltd,INE750A01020,B
OSWALAGRO,Oswal Agro Mills Ltd,INE142A01012,T
INDSUCR,Indian Sucrose Ltd,INE557C01017,X
PANCM,Panyam Cements & Mineral Industries Ltd,INE167E01037,XT
RELIANCE,Reliance Industries Ltd,INE002A01018,A
PILITA,Pil Italica Lifestyle Ltd,INE600A01035,T
RAYMOND,Raymond Ltd,INE301A01014,A
PIDILITIND,Pidilite Industries Ltd,INE318A01026,A
PIXTRANS,Pix Transmissions Ltd,INE751B01018,B
BIRLACORPN,Birla Corporation Ltd,INE340A01012,A
SURYAROSNI,Surya Roshni Ltd,INE335A01020,A
PRIMESECU,Prime Securities Ltd,INE032B01021,B
PRSMJOHNSN,Prism Johnson Ltd,INE010A01011,B
RAIN,Rain Industries Ltd,INE855B01025,A
PRUDMOULI,Prudential Sugar Corporation Ltd,INE024D01016,B
AMJLAND,AMJ Land Holdings Ltd,INE606A01024,B
PUNJCOMMU,Punjab Communications Ltd-$,INE609A01010,B
RSWM,RSWM Ltd,INE611A01016,B
RAJSREESUG,Rajshree Sugars & Chemicals Ltd,INE562B01019,B
RALLIS,Rallis India Ltd,INE613A01020,A
RAMANEWS,Shree Rama Newsprint Ltd,INE278B01020,B
RAMAPPR-B,Rama Paper Mills Ltd,INE425E01013,Z
RAPICUT,Rapicut Carbides Ltd,INE350D01015,X
WELSPLSOL,Welspun Specialty Solutions Ltd,INE731F01037,B
RUBFILA,Rubfila International Ltd,INE642C01025,B
PATANJALI,Patanjali Foods Ltd,INE619A01035,A
SALORAINTL,Salora International Ltd,INE924A01013,X
SAMTELIN,Samtel India Ltd-$,INE538C01017,XT
JINDALSAW,Jindal Saw Ltd,INE324A01032,A
JKLAKSHMI,JK Lakshmi Cement Ltd,INE786A01032,A
SHREECEM,Shree Cement Ltd,INE070A01015,A
SKPMIL,Shree Krishna Paper Mills & Industries Ltd,INE970C01012,X
SILVERLINE,Silverline Technologies Ltd,INE368A01021,X
TATAPOWER,Tata Power Company Ltd,INE245A01021,A
SPMLINFRA,SPML Infra Ltd,INE937A01023,B
SUNDRMFAST,Sundram Fasteners Ltd,INE387A01021,A
SUNFLAG,Sunflag Iron & Steel Company Ltd,INE947A01014,B
SPLPETRO,Supreme Petrochem Ltd,INE663A01033,A
SWARAJENG,Swaraj Engines Ltd,INE277A01016,B
TATAELXSI,Tata Elxsi Ltd,INE670A01012,A
ACC,ACC Ltd,INE012A01025,A
THERMAX,Thermax Ltd,INE152A01029,A
TIRUMALCHM,Thirumalai Chemicals Ltd,INE338A01024,B
THOMASCOOK,Thomas Cook (India) Ltd,INE332A01027,A
TIMEX,Timex Group India Ltd-$,INE064A01026,B
TOKYOPLAST,Tokyo Plast International Ltd,INE932C01012,T
TORNTPHARM,Torrent Pharmaceuticals Ltd,INE685A01028,A
TPINDIA,TPI India Ltd,INE578C01021,X
TRANSCHEM,Transchem Ltd-$,INE019B01010,X
AMBUJACEM,Ambuja Cements Ltd,INE079A01024,A
UTLINDS,UTL Industries Ltd,INE184E01024,X
UNIENTER,Uniphos Enterprises Ltd,INE037A01022,B
VHL,Vardhman Holdings Ltd,INE701A01023,B
HINDALCO,Hindalco Industries Ltd,INE038A01020,A
WSTCSTPAPR,West Coast Paper Mills Ltd,INE976A01021,B
HOCL,Hindustan Organic Chemicals Ltd,INE048A01011,B
MPILCORPL,MPIL Corporation Ltd,INE844C01027,XT
PASUPTAC,Pasupati Acrylon Ltd,INE818B01023,B
TEAM24,Team24 Consumer Products Ltd,INE601A01017,X
PGHH,Procter & Gamble Hygiene and Health Care Ltd,INE179A01014,A
MUKANDLTD,Mukand Ltd,INE304A01026,B
BBOX,Black Box Ltd,INE676A01027,A
UCAL,Ucal  Ltd,INE139B01016,B
HARRMALAYA,Harrisons Malayalam Ltd,INE544A01019,B
FEDERALBNK,Federal Bank Ltd,INE171A01029,A
TATASTEEL,Tata Steel Ltd,INE081A01020,A
SKFINDIA,SKF India Ltd,INE640A01023,A
ASHOKLEY,Ashok Leyland Ltd,INE208A01029,A
CUMMINSIND,Cummins India Ltd,INE298A01020,A
TATACOMM,Tata Communications Ltd,INE151A01013,A
ABBOTINDIA,Abbott India Ltd,INE358A01014,A
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,INE118A01012,A
BHARATFORG,Bharat Forge Ltd,INE465A01025,A
ESCORTS,Escorts Kubota Ltd,INE042A01014,A
HINDMOTORS,Hindustan Motors Ltd,INE253A01025,XT
LT,Larsen & Toubro Ltd,INE018A01030,A
M&M,Mahindra & Mahindra Ltd,INE101A01026,A
BOSCHLTD,Bosch Ltd,INE323A01026,A
PREMIER,Premier Ltd,INE342A01018,T
BPCL,Bharat Petroleum Corporation Ltd,INE029A01011,A
SIEMENS,Siemens Ltd,INE003A01024,A
TMPV,Tata Motors Passenger Vehicles Ltd,INE155A01022,A
VOLTAS,Voltas Ltd,INE226A01021,A
GESHIP,Great Eastern Shipping Company Ltd,INE017A01032,A
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corporation Ltd,INE501A01019,A
EXCELINDUS,Excel Industries Ltd,INE369A01029,B
GRWRHITECH,Garware Hi-Tech Films Ltd,INE291A01017,A
GLAXO,GlaxoSmithKline Pharmaceuticals Ltd,INE159A01016,A
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,INE113A01013,A
NOVARTIND,Novartis India Ltd,INE234A01025,B
SANOFI,Sanofi India Ltd,INE058A01010,A
PFIZER,Pfizer Ltd,INE182A01018,A
GSFC,Gujarat State Fertilizers & Chemicals Ltd,INE026A01025,A
HINDUNILVR,Hindustan Unilever Ltd,INE030A01027,A
JSWDULUX,JSW Dulux Ltd,INE133A01011,A
NOCIL,NOCIL Ltd,INE163A01018,B
TATACHEM,Tata Chemicals Ltd,INE092A01019,A
TNPETRO,Tamilnadu Petroproducts Ltd,INE148A01019,B
ZUARIIND,Zuari Industries Ltd,INE217A01012,B
NESTLEIND,Nestle India Ltd,INE239A01024,A
TATACONSUM,Tata Consumer Products Ltd,INE192A01025,A
ASIANPAINT,Asian Paints Ltd,INE021A01026,A
BRITANNIA,Britannia Industries Ltd,INE216A01030,A
COLPAL,Colgate Palmolive (India) Ltd,INE259A01022,A
EIHOTEL,EIH Ltd,INE230A01023,A
INDHOTEL,Indian Hotels Company Ltd,INE053A01029,A
CASTROLIND,Castrol India Ltd,INE172A01027,A
ITC,ITC Ltd,INE154A01025,A
APOLLOTYRE,Apollo Tyres Ltd,INE438A01022,A
CEATLTD,Ceat Ltd,INE482A01020,A
MODIRUBBER,Modi Rubber Ltd,INE832A01018,B
FINPIPE,Finolex Industries Ltd,INE183A01024,A
SUNRINV,Sunrise Industrial Traders Ltd,INE371U01015,XT
ZGOLDINV,Gold Rock Investments Ltd,INE598F01014,XT
DSINVEST,Dalal Street Investments Ltd,INE422D01012,XT
CENTRUM,Centrum Capital Ltd,INE660C01027,B
KARTKIN,Kartik Investments Trust Ltd,INE524U01019,XT
TCIFINANCE,TCI Finance Ltd,INE911B01018,B
ANTARIKSH,Antariksh Industries Ltd,INE825M01017,XT
IITL,Industrial Investment Trust Ltd,INE886A01014,B
INDPRUD,Industrial & Prudential Investment Company Ltd,INE620D01011,B
TATAINVEST,Tata Investment Corporation Ltd,INE672A01026,A
JAYBHCR,Jayabharat Credit Ltd-$,INE998D01011,XT
PRISMX,Prismx Global Ventures Ltd,INE286N01028,X
MOTOGENFIN,Motor & General Finance Ltd,INE861B01023,B
RAPIDIN,Rapid Investments Ltd,INE154M01012,XT
WALCHPF,Walchand Peoplefirst Ltd,INE695D01021,X
EENTER,E & E Enterprises Ltd,INE094R01019,XT
WHBRADY,WH Brady & Company Ltd,INE855A01019,X
TECHNVISN,TechNVision Ventures Ltd,INE314H01012,B
SHAILY,Shaily Engineering Plastics Ltd,INE151G01028,A
BBTC,The Bombay Burmah Trading Corporation Ltd,INE050A01025,A
BOMBCYC,Bombay Cycle & Motor Agency Ltd,INE691K01017,X
GREAVESCOT,Greaves Cotton Ltd,INE224A01026,A
MULLER,Muller & Phipps India Ltd,INE003F01015,X
SFTL,Springform Technology Ltd,INE02ZA01012,P
AMALGAM,Amalgamated Electricity Company Ltd,INE492N01022,XT
ANANDPROJ,Anand Projects Ltd,INE134R01013,XT
INDIANVSH,IndiaNivesh Ltd,INE131H01028,X
COASTCORP,Coastal Corporation Ltd,INE377E01024,B
CHOWGULSTM,Chowgule Steamships Ltd,INE490A01015,X
GARWAOFFS,Garware Offshore Services Ltd-$,INE446C01013,X
DHENUBUILD,Dhenu Buildcon Infra Ltd,INE758D01027,Z
ASIIL,ASI Industries Ltd,INE443A01030,X
SAGCEM,Sagar Cements Ltd-$,INE229C01021,B
DECCANCE,Deccan Cements Ltd-$,INE583C01021,B
MANGLMCEM,Mangalam Cement Ltd,INE347A01017,B
NCLIND,NCL Industries Ltd-$,INE732C01016,B
SAURASHCEM,Saurashtra Cement Ltd,INE626A01014,B
SHREDIGCEM,Shree Digvijay Cement Company Ltd-$,INE232A01011,B
BORORENEW,Borosil Renewables Ltd,INE666D01022,A
LERTHAI,Lerthai Finance Ltd,INE347D01011,XT
TRIVENIGQ,Triveni Glass Ltd-$,INE094C01011,X
NILACHAL,Nilachal Refractories Ltd,INE416N01013,X
ANDHRAPAP,Andhra Paper Ltd,INE435A01051,B
BALKRISIND,Balkrishna Industries Ltd-$,INE787D01026,A
ORIENTPPR,Orient Paper & Industries Ltd,INE592A01026,B
CITADEL,Citadel Realty and Developers Ltd,INE906D01014,X
ROLLT,Rollatainers Ltd,INE927A01040,T
SESHAPAPER,Seshasayee Paper and Boards Ltd,INE630A01024,B
NATHIND,Nath Industries Ltd,INE777A01023,X
VAPIENTER,Vapi Enterprise Ltd,INE464D01014,X
DCM,DCM Ltd,INE498A01018,B
ZGAEKWAR,Gaekwar Mills Ltd,INE837X01027,X
FORBESCO,Forbes & Company Ltd-$,INE518A01013,X
HPCOTTON,HP Cotton Textile Mills Ltd,INE950C01014,X
UNITEDINT,United Interactive Ltd,INE706D01018,X
JAMSHRI,Jamshri Realty Ltd-$,INE462D01034,X
KATRSPG,Katare Spinning Mills Ltd,INE498G01015,X
KESORAMIND,Kesoram Industries Ltd,INE087A01019,T
LAKSHMIMIL,Lakshmi Mills Company Ltd-$,INE938C01019,X
VTL,Vardhman Textiles Ltd,INE825A01020,A
PENINLAND,Peninsula Land Ltd,INE138A01028,T
PASUSPG,Pasupati Spinning & Weaving Mills Ltd,INE909B01020,X
PHOENIXLTD,The Phoenix Mills Ltd,INE211B01039,A
MARATHON,Marathon Nextgen Realty Ltd,INE182D01020,B
RAJABAH,Raja Bahadur International Ltd,INE491N01016,X
RELCHEMQ,Reliance Chemotex Industries Ltd-$,INE750D01016,B
RUBYMILLS,Ruby Mills Ltd,INE301D01026,B
SIMPLXREA,Simplex Realty Ltd,INE167H01014,X
SWANCORP,Swan Corp Ltd,INE665A01038,A
VICTMILL,Victoria Mills Ltd,INE203D01016,X
ZSVTRADI,SV Trading & Agencies Ltd,INE404N01019,XT
ZSVARAJT,Svaraj Trading & Agencies Ltd,INE406N01014,X
MANGLAM,Manglam Global Corporations Ltd,INE733N01011,X
SALSAIN,Shree Salasar Investments Ltd,INE315N01017,XT
APOLLOIN,Apollo Ingredients Ltd,INE314N01028,XT
ZODIACVEN,Zodiac Ventures Ltd,INE945J01027,XT
VEERENRGY,Veer Energy & Infrastructure Ltd,INE255E01030,X
TILAK,Tilak Ventures Ltd,INE026L01022,XT
UNIJOLL,Unijolly Investments Company Ltd,INE130N01010,XT
WAGEND,Wagend Infra Venture Ltd,INE786K01023,X
ELCIDIN,EL CID Investments Ltd,INE927X01018,B
MEDIAONE,Mediaone Global Entertainment Ltd,INE828I01019,Z
HEALINV,Healthy Investments Ltd,INE160N01017,XT
SHRENTI,Shreenath Investment Company Ltd,INE475V01012,XT
BANSWRAS,Banswara Syntex Ltd-$,INE629D01020,B
MODWOOL,Modella Woollens Ltd,INE380D01012,X
MODIPON,Modipon Ltd,INE170C01019,XT
SHRIDINE,Shri Dinesh Mills Ltd-$,INE204C01024,X
SRF,SRF Ltd,INE647A01010,A
SIYSIL,Siyaram Silk Mills Ltd-$,INE076B01028,B
SWADPOL,Swadeshi Polytex Ltd,INE243N01029,X
SHRAJSYNQ,Shree Rajasthan Syntex Ltd-$,INE796C01011,X
SHRMFGC,Shree Manufacturing Company Ltd,INE632A01012,X
ZSATYASL,Satyam Silk Mills Ltd,INE07MC01015,XT
BBL,Bharat Bijlee Ltd-$,INE464A01036,A
ELPROINTL,Elpro International Ltd,INE579B01039,B
GEE,GEE Ltd,INE064H01021,X
HIRECT,Hind Rectifiers Ltd,INE835D01023,B
NIPPOBATRY,Indo National Ltd,INE567A01028,B
ZENSARTECH,Zensar Technologies Ltd,INE520A01027,A
JYOTI,Jyoti Ltd-$,INE511D01012,X
JSLINDL,JSL Industries Ltd,INE581L01018,X
KAYCEEI,Kaycee Industries Ltd,INE813G01023,X
INDOKEM,Indokem Ltd,INE716F01012,T
PANAENERG,Panasonic Energy India Company Ltd-$,INE795A01017,X
NELCO,Nelco Ltd,INE045B01015,B
PERMAGN,Permanent Magnets Ltd-$,INE418E01018,X
HIGHENE,High Energy Batteries India Ltd,INE783E01023,X
STDBAT,Standard Batteries Ltd,INE502C01039,X
UNIVCABLES,Universal Cables Ltd,INE279A01012,B
WSI,W. S. Industries (India) Ltd-$,INE100D01014,B
DLTNCBL,Delton Cables Ltd,INE872E01016,X
LAKSELEC,Lakshmi Electrical Control Systems Ltd,INE284C01018,X
MODULEX,Modulex Construction Technologies Ltd,INE064R01012,Z
DELTAMAGNT,Delta Manufacturing Ltd,INE393A01011,B
LONGSPUR,Longspur International Ventures Ltd,INE180M01033,X
RELTD,Ravindra Energy Ltd,INE206N01018,B
EMPOWER,Empower India Ltd,INE507F01023,T
ZMULTIPU,Multipurpose Trading & Agencies Ltd,INE017P01014,XT
RIDHISYN,Ridhi Synthetics Ltd,INE07LK01010,XT
GRANDMA,Grandma Trading & Agencies Ltd,INE927M01029,X
ZARDIINV,Ardi Investments & Trading Company Ltd,INE0LKP01014,XT
IDREAM,IDream Film Infrastructure Company Ltd,INE459E01012,P
NYSSACORP,Nyssa Corporation Ltd,INE812K01027,X
FLOMIC,Flomic Global Logistics Ltd,INE952M01019,X
KRISHNA,Krishna Ventures Ltd,INE537L01010,XT
GANHOLD,Ganesh Holdings Ltd,INE932M01011,XT
UNIABEXAL,Uni Abex Alloy Products Ltd,INE361D01012,X
SARDAEN,Sarda Energy & Minerals Ltd-$,INE385C01021,A
BGWTATO,Bhagwati Autocast Ltd,INE106G01014,X
BOMBWIR,Bombay Wire Ropes Ltd,INE089T01023,X
GALADA,Galada Power & Telecommunication Ltd,INE255C01026,XT
AZADIND,Azad India Mobility Ltd,INE566M01017,X
INDIANHUME,Indian Hume Pipe Company Ltd,INE323C01030,B
INLCM,Indian Link Chain Manufacturers Ltd,INE359D01024,X
INVPRECQ,Investment & Precision Castings Ltd,INE155E01016,B
INFORTEC,Informed Technologies India Ltd,INE123E01014,X
KAIRA,Kaira Can Company Ltd,INE375D01012,X
ORIENTCER,Orient Ceratech Ltd-$,INE569C01020,B
NATIONSTD,National Standard (India) Ltd,INE166R01015,B
RATHIST,Rathi Steel & Power Ltd-$,INE336C01016,X
DUNCANENG,Duncan Engineering Ltd-$,INE340F01011,X
SANDUMA,Sandur Manganese & Iron Ores Ltd,INE149K01016,B
STOVACQ,Stovec Industries Ltd,INE755D01015,X
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,INE149A01033,A
ZWELCAST,Welcast Steels Ltd,INE380G01015,X
WMINIMT,Western Ministil Ltd,INE187U01015,P
AUTOAXLES,Automotive Axles Ltd,INE449A01011,B
ATLASCYCLE,Atlas Cycles (Haryana) Ltd,INE446A01025,B
AUTOPRD,Automobile Products of India Ltd,INE0NY101012,XT
ACGL,Automobile Corporation of Goa Ltd-$,INE451C01013,B
SETCO,Setco Automotive Ltd,INE878E01021,T
INRADIA,India Radiators Ltd,INE461Y01016,XT
TALBROAUTO,Talbros Automotive Components Ltd,INE187D01029,B
ZFSTEERING,ZF Steering Gear India Ltd-$,INE116C01012,B
SMLMAH,SML Mahindra Ltd,INE294B01019,B
TIL,TIL Ltd,INE806C01018,B
EICHERMOT,Eicher Motors Ltd,INE066A01021,A
JAINEX,Jainex Aamcol Ltd,INE280F01019,X
ALFREDHE,Alfred Herbert India Ltd,INE782D01027,X
VELJAN,Veljan Denison Ltd,INE232E01013,B
DYNAMATECH,Dynamatic Technologies Ltd-$,INE221B01012,B
GGDPROP,G. G. Dandekar Properties Ltd,INE631D01026,X
GMMPFAUDLR,GMM Pfaudler Ltd,INE541A01023,A
KIRLPNU,Kirloskar Pneumatic Company Ltd,INE811A01020,A
TULIVE,Tulive Developers Ltd,INE637D01015,XT
KPT,KPT Industries Ltd,INE731D01024,X
LAKSHMIEW,Lakshmi Engineering And Warehousing Ltd,INE718M01022,X
MANUGRAPH,Manugraph India Ltd-$,INE867A01022,B
HARSHILAGR,Harshil Agrotech Ltd,INE098E01026,XT
MONOT,Monotype India Ltd,INE811D01024,X
NESCO,NESCO Ltd,INE317F01035,B
INTEGRAEN,Integra Engineering India Ltd,INE984B01023,X
SEMAC,Semac Construction Ltd-$,INE617A01013,T
TEXINFRA,Texmaco Infrastructure & Holdings Ltd,INE435C01024,B
WENDT,Wendt (India) Ltd,INE274C01019,B
PSITINFRA,PS IT Infrastructure & Services Ltd,INE953M01033,XT
GHVINFRA,GHV Infra Projects Ltd,INE809Q01020,X
RESPONIND,Responsive Industries Ltd,INE688D01026,B
SHYMINV,Shyamkamal Investments Ltd,INE203N01015,X
ZHEMHOLD,Hem Holdings & Trading Ltd,INE721U01011,XT
MAHACORP,Maharashtra Corporation Ltd,INE272E01027,X
DOLATALGO,Dolat Algotech Ltd,INE966A01022,B
WESTLIFE,Westlife Foodworld Ltd,INE274F01020,A
ZEEL,Zee Entertainment Enterprises Ltd,INE256A01028,A
ZKOVALIN,Kovalam Investment & Trading Company Ltd,INE735U01011,X
SVPGLOB,SVP Global Textiles Ltd,INE308E01029,T
MULTIIN,Multiplus Holdings Ltd,INE886E01016,XT
SKYLMILAR,Skyline Millars Ltd,INE178E01026,X
BIMETAL,Bimetal Bearings Ltd-$,INE469A01019,B
TAPARIA,Taparia Tools Ltd,INE614R01014,XT
BHARATGEAR,Bharat Gears Ltd,INE561C01019,B
