scrip_id,Scrip_Name,ISIN_NUMBER,GROUP
PIRAMALFIN,Piramal Finance Ltd,INE202B01038,B
ACCURACY,Accuracy Shipping Ltd,INE648Z01023,B
STUDDS,Studds Accessories Ltd,INE00Q601028,B
LENSKART,Lenskart Solutions Ltd,INE956O01016,B
GROWW,Billionbrains Garage Ventures Ltd,INE0HOQ01053,B
ENERGY,Mirae Asset Nifty Energy ETF,INF769K01PR2,B
SMALL250,Mirae Asset Nifty Smallcap 250 ETF,INF769K01PQ4,B
PINELABS,Pine Labs Ltd,INE15B701018,B
SHTL,Shining Tools Ltd,INE0D8001018,MT
EMMVEE,Emmvee Photovoltaic Power Ltd,INE1C6T01020,B
PWL,Physicswallah Ltd,INE0LP301011,B
WORKMATES,Workmates Core2Cloud Solution Ltd,INE1I1301016,M
MAHALIFE,Mahamaya Lifesciences Ltd,INE0U9D01019,M
TENNIND,Tenneco Clean Air India Ltd,INE19RI01016,B
UTLSOLAR,Fujiyama Power Systems Ltd,INE12UR01024,B
CAPILLARY,Capillary Technologies India Ltd,INE0ILV01024,B
KSR,KSR Footwear Ltd,INE1SPP01016,T
GALLARD,Gallard Steel Ltd,INE0BUQ01012,M
EXCELSOFT,Excelsoft Technologies Ltd,INE606N01019,B
ESENSEX,Edelweiss BSE Sensex ETF,INF754K01VY8,B
SUDEEPPHRM,Sudeep Pharma Ltd,INE0QPI01025,B
MSCIADD,MSCIADD,INF740KA1WV7,B
SSMD,SSMD Agrotech India Ltd,INE1U2R01013,MT
KWIL,Kwality Walls (India) Ltd,INE2KCE01013,B
MNFL,Mother Nutri Foods Ltd,INE0UH001016,M
KKSILK,K K Silk Mills Ltd,INE0EOJ01014,M
LOGICIEL,Logiciel Solutions Ltd,INE1BA901016,MT
EXATO,Exato Technologies Ltd,INE1E4401010,M
PURPLEWAVE,Purple Wave Infocom Ltd,INE0VDK01019,M
ASTRONMULT,Astron Multigrain Ltd,INE0RUY01012,MT
RAVEL,Ravelcare Ltd,INE0W4D01018,M
HELLOJI,Helloji Holidays Ltd,INE1FJE01010,M
CNL,Creative Newtech Ltd,INE985W01018,B
MEESHO,Meesho Ltd,INE0VDM01015,B
VIDYAWIRES,Vidya Wires Ltd,INE14UN01029,B
AEQUS,Aequs Ltd,INE947N01017,B
LUXURY,Luxury Time Ltd,INE1CJB01013,MT
WOSAL,Western Overseas Study Abroad Ltd,INE1MF401019,MT
METHODHUB,Methodhub Software Ltd,INE0QZR01017,M
RDEL,Riddhi Display Equipments Ltd,INE1DKT01011,MT
KVTOYS,K. V. Toys India Ltd,INE1IE301018,M
WAKEFIT,Wakefit Innovations Ltd,INE0E7301029,B
PRODOCS,Prodocs Solutions Ltd,INE10XK01019,M
CORONA,Corona Remedies Ltd,INE02ZQ01018,B
PARKHOSPS,Park Medi World Ltd,INE119201023,B
SHIPWAVES,Shipwaves Online Ltd,INE0O9L01010,MT
NEPHROPLUS,Nephrocare Health Services Ltd,INE428V01029,B
UNISEM,Unisem Agritech Ltd,INE1FHV01026,M
TSIFDG,Titanium Hybrid Long-Short Fund Direct Plan Growth,INF277K30047,B
TSIFDIR,Titanium Hybrid Long-Short Fund Direct Plan IDCW Reinvestment,INF277K30054,B
TSIFRG,Titanium Hybrid Long-Short Fund Regular Plan Growth,INF277K30013,B
TSIFRIP,Titanium Hybrid Long-Short Fund Regular Plan IDCW Payout,INF277K30039,B
TSIFRIR,Titanium Hybrid Long-Short Fund Regular Plan IDCW Reinvestment,INF277K30021,B
SMALLADD,DSP Nifty Smallcap 250 ETF,INF740KA1WX3,B
MIDCAPADD,DSP Nifty Midcap 150 ETF,INF740KA1WW5,B
HRS,HRS Aluglaze Ltd,INE1E1V01017,M
PAJSON,Pajson Agro India Ltd,INE14LM01012,M
ICICIAMC,ICICI Prudential Asset Management Company Ltd,INE346A01027,A
STANBIK,Stanbik Agro Ltd,INE16QA01011,M
TOP20,Mirae Asset Nifty Top 20 Equal Weight ETF,INF769K01PZ5,B
DIVIDEND,Mirae Asset BSE 500 Dividend Leaders 50 ETF,INF769K01PY8,B
SIMANDHAR,Simandhar Impex Ltd,INE0VI201010,XT
NEPLOG,Neptune Logitek Ltd,INE1NQ501012,M
KSHINTL,KSH International Ltd,INE987S01020,B
GLOBALLOG,Global Ocean Logistics India Ltd,INE1ITY01011,M
GKSL,Gujarat Kidney and Super Speciality Ltd,INE0V0W01025,B
DACHEPALLI,Dachepalli Publishers Ltd,INE1F9M01018,MT
NANTA,Nanta Tech Ltd,INE0YJA01011,MT
ADMACH,Admach Systems Ltd,INE0XLO01010,M
BAIKAKAJI,Bai-Kakaji Polymers Ltd,INE1IJQ01026,M
ATIL,Apollo Techno Industries Ltd,INE0X4A01013,M
MDRC,Modern Diagnostic & Research Centre Ltd,INE1HK501016,M
NEXT50ADD,DSP Nifty Next 50 ETF,INF740KA1XU7,B
GTIL,Gabion Technologies India Ltd,INE1H1501013,M
YAJUR,Yajur Fibres Ltd,INE0CNJ01010,M
DEFRAIL,Defrail Technologies Ltd,INE0ZE201010,M
BHARATCOAL,Bharat Coking Coal Ltd,INE05XR01022,B
AMAGI,Amagi Media Labs Ltd,INE121R01077,B
NARMADESH,Narmadesh Brass Industries Ltd,INE0S1B01014,MT
INDOSMC,INDO SMC Ltd,INE0WKY01013,MT
GRERENEW,GRE Renew Enertech Ltd,INE0U8P01015,MT
ARITAS,Aritas Vinyl Ltd,INE1D8001016,MT
DIGILOGIC,Digilogic Systems Ltd,INE1OOT01028,M
SHADOWFAX,Shadowfax Technologies Ltd,INE12UN01015,B
SHAYONAENG,Shayona Engineering Ltd,INE0UCL01011,M
HANNAH,Hannah Joseph Hospital Ltd,INE0JVH01012,M
KASTURI,Kasturi Metal Composite Ltd,INE0T1301023,M
ARSIFHRG,Arudha Hybrid Long- Short Fund Regular Plan-Growth,INF194K30010,B
ARSIFHRMD,Arudha Hybrid Long- Short Fund Regular Plan-Monthly IDCW,INF194K30051,B
ARSIFHDG,Arudha Hybrid Long- Short Fund Direct Plan-Growth,INF194K30184,B
ARSIFHRHD,Arudha Hybrid Long- Short Fund Direct Plan-Half yearly IDCW,INF194K30242,B
KANISHK,Kanishk Aluminium India Ltd,INE163401016,MT
ANL,Accretion Nutraveda Ltd,INE1KVQ01019,MT
MSAFE,Msafe Equipments Ltd,INE2B5L01011,M
ISIFHLSG,iSIF Hybrid Long-Short Fund - Growth,INF109K30018,B
